pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,source_review_pilot_id,state,municipality,government_name,unit_type,candidate_source_type,priority_for_content_review,source_officialness_rating,source_relevance_rating,document_type_rating,extraction_readiness_rating,content_artifact_path,content_hash,content_byte_size,content_type_observed,pdf_readiness_pilot_id,pdf_readiness_lane_id,pilot_selection_rank,artifact_byte_size_bin,sample_selection_reason
pr_d88a46124b7c48c11a72cd9b,sr_23fcca0dae6ac60c3489cc1d,NSCQ-CA-20260720-0174,TRI-10dfab20b5a2ce70c3cd,VER-f13e1275c336058a3cad,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,West Covina,CITY OF WEST COVINA,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0138_sr_23fcca0dae6ac60c3489cc1d.pdf,341f295be65eef5cb2b9e6a4818dc491a62af04aa09dabf29388d7173c2f670a,588573,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,495,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_356a51867ceb8fe7d608d7d8,sr_d1fee15d5d9ef4a05e5dd3fd,NSCQ-CA-20260720-0318,TRI-526638515ccd858cc0f7,VER-d85acddab950eb868d85,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,Lodi,CITY OF LODI,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0214_sr_d1fee15d5d9ef4a05e5dd3fd.pdf,19df9b8ddb4eb5eba971f4b7be29bd0b28e7c9dfcf50f1280b959abc7e4b3a75,1755157,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,496,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_dec1a802c8a0f03287597c7a,sr_61104f1b2529cc94ca68d749,NSCQ-CT-20260720-0013,TRI-21704f6086f52468a86f,VER-560fd28cfbf67e383aba,SOURCE-REVIEW-BATCH2-500-2026-07-24,CT,Hartford,CITY OF HARTFORD,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0144_sr_61104f1b2529cc94ca68d749.pdf,7944c9d2e053b38fc7798ec80d2034b43e5147b77dbfb26fb33b67a00ec52716,3320158,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,497,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_04eaeae6a174a7ceab092ad4,sr_5f19f82f3b02944a64d6bc5f,NSCQ-CT-20260720-0023,TRI-71fa21cf5220d73ac453,VER-22c88a1bd5eccfe41ea3,SOURCE-REVIEW-BATCH2-500-2026-07-24,CT,Danbury,CITY OF DANBURY,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0147_sr_5f19f82f3b02944a64d6bc5f.pdf,788b342eea26fb6e580a3d9c9e21b3fcb7fea789412edb2d04c880d96cbb1e04,1045361,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,498,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_e1ca4ff4b393d3e4083c5aee,sr_7932d027bb443c0c711750b1,NSCQ-FL-20260720-0024,TRI-2f0c3eb6a464a0b0066d,VER-490130f636671379d22a,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Fort Lauderdale,CITY OF FORT LAUDERDALE,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0088_sr_7932d027bb443c0c711750b1.pdf,31a96036e4c45e0783190802bfb2e4862a4df94aa1d7aefcf4c438ec0835a2ed,2447661,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,499,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_9f7245f43817626d4816481d,sr_ac108846d0117628713a0f49,NSCQ-FL-20260720-0010,TRI-e0b58829f943e0b4bfed,VER-cef31e26acece4a91e85,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Orlando,CITY OF ORLANDO,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0249_sr_ac108846d0117628713a0f49.pdf,94e53973e0da4e480e96291e9ae092230082f7720d420b41e636346e17dba4ae,640041,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,500,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_933e160f8ffd12ac976bf124,sr_0689c0a62473bdcdafeb9aa1,NSCQ-IA-20260720-0040,TRI-041fb70c72b1a858d389,VER-269c22656ae06650a7da,SOURCE-REVIEW-BATCH2-500-2026-07-24,IA,Marshalltown,CITY OF MARSHALLTOWN,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0145_sr_0689c0a62473bdcdafeb9aa1.pdf,143087da7e78261e8619f6ab3355413a084a1a490781bd5f78a64e3cc15192f8,354791,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,501,small_le_512_kib,complete retained-PDF remainder after readiness identity exclusion
pr_f24fb6f184a7f9e61991c825,sr_fe9dfb8e65ec5934baf91ea7,NSCQ-IA-20260720-0037,TRI-81b8020b6c80ea67c715,VER-0a5f7652091b8c5b1d93,SOURCE-REVIEW-BATCH2-500-2026-07-24,IA,Bettendorf,CITY OF BETTENDORF,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0047_sr_fe9dfb8e65ec5934baf91ea7.pdf,81d3ba3f8b923bdbf6854b0e261da5c63d240b39c99f2cddbc25e737b21c942d,1105622,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,502,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_e9344320e6394755769a678c,sr_bc0a55592c5f063b88711d94,NSCQ-IL-20260720-0212,TRI-ec2fc53e9878880b451b,VER-209890e2575bc8ae54dd,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Alton,CITY OF ALTON,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0136_sr_bc0a55592c5f063b88711d94.pdf,e408de64c632bc65ee8268d6abe81b2b64f30fc2ab422634d00d8b993082c750,631456,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,503,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_b9ced45d846b9a01c21185b4,sr_8cb6411a735b99bb72396e3b,NSCQ-IL-20260720-0257,TRI-3a7723299a9e393a026e,VER-baca46792ea2efad0f7c,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Zion,CITY OF ZION,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0087_sr_8cb6411a735b99bb72396e3b.pdf,7b1da16c4ad9d7e2b2818b0d36788fb3dec1dc88246d3557e06e96b819066287,787644,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,504,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_e3454824a35c640cd882b12d,sr_eead7747b3c2edef47e79614,NSCQ-KS-20260720-0012,TRI-9cf4abe824546ac718fd,VER-c9bbeb77da506c190181,SOURCE-REVIEW-BATCH2-500-2026-07-24,KS,Lawrence,CITY OF LAWRENCE,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0061_sr_eead7747b3c2edef47e79614.pdf,9805fb6df4c2d4da99e7d3598125d97fe5d4d794bd5a880f536dd5bb40357e6e,174148,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,505,small_le_512_kib,complete retained-PDF remainder after readiness identity exclusion
pr_c18b4581f167d4b7d27f3aa0,sr_92628dafb001e52e598f70ab,NSCQ-MA-20260720-0093,TRI-3f4288fd27a318937a2a,VER-7cd4a4cc55f8a1667005,SOURCE-REVIEW-BATCH2-500-2026-07-24,MA,Salem,CITY OF SALEM,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0183_sr_92628dafb001e52e598f70ab.pdf,4842d4c52b1d1c2c4d335e7f927e7c3726903bab2444a04d80afd6d9d4b144ce,324285,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_2,506,small_le_512_kib,complete retained-PDF remainder after readiness identity exclusion
