pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,source_review_pilot_id,state,municipality,government_name,unit_type,candidate_source_type,priority_for_content_review,source_officialness_rating,source_relevance_rating,document_type_rating,extraction_readiness_rating,content_artifact_path,content_hash,content_byte_size,content_type_observed,pdf_readiness_pilot_id,pdf_readiness_lane_id,pilot_selection_rank,artifact_byte_size_bin,sample_selection_reason
pr_8bc5b4d28961df7c3af63f30,sr_7a1e7e179be6878c489ecadf,NSCQ-CA-20260720-0062,TRI-c5493fc1d13d60bdef41,VER-1214b7e0bb439fa26f02,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,Palo Alto,CITY OF PALO ALTO,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0247_sr_7a1e7e179be6878c489ecadf.pdf,700fe9c1531d2134dfdee60e563e577b8484d9a6b847337f652cb57b679d74ad,1179102,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1482,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_806aa04c3a1a53c4b0f90348,sr_20243f3a390dc6014acd52a0,NSCQ-CA-20260720-0314,TRI-c1825edcfb237aa88bcb,VER-021308893ffff16429c3,SOURCE-REVIEW-BATCH2-500-2026-07-24,CA,Redondo Beach,CITY OF REDONDO BEACH,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0037_sr_20243f3a390dc6014acd52a0.pdf,c7d73eba619d5bdd420f096da9bf3efc5764ecf465c10dcb8e4806477cd1a5f4,554064,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1483,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_7c64a82096748920c068132c,sr_dc0acf8163e1059a55f72cc5,NSCQ-CT-20260720-0030,TRI-d473fbc930b08bf501f8,VER-a6f01834e39b2f67cfa4,SOURCE-REVIEW-BATCH2-500-2026-07-24,CT,Meriden,CITY OF MERIDEN,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0046_sr_dc0acf8163e1059a55f72cc5.pdf,3dbe18c2d2a5e92fb0dc1d7c38cade9ad0a5f863f20428c763abe387a8760bcf,3407908,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1484,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_083b94a884685f1d67298491,sr_19ed7f2ec0b9a02138298047,NSCQ-FL-20260720-0033,TRI-f5666d88c831495b1e84,VER-abcdb5a3b09e79490ef5,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Gainesville,CITY OF GAINESVILLE,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0034_sr_19ed7f2ec0b9a02138298047.pdf,e49fde12e3d1ecae759a558a898f583341916b70ac685761250b198ad6c09bf6,3354898,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1485,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_3baee261aa0ad5bf48c066fc,sr_a2c650a660a27851bfc80165,NSCQ-FL-20260720-0220,TRI-9a20388f23639310e13b,VER-74de5a605d4f9b80f7e6,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Cocoa,CITY OF COCOA,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0039_sr_a2c650a660a27851bfc80165.pdf,c157843f6f2278bf20d24f1657182557bfc1afff594f9ae196738187f6d573f2,454655,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1486,small_le_512_kib,complete retained-PDF remainder after readiness identity exclusion
pr_b63fbb64fcfea4e693f7820c,sr_f0cd42eda87733d02b2dd437,NSCQ-FL-20260720-0030,TRI-ce382d07f5d324f4bdce,VER-78149bf7100a2566b133,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Hollywood,CITY OF HOLLYWOOD,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0137_sr_f0cd42eda87733d02b2dd437.pdf,bc6016aceff50f29f9c85c71a2d1e73039af5a66a7d4793b68ac42bf461d2590,1053601,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1487,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_5b957710a29718f656f25063,sr_2829702be9c2654f301e675e,NSCQ-IA-20260720-0060,TRI-5b4ccf3ff50aa24d2037,VER-0fe4eedba5dda0717d16,SOURCE-REVIEW-BATCH2-500-2026-07-24,IA,Newton,CITY OF NEWTON,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0228_sr_2829702be9c2654f301e675e.pdf,20e30887f74e4dd185a4da3d5dfe16331d72a69958ca7b1e5005bf2d33132753,986088,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1488,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_08ecce16da5b00f4a66740f0,sr_7dd77001ee5316bbc4550c53,NSCQ-IL-20260720-0090,TRI-d8a50dcd1df8a5e44705,VER-d3f78864788c4bab3b44,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Wheaton,CITY OF WHEATON,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0219_sr_7dd77001ee5316bbc4550c53.pdf,fa2d486673794f69f51bcd39b09d2fd446c34e06eb830e50bfcb41d017de99cf,2080781,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1489,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_d9c97b22e5d634a92e701613,sr_a2a7e3b8899516a174f05d5e,NSCQ-IL-20260720-0037,TRI-59c88aed856faf48816e,VER-34f12a5a4e26e4740e93,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Evanston,CITY OF EVANSTON,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0038_sr_a2a7e3b8899516a174f05d5e.pdf,fa6fcc2e08b0a1d1f2b389c8bbc08ef0b478955de1b40cf3491fe27aafa17335,4330641,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1490,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_e904b98982b2bbdcdcc4a5e2,sr_edf78d4ffb3031f62f8356b4,NSCQ-IL-20260720-0082,TRI-4bd85beb24e7a591ae96,VER-12da27c6ecad78d47d24,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Oak Lawn,VILLAGE OF OAK LAWN,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0139_sr_edf78d4ffb3031f62f8356b4.pdf,bbe67f76b9689a6eb20ccf24b3021f2771bb2655852ee9ae8b9b88e8b4f29e8e,8797599,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1491,very_large_gt_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_7583176eba650b0963a24c9b,sr_8fc961ce3bf22ff00f887292,NSCQ-MA-20260720-0113,TRI-7eafac722ddfcc541d04,VER-28192ec2beeb10cc0cd6,SOURCE-REVIEW-BATCH2-500-2026-07-24,MA,Northampton,CITY OF NORTHAMPTON,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0223_sr_8fc961ce3bf22ff00f887292.pdf,7525f1b1a3a2f5670c6bb4a2cf814d7fe066459958eb1def668c1f5194b669ed,1164576,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1492,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_ca66619bf167e874c5423b37,sr_3ffb928a892c94d1221d31e9,NSCQ-MA-20260720-0059,TRI-8f94ad07744308dd3a13,VER-8a29b2a7a783f025ccf9,SOURCE-REVIEW-BATCH2-500-2026-07-24,MA,Chicopee,CITY OF CHICOPEE,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0219_sr_3ffb928a892c94d1221d31e9.pdf,bfb915f0df4049ea14c2840540e284fd91cd2368b4d8a9560548e96ff2789136,8463078,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1493,very_large_gt_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_d2338bd9543909023d5edb59,sr_7855780b98d91ee4b90d17c9,NSCQ-ME-20260720-0045,TRI-d9f30adf2cf884792589,VER-a8a22af4aa07a5d704e8,SOURCE-REVIEW-BATCH2-500-2026-07-24,ME,Gardiner,CITY OF GARDINER,fire,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0095_sr_7855780b98d91ee4b90d17c9.pdf,1142353c8ffd3caae92d0f7c7acc0b29d91a5beecadf80e4b8363375cc73c4cf,865841,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1494,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_6455d7432bbf6881d2a19f87,sr_fb8406e1848bdc87d20b0660,NSCQ-MI-20260720-0049,TRI-d72286a44777addf8279,VER-943b70704d272d2a97cc,SOURCE-REVIEW-BATCH2-500-2026-07-24,MI,Novi,CITY OF NOVI,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0040_sr_fb8406e1848bdc87d20b0660.pdf,abb483ccadcf8e80646193e09e2826f2a738fffb3b26606dea2c3faa223d611b,2202707,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1495,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_6e80536270f6de1b07cd35af,sr_aaf11ba6d7479f9c01df9983,NSCQ-MI-20260720-0023,TRI-132484111f90e24c1876,VER-7e3bb69025ac4385ea04,SOURCE-REVIEW-BATCH2-500-2026-07-24,MI,Troy,CITY OF TROY,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0035_sr_aaf11ba6d7479f9c01df9983.pdf,c683a908f8ea5f1bcf3e56e34b778361385f84a2dc5413559743d5c8b28c5b8c,1326516,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1496,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_92d94d52170d27ae9a710df4,sr_66307a2ad55ce4cccea12ca7,NSCQ-MN-20260720-0110,TRI-00b0698e4e7d85126401,VER-a3f9b6ba707d0b49f4c6,SOURCE-REVIEW-BATCH2-500-2026-07-24,MN,Hibbing,CITY OF HIBBING,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0226_sr_66307a2ad55ce4cccea12ca7.pdf,3e5aa6cc7d6cc0c190cdd13b6d8ef37a8e9c7364d7266536815c7171715fcc96,2319954,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1497,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_94634f978939737c8d0acdc7,sr_fcadd3108c18a1c9641bb49f,NSCQ-MN-20260720-0102,TRI-662773e02d1fe00aa26d,VER-e38c38f0fd0500a4a5db,SOURCE-REVIEW-BATCH2-500-2026-07-24,MN,Stillwater,CITY OF STILLWATER,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0143_sr_fcadd3108c18a1c9641bb49f.pdf,d61d67cd1ca54ac4b55ccac5f1d8614c946c81b0bf8ed2d05dac051b5e0ad29a,322751,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1498,small_le_512_kib,complete retained-PDF remainder after readiness identity exclusion
pr_3a7a305e40d5121cf42d6b9b,sr_70e5207be4ce7e32210e601c,NSCQ-MO-20260720-0026,TRI-85ba601596f41d0465a3,VER-a9ad9970632987884df1,SOURCE-REVIEW-BATCH2-500-2026-07-24,MO,Hannibal,CITY OF HANNIBAL,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0156_sr_70e5207be4ce7e32210e601c.pdf,49e591a744931f63600503bf555b8679170f498e267801a06bf690d785d9c4d8,5434850,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1499,very_large_gt_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_d0661a96e1474a0c2a1e11be,sr_c98e0a0b1ee43b114fbab537,NSCQ-NE-20260720-0028,TRI-48c1d4402a6508cbed49,VER-8346ffc460dc1ea3b1c3,SOURCE-REVIEW-BATCH2-500-2026-07-24,NE,Beatrice,CITY OF BEATRICE,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0058_sr_c98e0a0b1ee43b114fbab537.pdf,7afe4e7eb0ad048ad9742a043b9fde7abc818f56b27cc501d96752fc67fe8401,945773,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1500,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_5610fb48b12020342b7ccd69,sr_b987fb22453fc03ebfb3f4cf,NSCQ-NJ-20260720-0064,TRI-b650534415f7f23423aa,VER-203985c8830e9f7d1dcb,SOURCE-REVIEW-BATCH2-500-2026-07-24,NJ,Asbury Park,CITY OF ASBURY PARK,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0051_sr_b987fb22453fc03ebfb3f4cf.pdf,8347bd7c62502866f465ea142598cb1b45827e111a1a03cd2e9a9adacfdc2371,5690397,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1501,very_large_gt_5_mib,complete retained-PDF remainder after readiness identity exclusion
pr_f21594de20e0af7d1a08f9c9,sr_957d670a5c0c439375a92862,NSCQ-NV-20260720-0022,TRI-63349b18ecf65043a8e2,VER-5119face5fc5e55da2c0,SOURCE-REVIEW-BATCH2-500-2026-07-24,NV,Elko,CITY OF ELKO,fire,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0052_sr_957d670a5c0c439375a92862.pdf,fd62a791d7d48f333c3827e7a93f4a03334c4470d71574a09d08feccff802433,533227,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1502,medium_512_kib_to_2_mib,complete retained-PDF remainder after readiness identity exclusion
pr_5974cea46906df2b21a94b1d,sr_320f94737862ac11c19f49a6,NSCQ-OH-20260720-0422,TRI-067e17b1c6cf740f9e65,VER-bfa764a425215a3e41b2,SOURCE-REVIEW-BATCH2-500-2026-07-24,OH,Lyndhurst,CITY OF LYNDHURST,fire,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_320f94737862ac11c19f49a6.pdf,eacc7ac6b46be1ff275f937e7a8b53555b46d9bb4e293f28565c5c7e8e08318e,5176321,application/pdf,PDF-READINESS-REMAINDER-ALL-RETAINED-2026-07-24,lane_4,1503,large_2_to_5_mib,complete retained-PDF remainder after readiness identity exclusion
