document_identity_id,retained_content_hash_reference,retained_content_hash_status,extraction_case_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,quantitative_source_row_count,quantitative_active_row_count,qualitative_source_row_count,qualitative_active_row_count,mixed_source_row_count,mixed_active_row_count,non_base_wage_source_row_count,non_base_wage_active_row_count,reference_and_exclusion_source_row_count,reference_and_exclusion_active_row_count,has_inactive_provenance_rows,has_duplicate_provenance,has_explicit_unresolved_conflict
doc_0024bda1e1f67c8f7d82669e,doc_0024bda1e1f67c8f7d82669e,opaque_sha256_derived_identity_from_frozen_selection,cexrem_949425a848add81ee3831174,ttd_62cffe1e02ca181bf501d4f9,sr_2e6b140569db57018f2b22f0,NSCQ-OH-20260720-0127,OH,Massillon,CITY OF MASSILLON,police,cba,0,0,3,3,0,0,2,2,0,0,false,false,false
doc_00a5e237175d41f61fb0fe40,doc_00a5e237175d41f61fb0fe40,opaque_sha256_derived_identity_from_frozen_selection,cex_ac7f0dc61e465dc39972f6c8,ttd_00db69e7e7d1ac5ff95dc5ad,sr_c98e0a0b1ee43b114fbab537,NSCQ-NE-20260720-0028,NE,Beatrice,CITY OF BEATRICE,fire,cba,1,1,0,0,0,0,3,3,0,0,false,false,false
doc_00acf134cd4257ec3d0ac58c,doc_00acf134cd4257ec3d0ac58c,opaque_sha256_derived_identity_from_frozen_selection,cexrem_46b534fa8ef76603c11d7c23,ttd_6717935084b924dc797a86fe,sr_17a5350f3924d1b470489a74,NSCQ-OH-20260720-0138,OH,Tallmadge,CITY OF TALLMADGE,police,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_00b636f73a6d528a99e81753,doc_00b636f73a6d528a99e81753,opaque_sha256_derived_identity_from_frozen_selection,cex1000_a7be9d0b29264dac7bb98f79,ttd_d9d754b0958cc37c630bbe20,sr_748b2fa6d4d5d1b7257f8bf0,NSCQ-MI-20260720-0005,MI,Lansing,CITY OF LANSING,non_safety,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_00be60d682965c00bfcd91bb,doc_00be60d682965c00bfcd91bb,opaque_sha256_derived_identity_from_frozen_selection,cex1000_102e6345ebd70d5e759e2a3e,ttd_9921b2589d3628c67f979a10,sr_2f9ea99f1c1cd9c14c1ab60a,NSCQ-MI-20260720-0070,MI,Saginaw,CITY OF SAGINAW,police,cba,0,0,0,0,0,0,4,4,0,0,false,false,false
doc_00f189ad9659a24159a223b5,doc_00f189ad9659a24159a223b5,opaque_sha256_derived_identity_from_frozen_selection,cexrem_a42e85c41930c5292d2a5555,ttd_b20d67e96806f6c0ccaf488a,sr_3283b5fca0e170f8265f266b,NSCQ-FL-20260720-0112,FL,Pensacola,CITY OF PENSACOLA,fire,cba,2,2,1,1,1,1,4,4,0,0,false,false,false
doc_00fac5f0ec5ee8b4b524ff51,doc_00fac5f0ec5ee8b4b524ff51,opaque_sha256_derived_identity_from_frozen_selection,cex1000_18bfe856c1d951e50a4ee28e,ttd_65fdfcaf9fe1d45ef30de14d,sr_a93a370b9390b595fd275bbc,NSCQ-CA-20260720-0163,CA,San Buenaventura (Ventura),CITY OF SAN BUENAVENTURA,non_safety,cba,1,1,1,1,1,1,0,0,0,0,false,false,false
doc_013e9c1d707e0c73beef1965,doc_013e9c1d707e0c73beef1965,opaque_sha256_derived_identity_from_frozen_selection,cexrem_f137ef93975d6bf3e6978fee,ttd_bf73c96f4af581f4ff119cab,sr_2cf1d0ad88274250fa37ecb8,NSCQ-CA-20260720-0588,CA,Moorpark,CITY OF MOORPARK,non_safety,cba,2,2,0,0,0,0,5,5,0,0,false,false,false
doc_0147d87fff81eb085fe3a2f4,doc_0147d87fff81eb085fe3a2f4,opaque_sha256_derived_identity_from_frozen_selection,cexrem_39bdbd15dcd0f086e050a5ec,ttd_e986f313f5792685d40cef44,sr_f6d57677ac22a68ec4a33f5f,NSCQ-WA-20260720-0004,WA,Spokane,CITY OF SPOKANE,police,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_019a03c8d3744a366ff9f74f,doc_019a03c8d3744a366ff9f74f,opaque_sha256_derived_identity_from_frozen_selection,cex1000_5bc2a0daf11d1bfd8ffe125b,ttd_7ea70d04711ded8991d6508f,sr_0b904e5470f2638c85621656,NSCQ-WA-20260720-0063,WA,Redmond,CITY OF REDMOND,police,cba,0,0,2,2,0,0,5,5,0,0,false,false,false
doc_01b2528720ce9606b96bb571,doc_01b2528720ce9606b96bb571,opaque_sha256_derived_identity_from_frozen_selection,cex1000_18f772b38f614c40b1651055,ttd_6c2c804a796685f485064f67,sr_0f253031a3e1d599c51c1b5a,NSCQ-CA-20260720-0309,CA,Yuba City,CITY OF YUBA CITY,non_safety,cba,1,1,4,4,1,1,1,1,0,0,false,false,false
doc_01c1ce0d9bc4370e282e7277,doc_01c1ce0d9bc4370e282e7277,opaque_sha256_derived_identity_from_frozen_selection,cex_16cd981b43d44e4606e7d3bb,ttd_6cc00b79c5b2e342c6134752,sr_4f9146fdff4cb0c2603278c1,NSCQ-MI-20260720-0080,MI,Jackson,CITY OF JACKSON,non_safety,cba,0,0,0,0,0,0,1,1,1,1,false,false,false
doc_01f15067dc9af7378e09749b,doc_01f15067dc9af7378e09749b,opaque_sha256_derived_identity_from_frozen_selection,cexrem_f7c71aaea36ad780d761d55d,ttd_63029065a962639c42a6eb49,sr_4fe1dcaf7cc9c89e43390190,NSCQ-OH-20260720-0467,OH,Wilmington,CITY OF WILMINGTON,fire,cba,2,2,0,0,0,0,2,2,0,0,false,false,false
doc_0204ad65859ef7655f0afd53,doc_0204ad65859ef7655f0afd53,opaque_sha256_derived_identity_from_frozen_selection,cexrem_7976b7bc63e1f1714e7c9fd9,ttd_49f5982012a31b1e4bd435e1,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,5,5,0,0,0,0,5,5,0,0,false,false,false
doc_021eacc134544dddd03eb53c,doc_021eacc134544dddd03eb53c,opaque_sha256_derived_identity_from_frozen_selection,cex1000_10c49910757af5301145ad58,ttd_f9f68b0882f1300d5a6c28a7,sr_bc28309e4084fc08f7a79adc,NSCQ-OH-20260720-0132,OH,North Olmsted,CITY OF NORTH OLMSTED,police,cba,2,2,1,1,1,1,5,5,0,0,false,false,false
doc_022928c6f0d8277e9cbe0e3e,doc_022928c6f0d8277e9cbe0e3e,opaque_sha256_derived_identity_from_frozen_selection,cex1000_d124f9e8f3f53e36c18b678d,ttd_a5c6954796c9433f51dad1a0,sr_c3f1d6b47534ba7781a13e4d,NSCQ-CA-20260720-0267,CA,Tustin,CITY OF TUSTIN,police,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_0244767252df4273d6a4366b,doc_0244767252df4273d6a4366b,opaque_sha256_derived_identity_from_frozen_selection,cex1000_38fca190db8ff1608d1cdc6b,ttd_9becf7a975e4d6498f4d8b9c,sr_64e0de48dab6603c920fe583,NSCQ-OH-20260720-0240,OH,South Euclid,CITY OF SOUTH EUCLID,fire,cba,0,0,0,0,0,0,2,2,0,0,false,false,false
doc_0264a120be1bb93d010753a7,doc_0264a120be1bb93d010753a7,opaque_sha256_derived_identity_from_frozen_selection,cex_a4743072a2d9345b37f35404,ttd_8af4bebcbbcc2b99eae8b9b4,sr_0f62a79d5fc397e785fb8026,NSCQ-CA-20260720-0042,CA,Santa Rosa,CITY OF SANTA ROSA,fire,cba,5,5,4,4,0,0,0,0,0,0,false,false,false
