municipality,attempted_count,extracted_ok_count,empty_or_too_short_count,low_text_density_count,suspected_bad_text_layer_count,html_noisy_or_shell_count,other_document_extraction_unsupported_count,extraction_error_count
Abbeville,3,3,0,0,0,0,0,0
Aberdeen,1,1,0,0,0,0,0,0
Abilene,1,1,0,0,0,0,0,0
Abington,3,3,0,0,0,0,0,0
Abita Springs,2,2,0,0,0,0,0,0
Acworth,3,3,0,0,0,0,0,0
Adams,3,3,0,0,0,0,0,0
Adel,1,1,0,0,0,0,0,0
Afton,2,1,0,0,0,1,0,0
Ainsworth,1,1,0,0,0,0,0,0
Airmont,1,1,0,0,0,0,0,0
Airway Heights,1,1,0,0,0,0,0,0
Akutan,1,1,0,0,0,0,0,0
Alabaster,1,1,0,0,0,0,0,0
Alamo,1,1,0,0,0,0,0,0
Alberton,3,3,0,0,0,0,0,0
Albia,3,3,0,0,0,0,0,0
Albion,4,4,0,0,0,0,0,0
Albuquerque,1,1,0,0,0,0,0,0
Alburgh,3,2,0,0,1,0,0,0
Alcester,1,1,0,0,0,0,0,0
Alcoa,1,1,0,0,0,0,0,0
Aleknagik,1,1,0,0,0,0,0,0
Algoma,1,1,0,0,0,0,0,0
Algona,1,1,0,0,0,0,0,0
Alice,1,1,0,0,0,0,0,0
Allegan,1,1,0,0,0,0,0,0
Allendale,2,2,0,0,0,0,0,0
Allendale charter,1,1,0,0,0,0,0,0
Allenstown,1,1,0,0,0,0,0,0
Alma,3,3,0,0,0,0,0,0
Alpena,3,3,0,0,0,0,0,0
Alpharetta,1,1,0,0,0,0,0,0
Alpine,2,2,0,0,0,0,0,0
Alsip,2,2,0,0,0,0,0,0
Altavista,1,1,0,0,0,0,0,0
Alton,3,3,0,0,0,0,0,0
Alva,3,3,0,0,0,0,0,0
Alvin,3,3,0,0,0,0,0,0
Ambler,1,1,0,0,0,0,0,0
American,1,1,0,0,0,0,0,0
American Falls,1,1,0,0,0,0,0,0
Americus,1,1,0,0,0,0,0,0
Amery,2,2,0,0,0,0,0,0
Amherst,8,8,0,0,0,0,0,0
Amity,2,2,0,0,0,0,0,0
Amityville,1,1,0,0,0,0,0,0
Anaktuvuk Pass,1,1,0,0,0,0,0,0
Anamosa,2,2,0,0,0,0,0,0
