state,attempted_count,extracted_ok_count,empty_or_too_short_count,low_text_density_count,suspected_bad_text_layer_count,html_noisy_or_shell_count,other_document_extraction_unsupported_count,extraction_error_count
AK,39,38,0,0,0,1,0,0
AL,69,63,0,0,0,6,0,0
AR,56,48,0,0,0,8,0,0
AZ,64,63,0,0,0,1,0,0
CA,134,129,0,0,0,5,0,0
CO,55,54,0,0,0,1,0,0
CT,72,67,1,0,0,4,0,0
DE,43,41,0,0,0,2,0,0
FL,58,56,0,0,0,2,0,0
GA,87,83,0,0,0,4,0,0
IA,79,74,0,0,0,5,0,0
ID,60,56,0,0,0,4,0,0
IL,187,179,0,1,1,6,0,0
IN,119,110,0,1,1,7,0,0
KS,77,75,0,0,0,2,0,0
KY,75,67,0,1,0,7,0,0
LA,84,80,0,0,0,4,0,0
MA,77,75,1,0,0,1,0,0
MD,47,46,0,0,0,1,0,0
ME,80,75,0,0,2,3,0,0
MI,170,164,0,0,1,5,0,0
MN,105,99,0,1,0,5,0,0
MO,73,69,0,0,2,2,0,0
MS,23,20,0,0,1,2,0,0
MT,81,66,0,0,0,15,0,0
NC,104,100,0,0,0,4,0,0
ND,89,70,2,0,0,17,0,0
NE,73,68,1,0,1,3,0,0
NH,64,60,0,1,1,2,0,0
NJ,113,109,0,0,0,4,0,0
NM,44,40,0,0,0,4,0,0
NV,15,15,0,0,0,0,0,0
NY,127,124,0,1,0,2,0,0
OH,176,172,0,0,0,4,0,0
OK,73,68,0,0,0,5,0,0
OR,61,58,0,0,0,3,0,0
PA,171,161,0,0,0,10,0,0
RI,20,19,0,0,0,1,0,0
SC,76,66,1,0,0,9,0,0
SD,78,75,0,0,0,3,0,0
TN,75,73,0,0,0,2,0,0
TX,122,115,0,2,0,5,0,0
UT,44,44,0,0,0,0,0,0
VA,74,67,0,0,0,7,0,0
VT,92,89,0,0,1,2,0,0
WA,99,95,0,0,1,3,0,0
WI,145,139,1,0,1,4,0,0
WV,49,43,0,0,0,6,0,0
WY,53,48,0,0,0,5,0,0
