group_name,attribute,attribute_label,verified_present_count,sources_with_verified_evidence,share_sources_with_verified_evidence,interpretation_note
overall,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",34,23,0.6216,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
overall,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",34,20,0.5405,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
overall,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,29,19,0.5135,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
overall,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",29,18,0.4865,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
overall,union_security_or_institutional_power,Union security / institutional power,25,18,0.4865,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
overall,management_rights_or_service_flexibility,Management rights / service flexibility,24,16,0.4324,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
overall,premium_pay_differentials,Premium pay / differentials,19,16,0.4324,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
overall,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,18,14,0.3784,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
safety,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",18,14,0.6364,Extra-duty compensation architecture; frequent wherever continuous coverage or unpredictable call-outs are contractually anticipated.
safety,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,15,11,0.5,"Ordinary dispute-resolution arbitration; present in most CBAs regardless of occupation, distinct from interest/impasse arbitration."
safety,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",16,10,0.4545,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
safety,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",15,10,0.4545,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
safety,management_rights_or_service_flexibility,Management rights / service flexibility,15,10,0.4545,Management's reserved authority to direct staffing/operations; a counterweight clause present across groups.
safety,union_security_or_institutional_power,Union security / institutional power,14,10,0.4545,"Recognition, dues checkoff, exclusive representation; an institutional-power channel present across groups."
safety,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,11,9,0.4091,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
safety,premium_pay_differentials,Premium pay / differentials,11,9,0.4091,"Shift/assignment/specialty pay add-ons beyond base wage; a narrower, more occupation-specific channel."
safety_adjacent,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",1,1,1.0,"Non-wage compensation (health, pension, leave); broadly present across occupation groups, not safety-specific."
safety_adjacent,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,3,1,1.0,"Explicit statutory/civil-service framing of the bargaining relationship (e.g., Chapter 174, ORC 4117)."
safety_adjacent,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",2,1,1.0,Wage-setting via classification/grade/step structures; common across both safety and non-safety sources in this corpus.
