state,state_label,occupation_class,occupation_label,safety_group,attribute,attribute_label,verified_present_count,coded_source_count,sources_with_verified_evidence,share_sources_with_verified_evidence
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",1,1,1,1.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,budget_capacity_or_fiscal_constraint,Budget capacity / fiscal constraint,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,4,1,1,1.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,hazard_risk_stress_or_line_of_duty_rationale,"Hazard, risk, stress, or line-of-duty rationale",0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,management_rights_or_service_flexibility,Management rights / service flexibility,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,minimum_staffing_or_continuous_coverage,Minimum staffing / continuous coverage,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,no_strike_or_work_stoppage_constraint,No-strike / work-stoppage constraint,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,non_safety_wage_restraint_or_admin_channel,Non-safety wage restraint / administrative channel,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,other,Other wage-mechanism evidence,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,peer_comparator_wage_comparability,Peer / comparator wage comparison,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,premium_pay_differentials,Premium pay / differentials,0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,staffing_shortage_recruitment_retention,"Staffing shortage, recruitment, or retention",0,1,0,0.0
MA,Massachusetts,clerical_admin,Clerical / administrative,non_safety,subcontracting_outsourcing_or_volunteer_substitution,"Subcontracting, outsourcing, or substitution",0,1,0,0.0
