state,city,contract_id,contract_label,occupation_class,occupation_label,safety_group,source_type,text_quality,codified,verified_present_attribute_count,notes
MA,Boston,ma_boston_clerical_admin_2023,"Boston Clerical / administrative — United Steelworkers AFL-CIO CLC on behalf of Salaried Employees of North America Local 9158 collective bargaining agreement, 2023–2027",clerical_admin,Clerical / administrative,non_safety,cba,clean,yes,3,
MA,Franklin,ma_franklin_fire_2022,"Franklin Fire — Professional Firefighters of Franklin, International Association of Firefighters Local 2637 collective bargaining agreement, 2022–2025",fire,Fire,safety,cba,clean,yes,6,
MA,Franklin,ma_franklin_library_2022,"Franklin Library — Franklin Public Library Staff Association, Massachusetts Library Staff Association Local 4928, AFT Massachusetts collective bargaining agreement, 2022–2025",library,Library,non_safety,cba,clean,yes,5,
MA,Franklin,ma_franklin_other_2022,"Franklin Other / mixed municipal — AFSCME AFL-CIO Council 93 Local 1298 Custodians collective bargaining agreement, 2022–2025",other,Other / mixed municipal,non_safety,cba,clean,yes,4,
MA,Franklin,ma_franklin_police_2022,"Franklin Police — The Franklin Police Association collective bargaining agreement, 2022–2025",police,Police,safety,cba,clean,yes,8,
MA,Franklin,ma_franklin_public_works_2022,"Franklin Public works / DPW — AFSCME AFL-CIO Local 1298 Department of Public Works collective bargaining agreement, 2022–2025",public_works,Public works / DPW,non_safety,cba,clean,yes,2,
MA,Georgetown,ma_georgetown_other_2020,"Georgetown Other / mixed municipal — American Federation of State, County and Municipal Employees, AFL-CIO, Mass. Public Council 93, Local 939 (Custodians) collective bargaining agreement, 2020–2023",other,Other / mixed municipal,non_safety,cba,clean,yes,0,
MA,Georgetown,ma_georgetown_police_2020,"Georgetown Police — American Federation of State, County and Municipal Employees, AFL-CIO Council 93, Local 939 (Police Command Staff) collective bargaining agreement, 2020–2023",police,Police,safety,cba,clean,yes,7,
MA,Seekonk,ma_seekonk_fire_2022,"Seekonk Fire — International Association of Firefighters Local 1931 collective bargaining agreement, 2022–2025",fire,Fire,safety,cba,clean,yes,5,
MA,Seekonk,ma_seekonk_library_2023,"Seekonk Library — Seekonk Public Library Employee Association MLSA, AFT Massachusetts, AFL-CIO Local 4928 collective bargaining agreement, 2023–2026",library,Library,non_safety,cba,clean,yes,4,
MA,Seekonk,ma_seekonk_police_2022,"Seekonk Police — The Fraternal Order of Police Mass C.O.P. Local # 215 collective bargaining agreement, 2022–2025",police,Police,safety,cba,clean,yes,4,
MA,Seekonk,ma_seekonk_public_works_2023,"Seekonk Public works / DPW — AFSCME Council 93 Local 1701 Department of Public Works collective bargaining agreement, 2023–2026",public_works,Public works / DPW,non_safety,cba,clean,yes,5,
MA,Seekonk,ma_seekonk_teacher_2021,"Seekonk Teachers / school employees — Seekonk Educators Association collective bargaining agreement, 2021–2024",teacher,Teachers / school employees,non_safety,cba,clean,yes,7,
MA,Somerville,ma_somerville_police_spsoa_2012,"Somerville Police — Somerville Police Superior Officers Association arbitration award, 2012–2018",police,Police,safety,arbitration_award,clean,yes,9,
MA,Wayland,ma_wayland_fire_jlmc_2020,"Wayland Fire — International Association of Firefighters Local 1978 arbitration award, 2020–2023",fire,Fire,safety,arbitration_award,clean,yes,0,
MA,Wayland,ma_wayland_other_2021,"Wayland Other / mixed municipal — Local 690 Wayland-1 and Local 690 Wayland-2, AFSCME collective bargaining agreement, 2021–2023",other,Other / mixed municipal,non_safety,cba,ocr_messy,yes,5,
OH,Cincinnati,oh_cincinnati_fire_2023,"Cincinnati Fire — Cincinnati Fire Fighters Union, Local 48, International Association of Fire Fighters, AFL-CIO collective bargaining agreement, 2023–2026",fire,Fire,safety,cba,clean,yes,0,
OH,Cincinnati,oh_cincinnati_other_2025,"Cincinnati Other / mixed municipal — Cincinnati Organized and Dedicated Employees, Inc. (CODE) collective bargaining agreement, 2025–2028",other,Other / mixed municipal,non_safety,cba,clean,yes,1,
OH,Cincinnati,oh_cincinnati_police_2024,"Cincinnati Police — Fraternal Order of Police, Queen City Lodge No. 69 (Non-Supervisors) collective bargaining agreement, 2024–2027",police,Police,safety,cba,clean,yes,4,
OH,Cincinnati,oh_cincinnati_police_sup_2024,"Cincinnati Police — Fraternal Order of Police, Queen City Lodge No. 69 (Supervisors) collective bargaining agreement, 2024–2027",police,Police,safety,cba,clean,yes,0,
OH,Cleveland,oh_cleveland_fire_2025,"Cleveland Fire — Cleveland Fire Fighters, Local 93 collective bargaining agreement, 2025–2028",fire,Fire,safety,cba,ocr_messy,yes,12,
OH,Cleveland,oh_cleveland_other_2022,"Cleveland Other / mixed municipal — AFSCME Ohio Council 8 Local 100 collective bargaining agreement, 2022–2025",other,Other / mixed municipal,non_safety,cba,clean,yes,9,
OH,Cleveland,oh_cleveland_police_2025,"Cleveland Police — Cleveland Police Patrolmen's Association (C.P.P.A.) Patrol Officer Bargaining Unit collective bargaining agreement, 2025–2028",police,Police,safety,cba,clean,yes,7,
OH,Columbus,oh_columbus_fire_2023,"Columbus Fire — Columbus Fire Fighters Union Local 67, IAFF collective bargaining agreement, 2023–2026",fire,Fire,safety,cba,clean,yes,10,
OH,Columbus,oh_columbus_other_2024,"Columbus Other / mixed municipal — AFSCME Ohio Council 8 Local 1632 collective bargaining agreement, 2024–2027",other,Other / mixed municipal,non_safety,cba,clean,yes,12,
OH,Columbus,oh_columbus_police_2023,"Columbus Police — Fraternal Order of Police Capital City Lodge No. 9 collective bargaining agreement, 2023–2026",police,Police,safety,cba,clean,yes,6,
OH,Toledo,oh_toledo_fire_2024,"Toledo Fire — Toledo Firefighters Local No. 92, International Association of Firefighters, AFL-CIO-CLC collective bargaining agreement, 2024–2026",fire,Fire,safety,cba,clean,yes,4,
OH,Toledo,oh_toledo_other_2024,"Toledo Other / mixed municipal — Supervisory, Technical and Professional Employees' Union, Local 2058, AFSCME Ohio Council 8, AFL-CIO collective bargaining agreement, 2024–2027",other,Other / mixed municipal,non_safety,cba,clean,yes,2,
OH,Toledo,oh_toledo_police_2024,"Toledo Police — Toledo Police Patrolman's Association, Local 10, I.U.P.A., A.F.L.-C.I.O. collective bargaining agreement, 2024–2026",police,Police,safety,cba,clean,yes,3,
TX,Austin,tx_austin_fire_2023,"Austin Fire — Austin Firefighters Association, Local 975 of the International Association of Fire Fighters, AFL-CIO-CLC collective bargaining agreement, 2023–2025",fire,Fire,safety,cba,clean,yes,10,
TX,Austin,tx_austin_nursehealth_2023,"Austin Health / EMS / nurse-health — Austin EMS Association collective bargaining agreement, 2023–2027",nurse_health,Health / EMS / nurse-health,safety_adjacent,cba,clean,yes,10,"Safety-adjacent: EMS, civil-service-protected and statutorily adjacent to police/fire (shared Ch.143 Civil Service Commission) -- not an ordinary civilian/clerical comparison unit."
TX,Austin,tx_austin_police_2024,"Austin Police — Austin Police Association collective bargaining agreement, 2024–2029",police,Police,safety,cba,ocr_messy,yes,10,
TX,Houston,tx_houston_fire_2024,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029",fire,Fire,safety,arbitration_award,clean,yes,8,
TX,Houston,tx_houston_other_2024,"Houston Other / mixed municipal — Houston Organization of Public Employees / AFSCME Local 123 collective bargaining agreement, 2024–2027",other,Other / mixed municipal,non_safety,cba,clean,yes,9,
TX,Houston,tx_houston_police_2024,"Houston Police — Houston Police Officers' Union (HPOU) collective bargaining agreement, 2024–2025",police,Police,safety,cba,clean,yes,7,
TX,San Antonio,tx_san_antonio_fire_2024,"San Antonio Fire — Local 624, International Association of Fire Fighters collective bargaining agreement, 2024–2027",fire,Fire,safety,cba,clean,yes,5,"Deliberately unmatched: San Antonio added for institutional-contrast value (full Ch.174 bargaining without Houston-style compulsory arbitration), not as a matched non-safety triad."
TX,San Antonio,tx_san_antonio_police_2022,"San Antonio Police — San Antonio Police Officers Association (SAPOA) collective bargaining agreement, 2022–2026",police,Police,safety,cba,ocr_messy,yes,6,"Deliberately unmatched: San Antonio added for institutional-contrast value (full Ch.174 bargaining without Houston-style compulsory arbitration), not as a matched non-safety triad."
