state,state_label,attribute,attribute_label,verified_present_count,coded_source_count,sources_with_verified_evidence,share_sources_with_verified_evidence
MA,Massachusetts,benefits_total_compensation_or_pension,"Benefits, total compensation, or pension",10,16,6,0.375
MA,Massachusetts,budget_capacity_or_fiscal_constraint,Budget capacity / fiscal constraint,1,16,1,0.0625
MA,Massachusetts,civil_service_or_statutory_employment_channel,Civil-service or statutory employment channel,3,16,3,0.1875
MA,Massachusetts,classification_reclassification_or_grade_structure,"Classification, reclassification, or wage-grade structure",20,16,11,0.6875
MA,Massachusetts,grievance_or_contract_interpretation_arbitration,Grievance or contract-interpretation arbitration,17,16,10,0.625
MA,Massachusetts,hazard_risk_stress_or_line_of_duty_rationale,"Hazard, risk, stress, or line-of-duty rationale",4,16,4,0.25
MA,Massachusetts,interest_arbitration_or_formal_impasse_backstop,Interest arbitration / formal impasse backstop,1,16,1,0.0625
MA,Massachusetts,management_rights_or_service_flexibility,Management rights / service flexibility,5,16,3,0.1875
MA,Massachusetts,minimum_staffing_or_continuous_coverage,Minimum staffing / continuous coverage,2,16,2,0.125
MA,Massachusetts,no_strike_or_work_stoppage_constraint,No-strike / work-stoppage constraint,0,16,0,0.0
MA,Massachusetts,non_safety_wage_restraint_or_admin_channel,Non-safety wage restraint / administrative channel,2,16,2,0.125
MA,Massachusetts,other,Other wage-mechanism evidence,3,16,3,0.1875
MA,Massachusetts,overtime_callback_holdover_mandatory_extra_work,"Overtime, callback, holdover, or mandatory extra work",16,16,10,0.625
MA,Massachusetts,peer_comparator_wage_comparability,Peer / comparator wage comparison,1,16,1,0.0625
MA,Massachusetts,premium_pay_differentials,Premium pay / differentials,8,16,7,0.4375
MA,Massachusetts,staffing_shortage_recruitment_retention,"Staffing shortage, recruitment, or retention",0,16,0,0.0
MA,Massachusetts,subcontracting_outsourcing_or_volunteer_substitution,"Subcontracting, outsourcing, or substitution",0,16,0,0.0
MA,Massachusetts,training_certification_credential_premiums,"Training, certification, credential, or education premiums",7,16,6,0.375
