evidence_id,original_error_code,invalid_rating_payload_persisted,deterministic_diagnostic,safe_deterministic_edit_available,repair_route,reason,evidence_span_available,evidence_span_sha256,outside_scope_evidence_used
qualitative:lobs_04f9eb5b8890fe6d4dc6eeb3,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,8e0367bf40310686c36b3c3d5ec260cd4f9f5c45c4772ab243f9e8a9d9ca6ef5,false
qualitative:lobs_105175a47d0bf328006c847a,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,f6ec23bc341a353415961438cf059c9d93eaff977b4cccc7765b62741666eff4,false
qualitative:lobs_169fe1f971d8b0e81b729eee,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,a9a4ccbb90995932f5db3dbc27d25096a05761d284d91fc685036734b1274f6e,false
qualitative:lobs_19e13aeaceb57713ab40d13a,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,b66088d20ef9b494a67115e38d7081c783918b0f4a8ec170f2a54be395d30ac2,false
qualitative:lobs_2d9afcd37b81c60586893cbb,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,c6b990d9699db42a08774c3c1bb426764dedf380c1634924e0637adf96a95e5a,false
qualitative:lobs_2f57634a0d2f2cccacadca55,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,0c3e6ac93daf90390c84e20f7974fe66b4015e5163b2a8b8b478be6f24b380f8,false
qualitative:lobs_321b74bf35c1678baf2117d9,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,02b7a87203d7fc7a14a9f5aea7c519e9300f1c32f8f8f47610f000eea0ea1407,false
qualitative:lobs_36b39fbc5f98ee94b6d9cd7a,positive_attribute_has_negative_controls,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_positive_logic_cannot_be_reconciled_mechanically,true,be61920f993adde46dc458189f9acf2b3862c33b456a1a210fad49dca5a37659,false
qualitative:lobs_394f913aea7e067e9f65cc3b,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,8bfcd343e9758bd09492326e760a835cc29ecdc5d5107b968c59074c275d6698,false
qualitative:lobs_407e1b039bf8066e01f440da,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,95cad0542fe42819aba697590ee7c5dbb74918d688f07f740628ca33ba838770,false
qualitative:lobs_51d5b08940fb49b9b653b73f,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,2474e882e79035d403c284791b4dd2feb7f11827f1a6d18f08aaf6c669230f21,false
qualitative:lobs_53c2e6713eba586585db1104,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,99ad73fbd3b5ffd1613da84047bd83f7dcf2c5cb645a0799e002d7244e59d37f,false
qualitative:lobs_622a3bcc02ac766500979c43,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,5a6d85dc6fcf3ae6002a675d07abb98e230acb77e625446d7774a028df90d3ec,false
qualitative:lobs_698c36b2be5198d4fbeef9e1,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,a0a8220dfaa8b332a61e083771cd41edefd1151b29a09be87076150337dd2add,false
qualitative:lobs_77bd16fc54403f2c8659eb6b,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,a1af26dbb8f24806d0320cd221103718e8e945dc2eab35d08819ff6170b78627,false
qualitative:lobs_7c83c95869b04310fca693cb,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,b653942618bcb8eaf01a2f0c895fc814a3baf4977325680dfb1a3ffd0d228d3f,false
qualitative:lobs_895ed5bd5dee0e3d876d864a,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,01dbf05e668233dfd105a07e8701372dd8aa29252858bca69b8336d8214b2cb2,false
qualitative:lobs_8afd840319a4f94e4c5adeb7,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,feb48f796da644c8c7f410d65fabc4450faeea3a7c2d1de49784e721ad67ca91,false
qualitative:lobs_8e78c1f4e193499293c04f38,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,b75718b011144b1a337e8c0aa811447401844d31c41861571e0d5ed0b0bd6f46,false
qualitative:lobs_92008d60e2fb5bad81007465,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,20e620cc8631ff5565869a0bc448a95cccca1342a7fc36fe854aac1759127f9b,false
qualitative:lobs_968a71b31a8ece8bd353811e,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,211c20d3b62a5a6aa550119e2f4d679fbb5b9c8ddc271e5ded4dfbe043a35c75,false
qualitative:lobs_9c39f50ba59e2d9c914219c8,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,76c78863092038f1671ceb6796fc2a681a829014df31b6e7c31f8e8c112fd734,false
qualitative:lobs_add75fa7672ad2b5882a4c49,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,ed12cc5522257abe6815a5aaa4d8f1790d620ce3fdc35565a9c85d7b09b6aaea,false
qualitative:lobs_baa2b2933f95f0952c4d5e5c,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,b3a2297a30e73f267f74a0515378601a85a3592f1ae8c7cea34ec0a9adfce519,false
qualitative:lobs_bcf614863c1283ef21f50f09,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,62b7eb2a44ca9e9c246b8b3cf4855ad576fc018df0d0bd1c33ad2614ad964988,false
qualitative:lobs_c4553bdc85d670b308953d7b,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,849d67935cdb353d1a8ef419411622dfafce17cf13c490ddd97e66fd34c59e32,false
qualitative:lobs_c8faa70a5f9e6fa3e2ad3b8f,forbidden_final_claim_language,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_claim_boundary_not_persisted_so_safe_reframing_requires_fresh_bounded_rating,true,a11662518018ab1b13a3f514383447bf282d1a64e07fa412dff30d928101d4c5,false
qualitative:lobs_d1dddcdb851b839de898e659,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,140cd124b902ddf8e0c87e94f3fd16c0013d24333ae23b3dc13fa12446cac8ae,false
qualitative:lobs_d8052656664036944ea43cb9,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,08c9131c6583b6357a26d5422995fdf25e18c4feb1e676c03e6737adfec68224,false
qualitative:lobs_dc7e73e8f67ec70d3dda5227,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,49bd690da27b3707c0de0579c728ef544c75b6a4a05082582fa6502f9293602e,false
qualitative:lobs_ddadd26f731b4b88bccddd11,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,5216585e890ad727d2b3d845835a4f5d66cb62560210486da9cfb25856217ceb,false
qualitative:lobs_e1912544cad890ab8b7b1a46,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,a1779b5c09874356e54dce7f6cda7aa6483f6ebbcf8fbfa85d0e143d98acb16a,false
qualitative:lobs_e831656e706058e27d3da3f2,supporting_quote_not_exact_substring,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_quote_text_not_persisted_so_exact_replacement_cannot_be_verified_without_rerating,true,d481b4664870b7375686fccd153d175a4aea0713bf1679ddf67618f8cfc863d8,false
qualitative:lobs_f36e3f4b3de743590affc1ba,weak_attribute_controls_invalid,false,completed,false,bounded_gabriel_retry_from_original_exact_span,invalid_attribute_object_not_persisted_so_control_fields_cannot_be_changed_without_reconstructing_rating_logic,true,463962ef7f26288d1f48309ed00626f98233d2bc08f1f4ee3f0dd148dc43418c,false
