evidence_id,stage,attempt,request_id,backend,model,status,schema_valid,input_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
qualitative:lobs_04f9eb5b8890fe6d4dc6eeb3,repair_live,1,resp_0c151380ad85450c006a66630c6e2c8194a9fbc35f72014114,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5100,3165,1304,4469,10.635359,,,false,false
qualitative:lobs_105175a47d0bf328006c847a,repair_live,1,resp_02ed2f7617e2a0fe006a66630c5ca08197824c214407ecce7b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5114,3164,1132,4296,10.838213,StrictValidationError,no_supported_attribute_without_weak_marker,false,false
qualitative:lobs_169fe1f971d8b0e81b729eee,repair_live,1,resp_00cf20c4fbae5704006a66630c51a481939f584fb7af4e573c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5104,3164,1159,4323,9.343807,,,false,false
qualitative:lobs_19e13aeaceb57713ab40d13a,repair_live,1,resp_0c8fb5338d133fc0006a66630c57f08196a6ca2d605b738441,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5122,3168,1606,4774,12.437839,,,false,false
qualitative:lobs_2d9afcd37b81c60586893cbb,repair_live,1,resp_04239cac6a92c953006a666315917881979eeecc74746d5dcb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5085,3162,1079,4241,18.683147,,,false,false
qualitative:lobs_2f57634a0d2f2cccacadca55,repair_live,1,resp_0086c4386f77628c006a666316b3fc81949998548f2e4e08b0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5206,3203,1714,4917,26.804975,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_321b74bf35c1678baf2117d9,repair_live,1,resp_0355659031781172006a66631712f0819695ba59443405e93b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5069,3155,1092,4247,20.439515,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_36b39fbc5f98ee94b6d9cd7a,repair_live,1,resp_0a5467937a293bca006a666318b2408195b782936b475dd414,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5140,3174,1331,4505,24.161718,,,false,false
qualitative:lobs_394f913aea7e067e9f65cc3b,repair_live,1,resp_0712ebfe6956e029006a66631ef3f48194a9806278b4af378a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5055,3155,908,4063,27.845044,,,false,false
qualitative:lobs_407e1b039bf8066e01f440da,repair_live,1,resp_0f2da360cd890ac0006a666320ad8c81949b68eeae55b1c695,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5119,3162,1400,4562,33.588378,,,false,false
qualitative:lobs_105175a47d0bf328006c847a,repair_live,2,resp_0b062b7e067079bb006a66632de66c8193adebf875a46d7d8f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5326,3203,1444,4647,12.322604,StrictValidationError,response_identity_or_version_invalid,false,false
qualitative:lobs_2f57634a0d2f2cccacadca55,repair_live,2,resp_01d09a315f758056006a66632dded88190b120e22009bd26ca,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5418,3242,2031,5273,15.999545,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_321b74bf35c1678baf2117d9,repair_live,2,resp_0099a574f1daf292006a66632de27081969e8b416803bf8710,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5281,3194,1032,4226,8.653381,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_51d5b08940fb49b9b653b73f,repair_live,1,resp_098dcdce75a0178a006a66633de6008193833a642ac7392034,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5099,3165,1011,4176,8.679314,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_53c2e6713eba586585db1104,repair_live,1,resp_01a90882ad541496006a66633de7d881958b33e0771d687a4e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5048,3150,1689,4839,13.987091,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_622a3bcc02ac766500979c43,repair_live,1,resp_0d591b94c3411835006a66633de3c8819683e613833584bf6a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5083,3155,1092,4247,9.232843,,,false,false
qualitative:lobs_698c36b2be5198d4fbeef9e1,repair_live,1,resp_0e9883a8e4e68691006a66633de52c8195ac16fcce7bd9ce41,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5044,3157,1380,4537,13.092132,StrictValidationError,supporting_quote_not_exact_substring,false,false
