evidence_id,row_document_id,attribute_taxonomy_version,primary_attribute,overall_evidence_quality,scout_priority_signal,no_wage_gap_claim,no_final_causal_claim,gabriel_backend,gabriel_model,gabriel_request_id,gabriel_attempt_count,qa_status,automatic_raise_mechanism__attribute_present,automatic_raise_mechanism__direction_of_pressure,automatic_raise_mechanism__evidence_strength,automatic_raise_mechanism__claim_relevance,automatic_raise_mechanism__reason_code,automatic_raise_mechanism__supporting_quote,automatic_raise_mechanism__claim_boundary,bargaining_power_signal__attribute_present,bargaining_power_signal__direction_of_pressure,bargaining_power_signal__evidence_strength,bargaining_power_signal__claim_relevance,bargaining_power_signal__reason_code,bargaining_power_signal__supporting_quote,bargaining_power_signal__claim_boundary,market_or_comparability_pressure__attribute_present,market_or_comparability_pressure__direction_of_pressure,market_or_comparability_pressure__evidence_strength,market_or_comparability_pressure__claim_relevance,market_or_comparability_pressure__reason_code,market_or_comparability_pressure__supporting_quote,market_or_comparability_pressure__claim_boundary,rank_or_specialization_premium__attribute_present,rank_or_specialization_premium__direction_of_pressure,rank_or_specialization_premium__evidence_strength,rank_or_specialization_premium__claim_relevance,rank_or_specialization_premium__reason_code,rank_or_specialization_premium__supporting_quote,rank_or_specialization_premium__claim_boundary,implementation_or_retroactivity_advantage__attribute_present,implementation_or_retroactivity_advantage__direction_of_pressure,implementation_or_retroactivity_advantage__evidence_strength,implementation_or_retroactivity_advantage__claim_relevance,implementation_or_retroactivity_advantage__reason_code,implementation_or_retroactivity_advantage__supporting_quote,implementation_or_retroactivity_advantage__claim_boundary,fiscal_constraint_signal__attribute_present,fiscal_constraint_signal__direction_of_pressure,fiscal_constraint_signal__evidence_strength,fiscal_constraint_signal__claim_relevance,fiscal_constraint_signal__reason_code,fiscal_constraint_signal__supporting_quote,fiscal_constraint_signal__claim_boundary,parity_or_internal_equity_signal__attribute_present,parity_or_internal_equity_signal__direction_of_pressure,parity_or_internal_equity_signal__evidence_strength,parity_or_internal_equity_signal__claim_relevance,parity_or_internal_equity_signal__reason_code,parity_or_internal_equity_signal__supporting_quote,parity_or_internal_equity_signal__claim_boundary,non_base_compensation_signal__attribute_present,non_base_compensation_signal__direction_of_pressure,non_base_compensation_signal__evidence_strength,non_base_compensation_signal__claim_relevance,non_base_compensation_signal__reason_code,non_base_compensation_signal__supporting_quote,non_base_compensation_signal__claim_boundary,base_wage_direct_value__attribute_present,base_wage_direct_value__direction_of_pressure,base_wage_direct_value__evidence_strength,base_wage_direct_value__claim_relevance,base_wage_direct_value__reason_code,base_wage_direct_value__supporting_quote,base_wage_direct_value__claim_boundary,safety_advantage_signal__attribute_present,safety_advantage_signal__direction_of_pressure,safety_advantage_signal__evidence_strength,safety_advantage_signal__claim_relevance,safety_advantage_signal__reason_code,safety_advantage_signal__supporting_quote,safety_advantage_signal__claim_boundary,non_safety_constraint_signal__attribute_present,non_safety_constraint_signal__direction_of_pressure,non_safety_constraint_signal__evidence_strength,non_safety_constraint_signal__claim_relevance,non_safety_constraint_signal__reason_code,non_safety_constraint_signal__supporting_quote,non_safety_constraint_signal__claim_boundary,gap_narrowing_signal__attribute_present,gap_narrowing_signal__direction_of_pressure,gap_narrowing_signal__evidence_strength,gap_narrowing_signal__claim_relevance,gap_narrowing_signal__reason_code,gap_narrowing_signal__supporting_quote,gap_narrowing_signal__claim_boundary,strike_or_no_strike_constraint__attribute_present,strike_or_no_strike_constraint__direction_of_pressure,strike_or_no_strike_constraint__evidence_strength,strike_or_no_strike_constraint__claim_relevance,strike_or_no_strike_constraint__reason_code,strike_or_no_strike_constraint__supporting_quote,strike_or_no_strike_constraint__claim_boundary,weak_or_no_claim_support__attribute_present,weak_or_no_claim_support__direction_of_pressure,weak_or_no_claim_support__evidence_strength,weak_or_no_claim_support__claim_relevance,weak_or_no_claim_support__reason_code,weak_or_no_claim_support__supporting_quote,weak_or_no_claim_support__claim_boundary
qualitative:lobs_04f9eb5b8890fe6d4dc6eeb3,lobs_04f9eb5b8890fe6d4dc6eeb3,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0c151380ad85450c006a66630c6e2c8194a9fbc35f72014114,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,strong_non_applicable_attribute_excluded,,No wage adjustment mechanism formula or automatic rule is stated in the provided span.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span indicates an MOU includes wage adjustments, but does not describe bargaining leverage language affecting pay.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,The span does not mention market comparisons or recruitment/retention competitiveness.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span does not specify pay differences by rank, certification, classification, specialty, or role.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span does not provide effective-date, retroactivity, or staged timing terms.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span does not cite budgets, funding limits, or fiscal/affordability constraints.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span does not mention parity, compression relief, or internal equity with other employees/units.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span does not identify overtime, stipends, longevity, healthcare, pension, leave, reimbursements, or other non-base components.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span confirms wage adjustments exist but provides no direct base wage, hourly rate, salary, step, or grade amount.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,The span does not describe a safety-vs-non-safety comparative mechanism that would advantage safety compensation.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,"The span does not describe constraints, standardization, delays, or reduced differentiation for non-safety pay.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,The span does not provide parity/equity/compression language sufficient to suggest a gap-narrowing mechanism.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_excluded,,The span does not discuss strike rights or labor-peace/no-strike provisions.,true,not_applicable,weak,not_claim_ready,insufficient_details_on_wage_adjustments,proposed Memorandum of Understanding (MOU) provides for wage adjustments,"This span only states that an MOU includes wage adjustments; it does not specify the compensation basis, amounts, timing, or comparative mechanism needed for claim support."
qualitative:lobs_169fe1f971d8b0e81b729eee,lobs_169fe1f971d8b0e81b729eee,v1.1,bargaining_power_signal,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_00cf20c4fbae5704006a66630c51a481939f584fb7af4e573c,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,true,neutral_or_unclear,weak,direct_text_claim,reopener_language_only_indicates_future_negotiation_possibility,subject to a reopener provision,The agreement is described as subject to a reopener provision regarding General; this indicates the possibility of future reopening but does not establish specific pay outcomes or timing in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not evidenced in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,Not used because at least one attribute is supported (weakly) by the provided span.
qualitative:lobs_19e13aeaceb57713ab40d13a,lobs_19e13aeaceb57713ab40d13a,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0c8fb5338d133fc0006a66630c57f08196a6ca2d605b738441,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_direction_absent,,"documentary-only: the span addresses dues deduction effective timing, not an automatic pay adjustment mechanism",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_bargaining,,documentary-only: no negotiation/arbitration/settlement language appears in the span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_market,,documentary-only: the span does not mention market comparisons or recruitment/retention rationale,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_rank,,documentary-only: the span does not mention rank/classification/specialty-based pay differences,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_compensation_timing,,"documentary-only: the span specifies timing for dues deduction changes, not compensation implementation/retroactivity",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_fiscal,,"documentary-only: the span does not cite budgets, affordability, or fiscal limits",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_parity,,documentary-only: the span does not reference parity/compression/equity,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_non_base_pay,,documentary-only: the span concerns dues deduction rather than overtime/stipends/benefits,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_base_wage,,documentary-only: the span does not state any wage/rate/salary/step/grade,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_safety_mechanism,,documentary-only: no safety/non-safety compensation mechanism is discussed,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_non_safety_constraint,,documentary-only: the span does not describe constraints on non-safety pay,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_gap_mechanism,,documentary-only: the span does not mention parity/compression/shared raises,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid_absent_strike_terms,,documentary-only: no strike/no-strike/labor-peace language appears in the span,true,neutral_or_unclear,weak,not_claim_ready,weak_dues_only_no_compensation_mechanism_in_span,Any change in the amount of dues to be deducted by the City wil l become effective the 30 days,"documentary-only: the span addresses the effective timing of a change to union dues deduction, which is not direct evidence of compensation levels, compensation mechanisms, or wage-gap dynamics"
qualitative:lobs_2d9afcd37b81c60586893cbb,lobs_2d9afcd37b81c60586893cbb,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_04239cac6a92c953006a666315917881979eeecc74746d5dcb,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,true,neutral_or_unclear,weak,context_only,annual_pay_period_timing_only_no_raise_clause,wfll begin the first pay period of each fiscal year.,"Timing language specifying that something occurs beginning in the first pay period of each fiscal year; does not, by itself, describe an actual retroactive or advantageous pay change.",false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:,false,not_applicable,not_supported,not_claim_ready,warning_not_applicable,,:
qualitative:lobs_36b39fbc5f98ee94b6d9cd7a,lobs_36b39fbc5f98ee94b6d9cd7a,v1.1,automatic_raise_mechanism,medium,medium,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0a5467937a293bca006a666318b2408195b782936b475dd414,1,schema_valid_exact_quote_verified,true,non_safety_advantage,moderate,direct_text_claim,step_based_rate_increase_threshold,"lowest step which provides the employee an increase in the rate of pay of at least three percent (3 %),","The span references a 'lowest step' that provides an increase in the employee's rate of pay of at least 3%, which is consistent with a step-based automatic compensation rule; it does not establish any comparative outcome.",false,not_applicable,not_supported,not_claim_ready,no_bargaining_language_in_span,,"The span does not mention negotiation, union leverage, arbitration, factfinding, or settlement.",false,not_applicable,not_supported,not_claim_ready,no_market_comparison_in_span,,"The span does not reference market comparison, peers, competitiveness, or recruitment/retention justifications.",false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_terms_in_span,,"The span does not discuss rank, classification, certification, specialty, hazard, or assignment differentials.",false,not_applicable,not_supported,not_claim_ready,no_timing_or_retroactive_terms_in_span,,"The span does not describe effective dates, retroactivity, or staged timing terms.",false,not_applicable,not_supported,not_claim_ready,no_fiscal_constraints_in_span,,"The span does not mention budgets, affordability, funding, or fiscal limits.",false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language_in_span,,"The span does not reference parity, internal equity, compression, or alignment with other groups.",false,not_applicable,not_supported,not_claim_ready,no_non_base_pay_components_in_span,,"The span concerns an increase in the rate of pay but does not mention overtime, stipends, longevity, healthcare, pension, or other non-base components.",true,non_safety_advantage,moderate,direct_text_claim,direct_rate_of_pay_increase_percentage,"lowest step which provides the employee an increase in the rate of pay of at least three percent (3 %),","The span directly states that the employee receives an increase in the rate of pay of at least 3% at a particular 'lowest step,' but it does not quantify an overall wage level beyond that threshold.",false,not_applicable,not_supported,not_claim_ready,no_safety_comparative_mechanism_in_span,,The span does not connect the pay rule to safety occupations or to a comparative advantage for safety compensation.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraints_in_span,,The span does not describe constraints or standardization that specifically limit non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_comparative_equity_gap_language_in_span,,The span does not describe parity/compression mechanisms aimed at narrowing a safety vs non-safety pay difference.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_labor_peace_language_in_span,,"The span does not mention strike rights, no-strike clauses, essential-service limits, or labor-peace provisions.",false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not applicable because at least one compensation-relevant attribute is supported directly by the span.
qualitative:lobs_394f913aea7e067e9f65cc3b,lobs_394f913aea7e067e9f65cc3b,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0712ebfe6956e029006a66631ef3f48194a9806278b4af378a,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,false,not_applicable,not_supported,not_claim_ready,null,,null,true,not_applicable,weak,not_claim_ready,occupation_label_only_no_compensation_mechanism,firefighter/paramedics,Identify whether this span provides any documentary basis for a compensation mechanism; this span appears to be an occupation label without pay terms.
qualitative:lobs_407e1b039bf8066e01f440da,lobs_407e1b039bf8066e01f440da,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0f2da360cd890ac0006a666320ad8c81949b68eeae55b1c695,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary context only,true,neutral_or_unclear,weak,not_claim_ready,pay_guarantee_without_rate_or_mechanism,Employees shall receive full pay for regularly scheduled working hours for any day when the,documentary context only
qualitative:lobs_51d5b08940fb49b9b653b73f,lobs_51d5b08940fb49b9b653b73f,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_021ba836fbe8b9b1006a666362b73881959c02a8bc6b966a34,2,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,modality_not_covered,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_bargaining_text,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_market_comparison_language,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_pay_differentiation_specified,,:not_applicable,true,neutral_or_unclear,weak,context_only,only_effective_date_and_role_assignment_in_span,Effective 11/26/00 members who are assigned as a Field Training Officer,documentary: the provision is labeled as effective 11/26/00 for members assigned as Field Training Officers,false,not_applicable,not_supported,not_claim_ready,no_fiscal_or_budget_constraints,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_non_base_compensation_terms,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_base_wage_amount_or_rate_reported,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_safety_relative_compensation_mechanism,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_mechanism,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_equity_or_gap_mechanism_text,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_language,,:not_applicable,false,not_applicable,not_supported,not_claim_ready,rule_not_triggered,,:not_applicable
qualitative:lobs_622a3bcc02ac766500979c43,lobs_622a3bcc02ac766500979c43,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0d591b94c3411835006a66633de3c8819683e613833584bf6a,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,false,not_applicable,not_supported,not_claim_ready,string,,documentary_support_not_asserting_effect_or_gap,true,not_applicable,weak,not_claim_ready,insufficient_mechanism_detail_in_step_continuation_clause,The Employee will continue his/her step position in the,documentary_support_only_no_claim_ready_for_wage_or_gap_effect
qualitative:lobs_77bd16fc54403f2c8659eb6b,lobs_77bd16fc54403f2c8659eb6b,v1.1,market_or_comparability_pressure,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0c16f1b408a6dfb7006a66634691b88195a8ae612bb07dfb9d,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_supporting_text_for_attribute,,Insufficient information in the provided span to assess an automatic raise mechanism.,false,not_applicable,not_supported,not_claim_ready,no_bargaining_leverage_language,,"The provided span does not mention bargaining, arbitration, or negotiated leverage affecting pay.",true,gap_narrowing,weak,documentary_mechanism_claim,mentions_market_conditions_and_salary_surveys,market conditions and salary surveys,"The span indicates reliance on market conditions and salary surveys as a possible comparative basis for setting pay, without establishing any quantitative competitiveness or wage-gap effect.",false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_pay_language,,"The provided span does not reference rank, classification, or specialty-specific pay differentiation.",false,not_applicable,not_supported,not_claim_ready,no_timing_or_effective_date_terms,,"The provided span contains no timing, effective-date, retroactivity, or staged-implementation language.",false,not_applicable,not_supported,not_claim_ready,no_budget_or_funding_constraints,,"The provided span does not mention budget limits, funding constraints, or municipal finance considerations.",false,not_applicable,not_supported,not_claim_ready,no_parity_equity_compression_language,,"The provided span does not mention parity, compression, or internal equity alignment.",false,not_applicable,not_supported,not_claim_ready,no_overtime_stipend_or_benefits_language,,"The provided span does not reference non-base compensation components such as overtime, stipends, or benefits.",false,not_applicable,not_supported,not_claim_ready,no_wage_rate_or_salary_amount_reported,,"The provided span does not report any base wage value, rate, step, or pay grade.",false,not_applicable,not_supported,not_claim_ready,no_safety_comparative_compensation_mechanism,,The provided span does not reference safety occupations or safety-specific compensation mechanisms.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_constraint_or_delay_language,,The provided span does not indicate constraints or standardization affecting non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_explicit_gap_or_compression_relief_mechanism,,The provided span does not mention any parity/compression relief mechanism tied to safety versus non-safety differences.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_labor_peace_terms,,"The provided span does not address strike rights, no-strike clauses, or essential-service strike limitations.",false,not_applicable,not_supported,not_claim_ready,market_surveys_phrase_is_relevant_to_market_comparison,,This span is insufficient to establish a strong claim but does provide some textual relevance to market/salary survey comparison.
