evidence_id,row_document_id,source_lane,primary_category,gabriel_claim_rating_eligible,direct_text_support_type,evidence_span_sha256,evidence_span_chars,attribute_taxonomy_version,selected_for_preflight,prompt_sha256,raw_prompt_saved,raw_response_saved,global_analysis_readiness
qualitative:lobs_002c1605061ebac04849affa,lobs_002c1605061ebac04849affa,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,70260b918d0b3d252934b2483666ea5fc918f1dcb2215896aacf584f80970b46,78,v1.1,true,82e2606b3c0186d4b3ce4456817c81ee5b902b372c9cd7766e26f36b505090a3,false,false,false
qualitative:lobs_0061e768a4924ce0613c5725,lobs_0061e768a4924ce0613c5725,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,bb45d4b78a8208e06ab09b7b50c037790c967d050e31392bb8a340bc10c62e78,64,v1.1,true,b462475d71155ae2730d20015096da74a1f11931495672c91366f725c6aba7bd,false,false,false
qualitative:lobs_00dcd4d701faa49826d0585f,lobs_00dcd4d701faa49826d0585f,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,4fa9f3d50263fb25eb3ee97fb2bd08eaf6c29c545621e443c4127eca10fa6c9c,81,v1.1,false,23b9482fa1fcf583841f4932e22f2cf879321b320258f645706288277acd80b4,false,false,false
qualitative:lobs_01c6e8860b466aa692232fb9,lobs_01c6e8860b466aa692232fb9,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,0e0630b0a6025b4b8efea1a21c9ccd03894398f33b85e2790451173bb912c3d7,93,v1.1,false,d58ec069adb8aae54eb82d9a2ae274f296050c593c2020f9225d563ce3f0906c,false,false,false
qualitative:lobs_01cf4dde9a822739e8c3a74b,lobs_01cf4dde9a822739e8c3a74b,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,7d4dd31dddbef9e52727c7cab05bd15c29fb6c0812454e00a863e05e70cbe8c2,38,v1.1,false,bc595ccfc675833123fd23615d7591b5327ec728e6b1e5e4b20102b7af84f078,false,false,false
qualitative:lobs_01d00a56e42bc6a4aef8fda3,lobs_01d00a56e42bc6a4aef8fda3,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,9e53867ab454fa3a4ff5fde4339e0d01771754e8f8d122fe5e3f1c1b288f21c6,91,v1.1,false,c932fd4b9325b3fce19625b47a30c6da02eec3891d8aec4da68b01ca98aefc91,false,false,false
qualitative:lobs_01fde53ca68eab05b472dac3,lobs_01fde53ca68eab05b472dac3,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,bed2eb790395d173b49daac41f89b07bc380db34040008b5a3a395b16ca75660,76,v1.1,true,93e93e6f9a705d4a88766b4ed02c7d321dd59caef11df1d3c52168a40a402807,false,false,false
qualitative:lobs_0225ab3abe275717ae62b033,lobs_0225ab3abe275717ae62b033,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,3080c7e03d530c465df9963f819997584d020b0b9cd89eed79cdd18ed5c67d3d,34,v1.1,false,dfe73f5d373d9e8290e8ae774e39e799bb448f7e1e6d6e744fdc0011e4b07b72,false,false,false
qualitative:lobs_0243e0cd2d60f9c9fd4c0959,lobs_0243e0cd2d60f9c9fd4c0959,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,69e65f6cabc67e63c23363a6243e99704552a0d571744e6356bb8325ed883a2b,117,v1.1,true,0d61e4d57b7a951097c1bdb80f40afa615dd38fa7c26ef58da07df0c236c4fc5,false,false,false
qualitative:lobs_028611b71918af6461eeb646,lobs_028611b71918af6461eeb646,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,0680788a8c5c4f474cb9beb3b3a55bdab8936f70e40a92d041fe3eba96cc956a,50,v1.1,true,fc3ad6c09dd69bf058f72a48ab9acbde744d041fa5ef18c375e66391557683d4,false,false,false
qualitative:lobs_02a7433f56918e8ac6df6a76,lobs_02a7433f56918e8ac6df6a76,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,278b952b0325dd1dd86ca2eaa58b5dea7ad7fb86b4f1bd41ba641194feb99a97,58,v1.1,false,c302cb5a66a86ca5c2f6966e916a60a828d8a64aeffdbf88ad559f6e70ee3f8e,false,false,false
qualitative:lobs_02cf16b14ae780a5964de0af,lobs_02cf16b14ae780a5964de0af,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,0807b8970f4b6faa8260167a0a2f0d783755bae0ce177f8da350014d0d41e3bf,78,v1.1,false,079ba0a2d23c64bf8a4396f4b1bcd148f27fdca9aca9488d63b17308fb6f71be,false,false,false
qualitative:lobs_04a9b383f777af3239a206b5,lobs_04a9b383f777af3239a206b5,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,03d44318558936d4d2c31427b73490c03ca4ba50b6a40265164b86c20e277763,79,v1.1,false,1185197b5e49a02d7fa9f69fb2c344e90ceafe0a5e39a98405b93a3ade30c316,false,false,false
qualitative:lobs_04af2e69e65f168d8a41a8b4,lobs_04af2e69e65f168d8a41a8b4,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,537f2f7f053f4e4875ccec1b089addd9f0c7eafe4820c9e9e82a5feab7e7e430,97,v1.1,false,44eb7a2b4c0129492d9c5f486c09caa36b5610de12758296bbd7673177058086,false,false,false
qualitative:lobs_04f9eb5b8890fe6d4dc6eeb3,lobs_04f9eb5b8890fe6d4dc6eeb3,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,8e0367bf40310686c36b3c3d5ec260cd4f9f5c45c4772ab243f9e8a9d9ca6ef5,72,v1.1,false,11880d60229105b0988e69ece976d21b622cdbfa25acf1072c7c2f7e9c3ecd08,false,false,false
qualitative:lobs_05ed2d217cf3eb2015ec8da8,lobs_05ed2d217cf3eb2015ec8da8,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,75132d90deae8579b37b135d60edfedea5364a0e3ca6745a8afa9414c91af7b2,75,v1.1,false,a7c2f69e17dbea99c60cbf984b81f29a0c8bff61f3b4cec9a4899dfe57dccfba,false,false,false
qualitative:lobs_05f168b6592855b18784b552,lobs_05f168b6592855b18784b552,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,6040a99660cbd2926c3483064c8812db2940290a2ff7fae28ddf45d1bdcb39e0,62,v1.1,false,4b189e22d0f9cb6c446f3337889cdb52f0c04d5bb20d2c1beaea0a81da2d371a,false,false,false
qualitative:lobs_05f932347077c338d0432940,lobs_05f932347077c338d0432940,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,dddae57da4773d9213b9fac6440c256d28f1310edc73452ad026c320759df70f,102,v1.1,false,6526c3a23cde63fdcbab5f892577865c36a2ff3e6bab44b97450070b192cd813,false,false,false
qualitative:lobs_07823ba1699c5a20b69eac86,lobs_07823ba1699c5a20b69eac86,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,b485a1e0efb96760de27da41cf8bed06c5caefeeb99913b28f827e8858509d0e,96,v1.1,false,676d3b55e497eafbc161fcf442b2edaefbf52bb00c1b10e2ccbcc28ad7cf25e1,false,false,false
qualitative:lobs_07e6da7b57d0082cf5ef0fb1,lobs_07e6da7b57d0082cf5ef0fb1,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,a9002a92296c49b940df5049f5d9783befea522c3db6cd65c4b4181e085fb3ec,94,v1.1,false,2f4bb8d6ee5e21f939f836dc6b541a8a1a5231653cf2bd82921fc9054e050976,false,false,false
qualitative:lobs_080a5c596af4aded2e2024bb,lobs_080a5c596af4aded2e2024bb,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,024ec9ed562ff972e5bd19fefda41c302c687d0f9cdd81a67efaba93efab672f,70,v1.1,false,417e9994a971b03933198dc5fd5c4097da49a4ca1901c5bafcb941a77904ba0a,false,false,false
qualitative:lobs_08b2db187a40195c1ea6dc7a,lobs_08b2db187a40195c1ea6dc7a,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,26d6740f58db4129e0b386c41dd7b742b65bed7954700f0103ccf964a2fac9ac,98,v1.1,false,98e1647f1a3a94f37ac85b2da629916d9237abc2b70cd518a81e851e65be31a5,false,false,false
qualitative:lobs_08ba3bf246af07a17259fec9,lobs_08ba3bf246af07a17259fec9,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,3e4266d9b60a3cf11b16c6165aed24e8c7557b014007321084e6626aba166807,78,v1.1,false,15529346cc771de009237605d94cdedeca662dbda8a2dd2dc804c033f4fd12c4,false,false,false
qualitative:lobs_08efea99be6a889c1ff9d038,lobs_08efea99be6a889c1ff9d038,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,f2adf6f0587a3af1ae9e0e47b90514fd01dd550c5561f24ec576e784d12e8fb1,25,v1.1,false,6976ddb7ab324074f8058bc024470b70cca91e130741cbe5554fe4001a3ec2c2,false,false,false
qualitative:lobs_0a20cffb8ceb1d1bd67fe0e3,lobs_0a20cffb8ceb1d1bd67fe0e3,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,8869c987423385e5ebd311ebf981e7f94c1875c81c9362d066d88a025fc03f3d,42,v1.1,false,d1dd47bb72639b467923676c74e60236bce71f32dfd9867808a4fe7cd078f471,false,false,false
qualitative:lobs_0b01ff022d0f0db2fd3d39e4,lobs_0b01ff022d0f0db2fd3d39e4,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,0e15a835029314f4bc7d382498d779b9508418bcd811625f2c8ed225b8a17e43,38,v1.1,false,7cbe77bb2b299cef39a0afc160dfdf5967ab472a1f5ceb7f1af0bd7b501f0826,false,false,false
qualitative:lobs_0b2dc09a9220ded163d87b64,lobs_0b2dc09a9220ded163d87b64,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,ce97ff2c64613492aed30244088c8c929063a95c8d80624dd2040f2c71b3c82c,82,v1.1,false,76221bd5ad7b700a84add8dd452d49a246c33561fac790df1deb5d0ad5df2ec1,false,false,false
qualitative:lobs_0ba2ab07187af618deb701a1,lobs_0ba2ab07187af618deb701a1,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,488706f73b4b0d103a793678e3cac51a354e62e15cf06038394d14bc484fb409,77,v1.1,false,ee40874a43df5fb539a2314a8f16260d19b70cb2aaa11de382e092c207a9966c,false,false,false
qualitative:lobs_0ca3a046bf59fc283f5f0170,lobs_0ca3a046bf59fc283f5f0170,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,ed567b4206963c78880728f0b6fd5b723f8a84e7a9175bcbd00204e164ec419a,73,v1.1,false,bf453e5fb008eb5be71d2ceeb7535b7475f759872c4e9c9c0f29dec2818e5419,false,false,false
qualitative:lobs_0cf42a3c9837cbbde76681c3,lobs_0cf42a3c9837cbbde76681c3,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,95f19e8bf0c6a42131a911424ccf850dcbd5bc6711db37f604838a28b47c1c70,73,v1.1,false,809a91f7223a6fbb315a2735e6c7bf0f1257f5d41f42ee901d3faeacda5b7ba5,false,false,false
qualitative:lobs_0d5423a9fc2b1796a80db643,lobs_0d5423a9fc2b1796a80db643,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,04c9385f30679ad34fbe62797fadb9d1f25b002941a1e12e81db8249c0a4df42,101,v1.1,false,ffa8bde08a456b2cd305c196635fbdde24b7e3f69338a94cd408b5e58287432b,false,false,false
qualitative:lobs_0d9894951eb7dfbcc3747a0a,lobs_0d9894951eb7dfbcc3747a0a,qualitative_exact,gabriel_attribute_ready,true,exact_verified_span,4a70f44a89213755af09a5fd151298ec6b40718b3d3a4082651766952e374f3f,86,v1.1,false,6f40a77a0b74d503bf3d1059a8fe6cceaac2d999e95140eb0c12bb1ee06d87ed,false,false,false
