evidence_id,stage,attempt,request_id,backend,model,status,schema_valid,input_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
qualitative:lobs_002c1605061ebac04849affa,live,1,resp_0ac41f594fb800b1006a66548e0d6481948ddcdb1326ffc551,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4476,3040,1047,4087,9.171607,,,false,false
qualitative:lobs_0061e768a4924ce0613c5725,live,1,resp_040fced910ce05d7006a66548e10fc8193a73f1c35722b37ae,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4462,3040,928,3968,6.736319,,,false,false
qualitative:lobs_00dcd4d701faa49826d0585f,live,1,resp_0e658c59c8c1aabb006a66548e0ebc8197aab29cf8861020f1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4479,3041,1307,4348,8.893084,,,false,false
qualitative:lobs_01c6e8860b466aa692232fb9,live,1,resp_09a3ed8cacd65849006a66548e224481939cd5c2bd8fd5f7f7,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4491,3040,1396,4436,10.828746,,,false,false
qualitative:lobs_01cf4dde9a822739e8c3a74b,live,1,resp_0ff7f8dc2cc6125c006a665494a25881949c6ac9e7b9521e1d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4436,3032,1232,4264,15.861464,StrictValidationError,weak_attribute_controls_invalid,false,false
qualitative:lobs_01d00a56e42bc6a4aef8fda3,live,1,resp_0562a772b6a43def006a665496cef0819089aae6e6e068bdaf,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4489,3045,1176,4221,18.255488,,,false,false
qualitative:lobs_01fde53ca68eab05b472dac3,live,1,resp_038a75c4b9af584d006a665496e15c81978d254c6b9af75901,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4474,3043,1581,4624,19.634427,,,false,false
qualitative:lobs_0225ab3abe275717ae62b033,live,1,resp_07cb6bd148a46b8d006a665498dd40819489476b695eb4d524,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4432,3037,1725,4762,22.676498,,,false,false
qualitative:lobs_0243e0cd2d60f9c9fd4c0959,live,1,resp_0bd1fb216d65ec76006a66549dc30481948ffa08421e617c7d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4515,3052,1559,4611,26.496001,,,false,false
qualitative:lobs_028611b71918af6461eeb646,live,1,resp_0e04a0006f2c9dac006a6654a02604819683261a49e0e92643,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4448,3028,1488,4516,30.507130,StrictValidationError,weak_attribute_controls_invalid,false,false
qualitative:lobs_02a7433f56918e8ac6df6a76,live,1,resp_0df4fc43b8294751006a6654a187f08194a4f5b9ff28f71e85,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4456,3039,1542,4581,29.969137,StrictValidationError,weak_attribute_controls_invalid,false,false
qualitative:lobs_02cf16b14ae780a5964de0af,live,1,resp_080ff4242858696f006a6654a4b1a8819594531ab3982c6584,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,4476,3038,1597,4635,36.429082,StrictValidationError,weak_attribute_controls_invalid,false,false
qualitative:lobs_04a9b383f777af3239a206b5,live,1,resp_0b379e30db8f5cec006a6654a861f081908b4bcce9f37e181b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4477,3043,1451,4494,36.223437,,,false,false
