claim_id,language_boundary
CLAIM-F,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-B,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-E,"local, bounded, directional, non-prevalence, noncausal"
UNSUP-06,"local, bounded, directional, non-prevalence, noncausal"
UNSUP-05,"local, bounded, directional, non-prevalence, noncausal"
UNSUP-03,"local, bounded, directional, non-prevalence, noncausal"
UNSUP-04,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-A,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-D,"local, bounded, directional, non-prevalence, noncausal"
UNSUP-02,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-G,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-H,"local, bounded, directional, non-prevalence, noncausal"
CLAIM-C,"local, bounded, directional, non-prevalence, noncausal"
UNSUP-01,"local, bounded, directional, non-prevalence, noncausal"
