aggressive_tier,caveat,claim_links,corroboration_status,direction,formula,magnitude,raw_values,relaxation_rule,result_id,semantic_outcome,source_basis,source_coordinates,source_count,source_ids,source_record_id,strict_eligibility,unit_type
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-d3ceb8d52202f53e1200f36b,unresolved_rejected_from_math,28.9%,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""27"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-64670a4e0a8e8938d899afdc,XREVIEW-3b58fa7c2d56a1d22e39776c,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-35c3b35989fc734c6596f01f,unresolved_rejected_from_math,2023-84,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""85"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-44e504982dc431df38a10708,XREVIEW-0939dc7dbdba438e108cdcd1,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-057799d900ab3821fa7ac1ec,unresolved_rejected_from_math,Approve the Engineering Services Agreement for the 812 3rd Street NW Drainage Project,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""20"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-5beaa661624616479cd7970e,XREVIEW-b4f29a2549a7d167013eae67,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-3d3ae69de101b6881fcbe7ae,unresolved_rejected_from_math,Mowing Assessment,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""95"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-44e504982dc431df38a10708,XREVIEW-f21d35f93a2d71733771f9a0,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-f69413bace57d29884763e2f,unresolved_rejected_from_math,81526,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""5"", ""table_id"": ""html_table_1026""}",1,EXTSOURCE-44ad17c14c1f1db2f5c2248d,XREVIEW-00bf19a3cb501e1d6efea72d,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-d30e895e932bcb5fe12b20b0,unresolved_rejected_from_math,PPME #2003,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""137"", ""table_id"": ""html_table_10""}",1,EXTSOURCE-104dad7fd8345a6b35aa2838,XREVIEW-00e8a326f938bbefde0c5409,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-fb5cb144ccdc92faf22c25e5,unresolved_rejected_from_math,123876,"{""character_end"": """", ""character_start"": """", ""column"": ""11"", ""page"": """", ""row"": ""5"", ""table_id"": ""html_table_1902""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-01c5390c64151b003ce9da79,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-9176baa885a7ac7208c3c6be,unresolved_rejected_from_math,77107,"{""character_end"": """", ""character_start"": """", ""column"": ""11"", ""page"": """", ""row"": ""3"", ""table_id"": ""html_table_94""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-02d36585b3c56bf4fc447f75,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-1aafa6055f8735516ab4f12c,unresolved_rejected_from_math,56136,"{""character_end"": """", ""character_start"": """", ""column"": ""7"", ""page"": """", ""row"": ""3"", ""table_id"": ""html_table_1166""}",1,EXTSOURCE-886430f45a89a0270fa56412,XREVIEW-04f60544553a8b7418115d3f,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-100ee1c4500e3d98fc08525b,unresolved_rejected_from_math,157482,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""12"", ""table_id"": ""html_table_610""}",1,EXTSOURCE-44ad17c14c1f1db2f5c2248d,XREVIEW-052e7ee92a5c1e55a8a618a5,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-b637d7bb31e4791f5ccbc793,unresolved_rejected_from_math,98260,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""9"", ""table_id"": ""html_table_682""}",1,EXTSOURCE-886430f45a89a0270fa56412,XREVIEW-0632562b863221d1e1eb1ffc,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-eed6c65ad6dbdbfc5088cf0e,unresolved_rejected_from_math,64614,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""2"", ""table_id"": ""html_table_818""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-0651bdaf7722917bcf3f2d7b,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-aec261432b2f1e26e3c9efb2,unresolved_rejected_from_math,142841,"{""character_end"": """", ""character_start"": """", ""column"": ""6"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_630""}",1,EXTSOURCE-2b375b6626cfc22f53a63540,XREVIEW-07a8d5ef28c1f5dc11304bd7,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-a80f684b9cda5cade5ed9ef5,unresolved_rejected_from_math,178326,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""5"", ""table_id"": ""html_table_1718""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-085c030cf6103f744159ee16,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-3c42833226cc9a1be243ab0c,unresolved_rejected_from_math,95619,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""9"", ""table_id"": ""html_table_562""}",1,EXTSOURCE-44ad17c14c1f1db2f5c2248d,XREVIEW-0871b99a02e473e16ad92089,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-fd10e5570690944077e9202b,unresolved_rejected_from_math,51677,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""2"", ""table_id"": ""html_table_530""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-088e18c615a226f9b6bd5e49,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-07206e4df07556a0ab91f7ed,unresolved_rejected_from_math,RICHLAND,"{""character_end"": """", ""character_start"": """", ""column"": ""6"", ""page"": """", ""row"": ""103"", ""table_id"": ""html_table_3""}",1,EXTSOURCE-ccfd062db1daf922a994bd72,XREVIEW-08d76d18f40625b0bcd8c2c2,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-c92a7b85feae344c59e85d14,unresolved_rejected_from_math,122590,"{""character_end"": """", ""character_start"": """", ""column"": ""7"", ""page"": """", ""row"": ""13"", ""table_id"": ""html_table_1214""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-08e13f26256547b4d47eed62,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-f0581fc58fe649417956aca4,unresolved_rejected_from_math,49382,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_1166""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-094d1db3e903ff7deec8c045,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-2afccbce9ce4112ad8d9138c,unresolved_rejected_from_math,105958,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_1142""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-0af45186b0e44b19fd510740,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-5cd5fc521cd0343ccb0b4f2a,unresolved_rejected_from_math,Margin of Error!!Native!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""707"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-147d69f5a810acff834a01d3,XREVIEW-0f0e3f315382a14cf168453a,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-ac3ddac7f0276eef446de837,unresolved_rejected_from_math,73390,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_914""}",1,EXTSOURCE-94ded4c1c8d8aedd37e63d9b,XREVIEW-0fea99bddb17d0bfe0db36d2,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-fd54daeb8f68d498e5646bed,unresolved_rejected_from_math,110020,"{""character_end"": """", ""character_start"": """", ""column"": ""4"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_666""}",1,EXTSOURCE-a9f23fd03eb83ee93d70974a,XREVIEW-110d3a668e8a820b06b05846,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-3193303533c6447d2dd3fc6d,unresolved_rejected_from_math,45318,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""94"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-e62485b5c658cdcfb36d66d7,XREVIEW-1134efb22e0cb4ae5ffb7343,unresolved_conflict,conflict
