selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status,cumulative_cohort,requires_gabriel,seed_selection_rank,inventory_rows_for_content_hash,duplicate_hash_representative_rule,excluded_duplicate_detection_ids
1,cexrem_7976b7bc63e1f1714e7c9fd9,doc_0204ad65859ef7655f0afd53,ttd_49f5982012a31b1e4bd435e1,pr_b2d58fdd0e86e4f89c387162,sr_e4e8dd7813d98c4a8a3b835e,NSCQ-AK-20260720-0017,TRI-d7ffec65484bc2a973fb,VER-7700f23870a792003af3,AK,Ketchikan,CITY OF KETCHIKAN,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf,b57b587cf1e72e5fc99ba0f9a38a5f3db3a1d5f637bf0036565c436522919e24,25,present,likely,p1,"1,4,6,24,25",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_1cb8ec81254def7885f61a8f,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
2,cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,pr_2f8d3485a50b49b2c2c3489d,sr_12cf9fc6374c39b966feff9e,NSCQ-AK-20260720-0016,TRI-e8e18b060cbaa89950f9,VER-8bc7486e41a5a93200cc,AK,Ketchikan,CITY OF KETCHIKAN,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf,0c70a4a768b7faa76e39773ef25160858afcb45c15687375f044802d5ae8068d,33,present,likely,p1,"5,8,12,17,32,33",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_1cb8ec81254def7885f61a8f,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
3,cexrem_7b4d52a81880763a8ae85c85,doc_6b79b7fff367cc170a3aa876,ttd_9bcb5fe5e443c3717b1b27e7,pr_5169ef1055a9adaac45a544d,sr_90b2b7dd9a256d4a1d7200fa,NSCQ-AK-20260720-0026,TRI-049e41bc59c872281ac8,VER-a50e96c2fff0329bbe8e,AK,Kodiak,CITY OF KODIAK,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0028_sr_90b2b7dd9a256d4a1d7200fa.pdf,eea8162bfe6a5262dc0695eaf0aa9824b505aa4e9285c12358e5a36f705fcaa3,78,partial,possible,p2,18,62.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_7091c5f67e74eec59f41b2cf,no,,quantitative,qual_mechanism_ready,medium,4,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
4,cexrem_55a1aa9edee2455edb807f61,doc_678e04748b29da50c6e1bcad,ttd_b804ace850e92c271c760ee2,pr_050dce9e3c13f33b1286c93d,sr_acb5ecbffecbf0b6b5bb75dd,NSCQ-AK-20260720-0014,TRI-3121414cb347d0ee2847,VER-6470cff7ca953eb28287,AK,Sitka,CITY AND BOROUGH OF SITKA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0133_sr_acb5ecbffecbf0b6b5bb75dd.pdf,07dfcc0018f9260f7457e26b26364b70309b07021ed547ab68e10b632f429570,38,present,likely,p1,"2,9,17,22,37",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_1d6dbd761c9c9f6fa44d55a0,no,,mixed,non_wage_compensation,medium,2,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
5,cexrem_407722e872d3febebc274451,doc_dbad9cd1fc2560c993df7346,ttd_5ea9e73b5c1f986ce8cebe11,pr_3c1060100d37efc23367e6e2,sr_9c5d52dc460ebd5cfc4ce342,NSCQ-AK-20260720-0028,TRI-e7d8c176b91518472af0,VER-da2f78a845a8ff70a216,AK,Soldotna,CITY OF SOLDOTNA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0098_sr_9c5d52dc460ebd5cfc4ce342.pdf,957fa719f739534d6893d9f7ebee910a6ce1ebc7471f73b6f80572803b7ed2d4,62,present,possible,p2,"8,32,35",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_f8a394d7c32974f8c43110eb,no,,mixed,non_wage_compensation,medium,3,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
6,cexrem_e2e583869452f274736fbf86,doc_37f96ee78c60d0e69b37e6ae,ttd_21b99bd278e79d487bf4e48c,pr_868ed246c64ce4c5c1c8e735,sr_8685c843b921e528f02463ba,NSCQ-AL-20260720-0007,TRI-5689d8c34eb7ded065f3,VER-0c92ba99c02bf461bbae,AL,Tuscaloosa,CITY OF TUSCALOOSA,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0471_sr_8685c843b921e528f02463ba.pdf,bdc1deaf2d1f9d065e62815228c74edf2b46698fb714372d641f7ad8be63e0b3,1,present,likely,p1,1,92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_745e8357ffb7242478809640,yes,cexrem_e2e583869452f274736fbf86,quantitative,quant_table_ready,high,1,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
7,cexrem_fc1c4886f0b9cb3ed32d8198,doc_83cce29a224428fb85372ba4,ttd_eaed26a75145d881225f4f89,pr_7041ff092a907cc2ec8d7efb,sr_d73c9a81583ea67b229040c7,NSCQ-AL-20260720-0010,TRI-8f0c7c48e91442b1ca6d,VER-532a0b5b4b1c09cb8a79,AL,Vestavia Hills,CITY OF VESTAVIA HILLS,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0487_sr_d73c9a81583ea67b229040c7.pdf,afb062bc13ca4ccd8492e2c4267f5f01cf29de6f8d608e2ce79b5bc0bb56c5df,6,partial,likely,p1,"2,3,4,5,6",92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_7a442acfa852bc61191b6348,yes,cexrem_fc1c4886f0b9cb3ed32d8198,mixed,quant_table_ready,high,5,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
8,cexrem_06a6c2f877d5523991bffc4e,doc_1c5ce0b476efdf116092be6d,ttd_76dfee39fe63a1fe2592e985,pr_92c626d5ace4a422c607fb2d,sr_e280e190518ec5d9e00dc30c,NSCQ-AR-20260720-0012,TRI-cd1d8d6231f9ba1dd34c,VER-6a6bfe30d7989b331772,AR,Hot Springs,CITY OF HOT SPRINGS,fire,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0471_sr_e280e190518ec5d9e00dc30c.pdf,827f2aa89f5e6e656a8a2e627f9c16b0ee9d0fa1beaaee043748da31f7d6a0f5,1,present,possible,p2,1,74.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_af1b4f20764e1e37aea61bbb,no,,quantitative,quant_table_ready,high,1,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
9,cexrem_56b3d5daebde7331c06eefb4,doc_30ce550c927f1fcb2f312232,ttd_984937e82f2fde639f0273bd,pr_6fa5417ef7e7727031fecae4,sr_89c242d47c5db20e7e11cc87,NSCQ-AR-20260720-0014,TRI-a583076888b781e42e3a,VER-72e359268d7b11aed332,AR,Russellville,CITY OF RUSSELLVILLE,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0487_sr_89c242d47c5db20e7e11cc87.pdf,5c235776a730132ef8a9e51d60e20e66d78beb515a643e7065b24b7cc87f1dd3,62,present,likely,p1,"8,21,32,35,62",42.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_8eca15ac7aacfa371298a6bc,yes,cexrem_56b3d5daebde7331c06eefb4,quantitative,non_wage_compensation,medium,2,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
10,cexrem_ed66a11a045084e7c067223f,doc_4cfedd1b271871a2e03f2da8,ttd_46bca05ef946acfe58c1fc3a,pr_810588465fde4f37ce5a70af,sr_f1c1f91cf127870028e6233a,NSCQ-CA-20260720-0025,TRI-b266d68b30f57accbc32,VER-4bead84fb739c9430e71,CA,Anaheim,CITY OF ANAHEIM,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0141_sr_f1c1f91cf127870028e6233a.pdf,2a3785a428a84e05c41fcb4e3e946401b4d0b22f5a868fe142d815a4da4c150b,79,partial,likely,p1,"2,10,18,27,36,40,44",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_2a9f874d61ae89a768b05e2a,no,,quantitative,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
