request_phase,extraction_case_id,gabriel_request_id,gabriel_backend,gabriel_model,request_status,schema_valid,prompt_sha256,prompt_chars,input_page_count,input_text_chars,input_image_count,input_image_bytes,raw_prompt_saved,raw_response_saved,encoded_image_saved,response_sha256,response_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_message,credential_value_saved,authorization_header_saved
preflight_remaining_duplicate_hash_selection_provenance,cexrem_6379e1ca68979bb9e5bf6b80,resp_045ee727dc1363b7006a655e1f8390819680088a31bd1289c5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b80bc86eb4507fc055fc3cae9326a85cf39803f94c213eee58a4e53a5f00aea0,10276,6,5990,0,0,false,false,false,f8ea3147d3d0ab5582cc97ff8aca40e7682e446f7f5bbaf11eee9c08686537e5,2433,3066,662,3728,5.601524,,,false,false
preflight_remaining_quantitative_base_wage,cexrem_f2550aa548eddcebbd97b945,resp_05151d3c3734b124006a655e252ed08197b1f2ed3ff709503f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,fd498110dd553866eade9ac6fa1fc8725e5a136e8ab29b50dc36d69544a2eefb,9938,4,5995,4,898913,false,false,false,0284104100e723719bd92ae8b0ddcf3bb1a319afeee1aff1e10e29065447f1f8,1223,10359,475,10834,10.169563,,,false,false
preflight_remaining_qualitative_mechanism,cexrem_e8b84612368498979344249c,resp_016766dff9126b4f006a655e2988588195818e48fb08e37708,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,36d2da4950e8b1796a4859f5b9018d37b09f1182d59ad73c39a1c225e4c43e38,10301,6,5999,0,0,false,false,false,ca850f552d52f4e33f328516be9219a70e1ec057d3f20d986a312ad4aa481151,3335,3167,1354,4521,20.481367,,,false,false
preflight_remaining_mixed_quant_qual,cexrem_fc1c4886f0b9cb3ed32d8198,resp_00f13e0da4057f6d006a655e34c6e48197b638fec39ccbdef5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,c12c12096e90fd772fdf4ff8956acde9d913e5a38007182887e661150641f3c8,10051,5,5958,5,896817,false,false,false,6a24f5da07cc24d827ade5656264c9cfe43e708ed17a308e4fc1c08e322f412b,3573,11904,1292,13196,30.703246,,,false,false
preflight_remaining_non_base_wage,cexrem_2891b7fb41e14ba86f2c6c62,resp_0ce9141d3d30578b006a655e3e63f48197b91f88cab197e68f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3ca113d9bed9f6f3f96aacf2cdc3e0e56efbaae017f45e7e4cac004e50c53ed3,9864,4,5958,4,895322,false,false,false,a39f10c46524730eaeefe2f4474b32a9905cd9f140389bdaa1628051a3ef8548,3002,9692,1101,10793,39.307477,,,false,false
preflight_remaining_reference_exclusion,cexrem_f38178c6808bfbeae47dbe6d,resp_032f4c417751b710006a655e46b5cc819494995c618ac81db2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a2438f0b1fda5334ad776cd0712cdf4cefb82a6aee549ecd1232b1ded892b218,3163,1,40,0,0,false,false,false,8eb377f38a7b918e87c5350054b6b63586eb0e73864837f20bd6ad578bc9dea0,403,1489,115,1604,42.335988,,,false,false
preflight_remaining_effective_date_or_classification_conflict,cexrem_951efbf491ce6ccbbcc45d5e,resp_01d2c879fe3aa86a006a655e49b89481948940f95d053f8109,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5aff0163cd5a8e901fe5243a7db3c39e5402fcda1c1a71d9af08899a3a89caa4,6274,2,2889,0,0,false,false,false,03644739881cc085737ce2b88177d1c5aba0141192b166a5def6349db2bcebf6,2345,3432,984,4416,49.935327,,,false,false
live_remaining,cexrem_007edd0a114bf284d65c985c,resp_0ab82bc8eef7d190006a655eacd0c08197bc894a55f8303e65,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a98512a85476993cd02a7ae56273ff69d86b66460b350f3d9f298774e1d5f478,10307,6,5998,0,0,false,false,false,bcfbf827b68841890c58b900b258a91633396b818edad59626e8fb12c45d260f,3881,3113,1068,4181,8.122745,,,false,false
live_remaining,cexrem_00c51bb8a1a79e2787e2a729,resp_0683d32ee58d3fd5006a655eacc8388190bbfb0b551bece404,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5b02e4455593c204a4065abcfa7aeb048cf40685abba618123f49a6d62145ebf,10374,6,5978,0,0,false,false,false,9c2664af9f655f3ab2d15c37787093e1d00c439053f4c30bc44c8210508f8cae,1005,2949,399,3348,3.626228,,,false,false
live_remaining,cexrem_01153898e2ab36319d9c1a75,resp_05befb6f459ea810006a655eb057cc81979e1732c53e518adb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,72f06c252e8a46a8933804c298f604451ae53a0e47090b97c8ac8b18f4219624,4099,1,945,0,0,false,false,false,c7be73e03051bf42604eda597468a3aea5b0b228ef1929b1b17f49ad30295f27,1598,1705,626,2331,8.392597,,,false,false
live_remaining,cexrem_0167e5cbc056715d4589725d,resp_010f0b4a79c00a45006a655eb4a20c81938e81149ec04cc2df,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b4cd9944b2d159598573000c671bfa4033ff9fbc1625ba0b22001dd44acb1c65,10289,6,5999,0,0,false,false,false,31641cdd05ce374d12a91c6768e9cbbe1ce673e72b5dab68831b680004bf82ee,461,3087,157,3244,10.653952,,,false,false
live_remaining,cexrem_01cd5622b306c209234f0dc2,resp_0b055f2840a7dd84006a655eb517488190a578864ae136dffb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,377502645fe292758191ed228437c58731914788c4871d8b7e2ee1363eea734f,12788,6,5840,0,0,false,false,false,28b8670259fb1e8826f386b68f9c805a1ae4516070e32e1be121acf6eac18978,6017,4768,1946,6714,21.368914,,,false,false
live_remaining,cexrem_0240c3e41c60845c5d3dbba9,resp_06d2b5594b971164006a655eb757a0819782ef81e9030a2d4d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,3b2c6a54460670061dad83c02d4761a6717e31e01a05f714ccbcb477c8a5a632,4573,3,965,0,0,false,false,false,9db4d4379a684bc5bde1aa55238e185e21d32bc2bea1042dae2163558dad3da7,485,1969,162,2131,12.626668,,,false,false
live_remaining,cexrem_02568b99a95ebceab2658c4b,resp_0d8ba1b7547ced36006a655eb94cdc81939301937a8f6126e0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,fa07822e1d1d085e553a9ed03a4c5870d362242c872effd26cad288308092aec,10286,6,5999,0,0,false,false,false,d300048fe2fd255e6b74fea4863310d2fa0bd5cfe13e348f54ed983d412248fa,690,3342,264,3606,15.557633,,,false,false
live_remaining,cexrem_0302535fbb5097ab14230f65,resp_05c1ee6223080ba5006a655ebc82c08193bf1c239203f82aa2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,43540d25e59a1660b4b9c58b4a4fc4e3f2c1ffebe0f36a98f9383e6585cfe1ff,10333,6,5999,6,1207485,false,false,false,dab57325d9e030da33a57003e07c60fd3ed84c11faae070825f7a7a1243313ab,2289,11310,873,12183,22.589741,,,false,false
live_remaining,cexrem_0303ce19c75dfebe4219f5a5,resp_0f40d4021e92ac30006a655ec2099081908436d51c89790a19,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,ed24a50dc1b9bab58db52a8d447eabeb5f0e563d2d20c5a46dcfff874cef4c2f,10366,6,5997,0,0,false,false,false,e942e20b72a44158175442509916afba2c406f9382e305ce043a6ebad9cd53cf,4599,3040,1580,4620,32.368736,,,false,false
live_remaining,cexrem_0311ca501c5f15922e950614,resp_066a8f9fe46a7758006a655ec34078819385f661b2539d9d95,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,dc24b5d188b7951286daefb125e64fbd9f3440c0edff1cefa34748e294fc249d,10289,6,5994,0,0,false,false,false,33112fa3147a9ee3dd96929d4520885707133dac549f67b4a954534d22823e99,1508,3336,439,3775,26.130535,,,false,false
live_remaining,cexrem_03c643199b449f6402adc069,resp_0fd643a4d64b8145006a655ec6ed8c81908bdd882d2efddfd1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,c2d09684fe60f1fe3e7073cae7d71bad1b8ed12cba73e19c9e6342f22cd74939,10284,6,5994,4,657776,false,false,false,c1f470ef2ba6cc5ed88e9c99f870d588d2d82e60a6262f5af9095a41a93c8c3e,784,8460,389,8849,29.863154,,,false,false
live_remaining,cexrem_03dd643c301e670fbb2d5445,resp_03ee1b390aeccf5e006a655eca8f988195b5a7a584a4383cc4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,69bdaa2b543a073c3f11254be34de7623ddd6221b4fe4dc25115e998a53ec4de,10281,6,5998,0,0,false,false,false,1241a4162dd6ff9d8bc373708e1c5d97d19f9c34e778db2072d3448c060f14ec,2559,3068,1102,4170,37.880919,,,false,false
live_remaining,cexrem_04324078d3497f0194032ef5,resp_082efd61abb3bbbb006a655ecd114c819095a70bff5e206855,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2195627e1e8c3952f9bccd511e9eda86306c55e50a68a37f63b4c3e3e5e38c93,10276,6,5997,0,0,false,false,false,41d389dd08cdd2bf04940a51dbcfda7f8aca2dc5ab83e7c3b633a5b9196cc19f,5567,3088,1789,4877,44.932350,,,false,false
live_remaining,cexrem_04eb2e2683cdc89f773985a9,resp_0d73f3312576432b006a655ed29c60819699527e4807c01ca0,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6d42aada1acd3da554cc32f587722fd66540fbfbaab204f1b3c08337ea62f9fe,10061,5,5999,0,0,false,false,false,59a17d4172f76930191ccb9b730c247c554efc27cc437cb519166a96ef988165,1150,3016,425,3441,41.670548,,,false,false
live_remaining,cexrem_0534af0c055b670d8bd2f194,resp_049849a3128aa2ed006a655ed66fec8193aff58c82a89d5d3d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5ae0cada01aacd095a71772ec60c29d4e8bbea1e6fb863f6496685f13bf53bb4,7013,4,3156,0,0,false,false,false,2f08fe5ba9a44cb819d00dc8643b935f507a1d793348bfd3e117132b063ae11b,618,2449,234,2683,44.532961,,,false,false
live_remaining,cexrem_0550f238cc65adc9463866c0,resp_000b9593a91f6176006a655ed938a0819782d7406a2513bda7,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,b00112230837a45c1f8f81fe9ffaba87107621ac5b8ed6a69d0c3c13823c0a9f,10324,6,5998,0,0,false,false,false,616e7a0ae2546fe2fc84812b0d2127f8e51a86366e185a1f8eb8efea37cf098b,2092,3432,825,4257,51.351575,,,false,false
