layer,audited_side,mechanism_bucket,record_count,scope_note
implementation_positive_strength_2230,combined_safety,unclear_or_generic_effective_date,1,Conservative exact-span timing audit
implementation_positive_strength_2230,fire,recurring_base_increase_or_schedule_timing,7,Conservative exact-span timing audit
implementation_positive_strength_2230,fire,retroactive_payment_candidate,10,Compensation-linked candidate requiring downstream adjudication
implementation_positive_strength_2230,fire,unclear_or_generic_effective_date,201,Conservative exact-span timing audit
implementation_positive_strength_2230,non_safety,recurring_base_increase_or_schedule_timing,12,Conservative exact-span timing audit
implementation_positive_strength_2230,non_safety,retroactive_payment_candidate,6,Compensation-linked candidate requiring downstream adjudication
implementation_positive_strength_2230,non_safety,unclear_or_generic_effective_date,255,Conservative exact-span timing audit
implementation_positive_strength_2230,police,recurring_base_increase_or_schedule_timing,23,Conservative exact-span timing audit
implementation_positive_strength_2230,police,retroactive_payment_candidate,65,Compensation-linked candidate requiring downstream adjudication
implementation_positive_strength_2230,police,delayed_or_conditional_implementation,2,Explicit approval or implementation condition
implementation_positive_strength_2230,police,unclear_or_generic_effective_date,705,Conservative exact-span timing audit
implementation_positive_strength_2230,unclear,recurring_base_increase_or_schedule_timing,43,Conservative exact-span timing audit
implementation_positive_strength_2230,unclear,retroactive_payment_candidate,37,Compensation-linked candidate requiring downstream adjudication
implementation_positive_strength_2230,unclear,delayed_or_conditional_implementation,3,Explicit approval or implementation condition
implementation_positive_strength_2230,unclear,unclear_or_generic_effective_date,860,Conservative exact-span timing audit
growth_supported_416,combined_safety,unclear_or_not_recurring_base_growth,1,Substantive audit of four reported subtype files
growth_supported_416,fire,recurring_base_or_schedule_increase,14,Substantive audit of four reported subtype files
growth_supported_416,fire,unclear_or_not_recurring_base_growth,24,Substantive audit of four reported subtype files
growth_supported_416,non_safety,recurring_base_or_schedule_increase,24,Substantive audit of four reported subtype files
growth_supported_416,non_safety,one_time_lump_sum,1,Kept separate from recurring base growth
growth_supported_416,non_safety,unclear_or_not_recurring_base_growth,39,Substantive audit of four reported subtype files
growth_supported_416,police,recurring_base_or_schedule_increase,58,Substantive audit of four reported subtype files
growth_supported_416,police,retroactive_payment,2,Kept separate from recurring base growth
growth_supported_416,police,delayed_or_conditional_implementation,2,Kept separate from recurring base growth
growth_supported_416,police,unclear_or_not_recurring_base_growth,62,Substantive audit of four reported subtype files
growth_supported_416,unclear,recurring_base_or_schedule_increase,66,Substantive audit of four reported subtype files
growth_supported_416,unclear,one_time_lump_sum,2,Kept separate from recurring base growth
growth_supported_416,unclear,retroactive_payment,1,Kept separate from recurring base growth
growth_supported_416,unclear,unclear_or_not_recurring_base_growth,120,Substantive audit of four reported subtype files
claim_candidates_95,fire,recurring_base_or_schedule_increase,9,Report claim candidate substantive audit
claim_candidates_95,fire,unclear_or_not_recurring_base_growth,6,Report claim candidate substantive audit
claim_candidates_95,non_safety,recurring_base_or_schedule_increase,13,Report claim candidate substantive audit
claim_candidates_95,non_safety,unclear_or_not_recurring_base_growth,1,Report claim candidate substantive audit
claim_candidates_95,police,recurring_base_or_schedule_increase,48,Report claim candidate substantive audit
claim_candidates_95,police,retroactive_payment,2,Kept separate from recurring base growth
claim_candidates_95,police,delayed_or_conditional_implementation,2,Kept separate from recurring base growth
claim_candidates_95,police,unclear_or_not_recurring_base_growth,11,Report claim candidate substantive audit
claim_candidates_95,unclear,recurring_base_or_schedule_increase,2,Report claim candidate substantive audit
claim_candidates_95,unclear,unclear_or_not_recurring_base_growth,1,Report claim candidate substantive audit
