evidence_layer,side_category,span_count,share_of_layer_pct,unique_source_count,unique_municipality_state_count,core_count,supporting_count,context_count,normalization_needed_bucket_count,normalized_record_count,normalization_full_pre_rescue,normalization_partial_pre_rescue,normalization_mechanism_only_pre_rescue,normalization_deferred_manual_review_pre_rescue,normalization_unusable_pre_rescue,rescue_full_upgrade_count,rescue_near_gap_ready_count,effective_full_after_rescue
non_base_compensation_signal,police,1239,33.32,371,326,0,0,852,387,1239,94,80,34,13,1018,0,2,94
non_base_compensation_signal,fire,280,7.53,78,66,0,0,186,94,280,20,13,8,1,238,0,0,20
non_base_compensation_signal,combined_safety,9,0.24,3,3,0,0,7,2,9,1,1,0,0,7,0,0,1
non_base_compensation_signal,non_safety,226,6.08,100,96,0,0,143,83,226,22,23,3,2,176,0,1,22
non_base_compensation_signal,unclear,1964,52.82,732,662,30,42,1288,604,1790,3,283,48,23,1433,0,1,3
direct_base_wage_value_signal,police,802,29.85,340,307,0,0,218,584,802,277,173,24,88,240,0,80,277
direct_base_wage_value_signal,fire,123,4.58,58,55,0,0,17,106,123,55,33,0,18,17,0,21,55
direct_base_wage_value_signal,combined_safety,4,0.15,4,4,0,0,0,4,4,1,1,1,1,0,0,1,1
direct_base_wage_value_signal,non_safety,319,11.87,182,165,0,0,37,282,319,190,69,6,23,31,1,44,191
direct_base_wage_value_signal,unclear,1439,53.55,686,606,27,16,349,1047,1377,10,879,24,137,327,9,22,19
explicit_schedule_tagged_subset,police,263,39.79,130,120,0,0,179,84,263,3,3,12,9,236,0,1,3
explicit_schedule_tagged_subset,fire,23,3.48,14,13,0,0,11,12,23,1,0,0,5,17,0,0,1
explicit_schedule_tagged_subset,combined_safety,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
explicit_schedule_tagged_subset,non_safety,35,5.30,17,17,0,0,26,9,35,2,0,3,0,30,0,0,2
explicit_schedule_tagged_subset,unclear,340,51.44,180,162,0,0,239,101,340,0,3,10,10,317,0,0,0
