span_id,rating_id,source_id,retained_source_id,municipality,state,region,source_family,source_title,source_locator,cba_non_cba_hint,evidence_category,exact_span_text,short_paraphrase,side_classification,rating_direction_bucket,evidence_quality_score,report_usability_bucket,line_offset,character_start_offset,character_end_offset,claim_boundary,audit_universe,bargaining_power_signal_strength,strike_or_no_strike_constraint_strength,primary_mechanism_subtype,mechanism_subtypes,wage_pressure_pathway,audit_disposition
B4X2500SPAN-20260730-741cbf8c7932b1c65b40b22e,B4X2500-RATING-20260730-fc16233553c28a5ff40b9117,B4X2500LIVE-20260729-009820,B4X2500SRD-20260730-e6a08d78cc5f671a5832,Atka,AK,West,budget_or_pay_plan,"City of Atka Code of Ordinances — Title 6 (Personnel Policies), Chapter 6.6 Work and Pay Schedules (policy framework for pay; no disclosed wage table here)",https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City_of_Atka_Code_of_Ordinances.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,Negotiations with labor organizations representing city employees;,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,774,29417,29485,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-56921810d41ec821832f309f,B4X2500-RATING-20260730-10685b99f00c890a56b2a67e,B4X2500LIVE-20260729-009821,B4X2500SRD-20260730-33e17533f2aeaa920502,Chignik,AK,West,civil_service_or_hr_pay_plan,Codification of Ordinances Final Draft (City of Chignik; includes Administration and Personnel / Personnel Policy Chapter 2.24),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Chignik%20Bay%20Codified%20Ordinance%20Final%20Draft%201-5-23.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,has entered into a negotiated agreement for the use of specific Boat Harbor Facilities at rates,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,2537,117828,117924,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-21267321811b7ed044c61465,B4X2500-RATING-20260730-0fb2217250afad1f33727c6a,B4X2500LIVE-20260729-004780,B4X2500SRD-20260730-53df685338726cd863c1,Chuathbaluk,AK,West,wage_schedule,"City of Chuathbaluk City Ordinances (includes Personnel Policies: Classification, Compensation, Salary Schedules; Work Week, Pay; overtime; pay and salary schedules established by City Council)",https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Chuathbaluk%20City%20Ordinances.pdf,non_cba_or_other_hint,non_base_compensation,so scheduled that overtime not be paid.,The passage references a non-base compensation component for later review.,unclear,not_applicable,2,pi_report_context_only,1977,78289,78328,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,0,1,general_bargaining_or_dispute_context,general_bargaining_or_dispute_context,the record provides general bargaining/dispute context but does not identify a precise wage-setting pathway,exclude_false_positive
B4X2500SPAN-20260730-9de1c47ed184d0ed280a2f56,B4X2500-RATING-20260730-cbc34a9d8f285a44a5d40cc4,B4X2500LIVE-20260729-002304,B4X2500SRD-20260730-061f01c0e58427b7deba,Cold Bay,AK,West,personnel_policy,City of Cold Bay Code of Ordinances 2015 (Title 10 Personnel: Chapter 75 Personnel Policies),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Cold%20Bay%20Code%20of%20Ordinance%202015.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,"negotiation, or such other method as the council may provide in the","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,not_applicable,2,pi_report_context_only,2844,124172,124240,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,general_bargaining_or_dispute_context,general_bargaining_or_dispute_context,the record provides general bargaining/dispute context but does not identify a precise wage-setting pathway,exclude_false_positive
B4X2500SPAN-20260730-bf5bc984a0798b06cd8f7750,B4X2500-RATING-20260730-74cd5603611ae0c8ad2f4b10,B4X2500LIVE-20260729-002304,B4X2500SRD-20260730-061f01c0e58427b7deba,Cold Bay,AK,West,personnel_policy,City of Cold Bay Code of Ordinances 2015 (Title 10 Personnel: Chapter 75 Personnel Policies),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Cold%20Bay%20Code%20of%20Ordinance%202015.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,Long term rates for city equipment shall be established by negotiation,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,4328,197813,197885,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,general_bargaining_or_dispute_context,general_bargaining_or_dispute_context,the record provides general bargaining/dispute context but does not identify a precise wage-setting pathway,exclude_false_positive
B4X2500SPAN-20260730-948cb62f975703478f9938fc,B4X2500-RATING-20260730-f68204ed757e5fe410c38741,B4X2500LIVE-20260729-002306,B4X2500SRD-20260730-5c1d7b1958cd7a405899,Kupreanof,AK,West,other_local_government_pay_policy,Kupreanof Municipal Code (Title 5 City Personnel: Hiring Policies),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Kupreanof%20APPROVED%20Code%20of%20Ordinances.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,(1) Negotiations with labor organizations representing city employees;,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,689,26283,26353,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-e8f7e5eba704449550610f81,B4X2500-RATING-20260730-f3ae52e431024044841ffc08,B4X2500LIVE-20260729-007317,B4X2500SRD-20260730-551f9aab5ffc3dad0758,Newhalen,AK,West,budget_or_pay_plan,City of Newhalen Code of Ordinances 2020 (Personnel; salary schedule provisions),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Newhalen%20Code%20of%20Ordinances%202020.pdf,non_cba_or_other_hint,non_base_compensation,It is the policy of the city that work hours and work days be so scheduled that overtime not be paid.,The passage references a non-base compensation component for later review.,unclear,not_applicable,2,pi_report_context_only,3426,219687,219788,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,0,1,general_bargaining_or_dispute_context,general_bargaining_or_dispute_context,the record provides general bargaining/dispute context but does not identify a precise wage-setting pathway,exclude_false_positive
B4X2500SPAN-20260730-d2efdbd1834eccc4e1c6a96b,B4X2500-RATING-20260730-755c3cd600491b7f879f979c,B4X2500LIVE-20260729-002309,B4X2500SRD-20260730-2b77082dc1df6eca4452,Port Lions,AK,West,cba,"City of Port Lions Code of Ordinance (includes Title 3: Personnel Policies and Procedures; Title 2: Combination of Police Chief, Fire Chief, and Harbormaster)",https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Port%20Lions%20Code%20of%20Ordinance%207.19.19.pdf,cba_hint,bargaining_or_arbitration_context,Negotiation.,"The passage references bargaining, impasse, factfinding, or arbitration context.",safety,not_applicable,2,pi_report_context_only,2164,143824,143837,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,general_bargaining_or_dispute_context,general_bargaining_or_dispute_context,the record provides general bargaining/dispute context but does not identify a precise wage-setting pathway,documentary_context_only
B4X2500SPAN-20260730-0e5c9278433059ede0b834c8,B4X2500-RATING-20260730-ebf8172ceeaa52faf17a6f7c,B4X2500LIVE-20260729-002312,B4X2500SRD-20260730-c1ce12548e79f7efe08e,Whale Pass,AK,West,personnel_policy,Whale Pass Municipal Code (personnel policy/compensation & related HR sections),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Ordinances%20-%20Whale%20Pass%20Municipal%20Code.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,regarding the handling of a specific legal matter or pending labor negotiations.,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,728,35171,35252,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-64c1cc29869c6152cf31ce2f,B4X2500-RATING-20260730-840df9e2f237529032f93aaf,B4X2500LIVE-20260729-002312,B4X2500SRD-20260730-c1ce12548e79f7efe08e,Whale Pass,AK,West,personnel_policy,Whale Pass Municipal Code (personnel policy/compensation & related HR sections),https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Ordinances%20-%20Whale%20Pass%20Municipal%20Code.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,Negotiations with labor organizations representing city employees;,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,717,34235,34303,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-c333a13bd0d2b6cb6dc73010,B4X2500-RATING-20260730-70e3a545d008fe8546bdfa4f,B4X2500LIVE-20260729-006727,B4X2500SRD-20260730-24e9669c472dfa5d1a5a,Hazen,AR,South,other_local_government_pay_policy,"Hazen Municipal Code (City of Hazen, Arkansas) — Personnel Policies: Uniformed employee vacations (Police Department) & related compensation rules",https://cityofhazenar.gov/documents/152/Hazen_Municipal_Code.pdf,non_cba_or_other_hint,qualitative_mechanism,"Any work stoppage, slowdown, strike or other intentional interruption of the operations of",The passage describes a possible wage-setting or employment-rule mechanism for later review.,safety,not_applicable,3,pi_report_supporting_example,1746,76911,77003,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,0,2,strike_or_no_strike,strike_or_no_strike,"strike, no-strike, work-stoppage, or lockout rules shape bargaining leverage and constraints without identifying a wage direction",documentary_context_only
B4X2500SPAN-20260730-2937d1a41b503bef8c8e5c2c,B4X2500-RATING-20260730-341490b650628488b4a4b477,B4X2500LIVE-20260729-002317,B4X2500SRD-20260730-db91cd5af8f3b665ba3a,Big Bear Lake,CA,West,mou_or_memorandum,"Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026)",https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,collective negotiations with the objective of reaching an agreement applicable to all employees,"The passage references bargaining, impasse, factfinding, or arbitration context.",non_safety,neutral_or_general,3,pi_report_supporting_example,224,15692,15788,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,2,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-31d3cc40124ce61c48b47614,B4X2500-RATING-20260730-b0d8269c7f773fb5f088acbe,B4X2500LIVE-20260729-002317,B4X2500SRD-20260730-db91cd5af8f3b665ba3a,Big Bear Lake,CA,West,mou_or_memorandum,"Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026)",https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,"25.2 In the event that such notice is given, negotiations shall begin no later than sixty (60) days prior","The passage references bargaining, impasse, factfinding, or arbitration context.",non_safety,neutral_or_general,2,pi_report_context_only,838,56907,57013,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
