page,text_characters,word_count,footer_page_number_found,blank,status
1,472,64,True,False,pass
2,1334,185,True,False,pass
3,1164,156,True,False,pass
4,1266,186,True,False,pass
5,1647,218,True,False,pass
6,666,99,True,False,pass
7,746,94,True,False,pass
8,716,103,True,False,pass
9,671,99,True,False,pass
10,1889,290,True,False,pass
11,1928,295,True,False,pass
12,1928,292,True,False,pass
13,1814,274,True,False,pass
14,1712,255,True,False,pass
15,1972,296,True,False,pass
16,1821,287,True,False,pass
17,1846,280,True,False,pass
18,563,77,True,False,pass
19,575,78,True,False,pass
20,594,83,True,False,pass
21,496,75,True,False,pass
22,612,94,True,False,pass
23,985,157,True,False,pass
24,879,142,True,False,pass
25,2218,280,True,False,pass
26,2307,273,True,False,pass
27,2204,295,True,False,pass
28,2226,296,True,False,pass
29,1420,189,True,False,pass
30,1510,201,True,False,pass
31,1536,209,True,False,pass
32,1714,242,True,False,pass
33,754,109,True,False,pass
34,1166,158,True,False,pass
35,1111,150,True,False,pass
36,1174,156,True,False,pass
37,1264,165,True,False,pass
38,1132,153,True,False,pass
39,1180,152,True,False,pass
40,846,114,True,False,pass
41,3685,535,True,False,pass
42,3572,524,True,False,pass
43,3523,518,True,False,pass
44,3681,516,True,False,pass
45,2637,376,True,False,pass
46,2533,382,True,False,pass
47,1420,211,True,False,pass
48,1410,207,True,False,pass
49,1339,200,True,False,pass
50,1337,200,True,False,pass
51,1311,190,True,False,pass
52,1241,189,True,False,pass
53,1289,189,True,False,pass
54,1313,196,True,False,pass
55,1033,149,True,False,pass
56,1018,133,True,False,pass
57,1178,165,True,False,pass
58,1201,158,True,False,pass
