page,width_px,height_px,blank,methodology_page,boundary_page,status,repair_action
1,3300,2550,False,False,False,pass,none
2,3300,2550,False,False,False,pass,none
3,3300,2550,False,False,False,pass,none
4,3300,2550,False,False,False,pass,none
5,3300,2550,False,False,False,pass,none
6,3300,2550,False,False,False,pass,none
7,3300,2550,False,False,False,pass,none
8,3300,2550,False,False,False,pass,none
9,3300,2550,False,False,False,pass,none
10,3300,2550,False,False,False,pass,none
11,3300,2550,False,False,False,pass,none
12,3300,2550,False,False,False,pass,none
13,3300,2550,False,False,False,pass,none
14,3300,2550,False,False,False,pass,none
15,3300,2550,False,False,False,pass,none
16,3300,2550,False,False,False,pass,none
17,3300,2550,False,False,False,pass,none
18,3300,2550,False,False,False,pass,none
19,3300,2550,False,False,False,pass,none
20,3300,2550,False,False,False,pass,none
21,3300,2550,False,False,False,pass,none
22,3300,2550,False,False,False,pass,none
23,3300,2550,False,False,False,pass,none
24,3300,2550,False,False,False,pass,none
25,3300,2550,False,False,False,pass,none
26,3300,2550,False,False,False,pass,none
27,3300,2550,False,False,False,pass,none
28,3300,2550,False,False,False,pass,none
29,3300,2550,False,False,False,pass,none
30,3300,2550,False,False,False,pass,none
31,3300,2550,False,False,False,pass,none
32,3300,2550,False,False,False,pass,none
33,3300,2550,False,False,False,pass,none
34,3300,2550,False,False,False,pass,none
35,3300,2550,False,False,False,pass,none
36,3300,2550,False,False,False,pass,none
37,3300,2550,False,False,False,pass,none
38,3300,2550,False,False,False,pass,none
39,3300,2550,False,False,False,pass,none
40,3300,2550,False,False,True,pass,none
41,3300,2550,False,True,False,pass,none
42,3300,2550,False,True,False,pass,none
43,3300,2550,False,True,False,pass,none
44,3300,2550,False,True,False,pass,none
45,3300,2550,False,True,False,pass,none
46,3300,2550,False,True,False,pass,none
47,3300,2550,False,False,True,pass,none
48,3300,2550,False,False,False,pass,none
49,3300,2550,False,False,False,pass,none
50,3300,2550,False,False,False,pass,none
51,3300,2550,False,False,False,pass,none
52,3300,2550,False,False,False,pass,none
53,3300,2550,False,False,False,pass,none
54,3300,2550,False,False,False,pass,none
55,3300,2550,False,False,False,pass,none
56,3300,2550,False,False,False,pass,none
57,3300,2550,False,False,False,pass,none
58,3300,2550,False,False,False,pass,none
