pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,source_review_pilot_id,state,municipality,government_name,unit_type,candidate_source_type,priority_for_content_review,source_officialness_rating,source_relevance_rating,document_type_rating,extraction_readiness_rating,content_artifact_path,content_hash,content_byte_size,content_type_observed,pdf_readiness_pilot_id,pdf_readiness_lane_id,pilot_selection_rank,artifact_byte_size_bin,sample_selection_reason
pr_05bed34252385f5d4c4aa896,sr_06abe014dd9fb42228a46728,NSCQ-ID-20260720-0003,TRI-d3b2bb58a98d366a8347,VER-98b8cfe17d6d8cad2b9c,SOURCE-REVIEW-BATCH2-500-2026-07-24,ID,Meridian,CITY OF MERIDIAN,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0032_sr_06abe014dd9fb42228a46728.pdf,e6b111248d7388b7b5fe8509cafc9c1cf541d0e41230f4b8618a7749abcc801f,1249035,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,51,medium_512_kib_to_2_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_308433ebae4ae2523ec5bc6f,sr_c52a1c35a88042471bb527f8,NSCQ-NH-20260720-0003,TRI-4afd962398372863e85a,VER-1ba26bceb255223c79d3,SOURCE-REVIEW-BATCH2-500-2026-07-24,NH,Manchester,CITY OF MANCHESTER,fire,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0054_sr_c52a1c35a88042471bb527f8.pdf,c0272cc9d3100b19f24fa29518b4dcd67273d7b5eafffe3db9ee0aba11356d2b,6017651,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,52,very_large_gt_5_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_19f0cf1308b1a763fbab502d,sr_e411ecfbef2a2c5990fad942,NSCQ-WI-20260720-0041,TRI-0a22355548811e06bd11,VER-f8b600a49fe924ec094a,SOURCE-REVIEW-BATCH2-500-2026-07-24,WI,Fond du Lac,CITY OF FOND DU LAC,fire,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0114_sr_e411ecfbef2a2c5990fad942.pdf,f9b04575477749f9e7bf8783f399b3f510ee9978ef41e3a1e1c16a647e5bd637,599659,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,53,medium_512_kib_to_2_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_ace94457014122f0246120f5,sr_fdcc61f9efca149473ba2e06,NSCQ-DE-20260720-0013,TRI-6ea59e0b0117933f38e0,VER-2adb2cab8620d078f02b,SOURCE-REVIEW-BATCH2-500-2026-07-24,DE,Smyrna,TOWN OF SMYRNA,non_safety,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf,c01756465b6a85d01e371f9778f7b786c072600a2efdb79278d41369a8679761,653454,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,54,medium_512_kib_to_2_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_c5a1001904c5023407d7ec25,sr_0021af2764459702bd8418ff,NSCQ-MD-20260720-0009,TRI-06f91717ed7538c5c274,VER-592917deca28199fce67,SOURCE-REVIEW-BATCH2-500-2026-07-24,MD,Rockville,CITY OF ROCKVILLE,non_safety,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0213_sr_0021af2764459702bd8418ff.pdf,327b1175831b3e319747c32932fc767591dafc5febf964d3d07c0c5d71cfae9b,819587,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,55,medium_512_kib_to_2_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_888a4039a3e196b29c651069,sr_ab1c058903820b421a91d52f,NSCQ-MO-20260720-0037,TRI-7cfeaee0947c08a8964a,VER-56731bebf3300fb67190,SOURCE-REVIEW-BATCH2-500-2026-07-24,MO,Hazelwood,CITY OF HAZELWOOD,non_safety,cba,p1,unknown,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0236_sr_ab1c058903820b421a91d52f.pdf,b34e7527a0c2f33ff5102138915a3abebac157d5e0443b718ff8d6d7aa01359a,141926,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,56,small_le_512_kib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_9316e03fc4747a7d66bf7ce4,sr_468d17609523b1feb621aae4,NSCQ-VT-20260720-0001,TRI-c8e05a576f24bbfc2bf3,VER-8882dd5dc39cafbb38cf,SOURCE-REVIEW-BATCH2-500-2026-07-24,VT,Burlington,CITY OF BURLINGTON,non_safety,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0070_sr_468d17609523b1feb621aae4.pdf,be15797bf8c10ffbde290bc6b3ac582a905f20b036e21baf62e58af4d743aad0,7887771,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,57,very_large_gt_5_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_6361d6ce098f1e4aaf2e82e5,sr_6ac75d4b50bb229de883024c,NSCQ-IL-20260720-0178,TRI-0906fc76e495e0b95391,VER-9a0f4b6072ccbe98289d,SOURCE-REVIEW-BATCH2-500-2026-07-24,IL,Highland Park,CITY OF HIGHLAND PARK,police,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0165_sr_6ac75d4b50bb229de883024c.pdf,6d8200801b2d2a4cddf7c3533602d34e92f4e270b7910145cd905b6286129556,402040,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,58,small_le_512_kib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_f567a5a78c96cefea3956fd2,sr_fd8d13d176b6713d6566ec0b,NSCQ-KS-20260720-0027,TRI-ee6365d33a7623247ca3,VER-5514205e230f395413e2,SOURCE-REVIEW-BATCH2-500-2026-07-24,KS,Dodge City,CITY OF DODGE CITY,police,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0190_sr_fd8d13d176b6713d6566ec0b.pdf,0af53796f1f6d950be2a6934d3816ac21e98c58760260b38f8c8068453cc41b6,5381905,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,59,very_large_gt_5_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_8c82d9aed8329985cea094ab,sr_543914a024e938f28c73686d,NSCQ-NV-20260720-0005,TRI-b234fe80c28e5b1cdeb7,VER-cfa03116953f898855e4,SOURCE-REVIEW-BATCH2-500-2026-07-24,NV,North Las Vegas,CITY OF NORTH LAS VEGAS,police,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0083_sr_543914a024e938f28c73686d.pdf,0dd8b2cda1fe3f5cc7e56abf92a1b6ab27977f470079fda0b9494c21f4262cd2,3835194,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,60,large_2_to_5_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_bdd5160f1b7892b215f5b556,sr_fbfe79758f2d4450f1745dbe,NSCQ-VA-20260720-0006,TRI-cc619e3f5752d7462089,VER-5dca7736f47b8ad7f9c1,SOURCE-REVIEW-BATCH2-500-2026-07-24,VA,Alexandria,CITY OF ALEXANDRIA,police,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0031_sr_fbfe79758f2d4450f1745dbe.pdf,5beac0fedd1e7dff9c2349de23d1a4156533e69ec66f69e5e96afc2587e7b275,2593018,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,61,large_2_to_5_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
pr_8601b60d4d24b252e2c9487e,sr_723b3cf8529015318305bd7d,NSCQ-MI-20260720-0069,TRI-ec78c4643749f2aefad7,VER-6db5aa3fdd21d1d9b575,SOURCE-REVIEW-BATCH3-3X500-2026-07-24,MI,Portage,CITY OF PORTAGE,police,cba,p1,unknown,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0145_sr_723b3cf8529015318305bd7d.pdf,f9c733a81f06c022c70aae0aad702bb7946a598f88d9a1bc15f4e77d61440fe6,8383009,application/pdf,PDF-READINESS-PILOT1-150-2026-07-24,lane_2,62,very_large_gt_5_mib,deterministic diversity sample from retained hash-addressed PDF artifacts
