artifact,decision,reason
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/Codex_execution_evolution_visual.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/Codex_execution_evolution_visual.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-a.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-a.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-b.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-b.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-c.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-c.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-d.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-d.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-e.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-e.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-f.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-f.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-g.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-g.svg,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-h.png,retain_in_clean_repo,revised handoff atlas asset
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-h.svg,retain_in_clean_repo,revised handoff atlas asset
