figure,mechanism_tag,lower48_hex_rows,visible_old_frame_rows,clipped_rows,lower48_events,visible_old_frame_events,clipped_events,content_bbox
mechanism-across-the-board-raise.png,across_the_board_raise,230,38,192,370,46,324,"(18, 18, 1786, 1064)"
mechanism-bargaining-leverage.png,bargaining_leverage,16,1,15,17,1,16,"(18, 18, 1851, 1064)"
mechanism-base-wage-change.png,base_wage_change,88,7,81,120,7,113,"(18, 18, 1768, 1064)"
mechanism-benefit-cost-change.png,benefit_cost_change,55,4,51,65,4,61,"(18, 18, 1842, 1064)"
mechanism-budget-appropriation.png,budget_appropriation,63,22,41,64,22,42,"(18, 18, 1830, 1064)"
mechanism-budget-pay-plan-process.png,budget_pay_plan_process,319,44,275,616,58,558,"(18, 18, 1844, 1064)"
mechanism-classification-band-change.png,classification_band_change,38,12,26,43,14,29,"(18, 18, 1797, 1064)"
mechanism-classification-civil-service.png,classification_civil_service,4,1,3,4,1,3,"(28, 18, 1609, 1064)"
mechanism-cola-cpi-adjustment.png,cola_cpi_adjustment,66,12,54,79,12,67,"(18, 18, 1768, 1064)"
mechanism-collective-bargaining.png,collective_bargaining,16,1,15,17,1,16,"(18, 18, 1851, 1064)"
mechanism-comparability-parity.png,comparability_parity,6,1,5,6,1,5,"(18, 18, 1835, 1064)"
mechanism-contract-ratification.png,contract_ratification,8,0,8,9,0,9,"(18, 18, 1817, 1064)"
mechanism-fiscal-constraint.png,fiscal_constraint,321,44,277,618,56,562,"(18, 18, 1781, 1064)"
mechanism-holiday-pay.png,holiday_pay,18,0,18,22,0,22,"(18, 18, 1814, 1064)"
mechanism-inflation-indexing.png,inflation_indexing,23,0,23,31,0,31,"(18, 18, 1818, 1064)"
mechanism-interest-arbitration.png,interest_arbitration,1,0,1,1,0,1,"(28, 18, 1547, 1064)"
mechanism-longevity.png,longevity,36,2,34,40,2,38,"(18, 18, 1818, 1064)"
mechanism-lump-sum.png,lump_sum,15,1,14,18,1,17,"(18, 18, 1850, 1064)"
mechanism-market-recruitment-retention.png,market_recruitment_retention,36,8,28,44,8,36,"(18, 18, 1797, 1064)"
mechanism-no-direct-compensation-outcome.png,no_direct_compensation_outcome,316,45,271,544,56,488,"(18, 18, 1817, 1064)"
mechanism-non-base-compensation-other.png,non_base_compensation_other,179,11,168,292,11,281,"(18, 18, 1810, 1064)"
mechanism-none-identified.png,none_identified,1261,278,983,3679,398,3281,"(18, 18, 1800, 1064)"
mechanism-one-time.png,one_time,186,23,163,297,30,267,"(18, 18, 1780, 1064)"
mechanism-ordinance-adoption.png,ordinance_adoption,174,54,120,204,58,146,"(18, 18, 1780, 1064)"
mechanism-ordinance-council-adoption.png,ordinance_council_adoption,206,65,141,252,70,182,"(18, 18, 1802, 1064)"
mechanism-overtime.png,overtime,34,2,32,38,2,36,"(18, 18, 1818, 1064)"
mechanism-overview.png,overview,0,0,0,0,0,0,"(18, 18, 1836, 1064)"
mechanism-payroll-effective-date.png,payroll_effective_date,741,134,607,1873,178,1695,"(18, 18, 1841, 1064)"
mechanism-recurring.png,recurring,377,53,324,715,58,657,"(18, 18, 1799, 1064)"
mechanism-reimbursement.png,reimbursement,7,1,6,7,1,6,"(18, 18, 1835, 1064)"
mechanism-retroactive-pay.png,retroactive_pay,564,122,442,1412,175,1237,"(18, 18, 1781, 1064)"
mechanism-retroactive.png,retroactive,564,122,442,1412,175,1237,"(18, 18, 1781, 1064)"
mechanism-salary-range-change.png,salary_range_change,11,5,6,12,6,6,"(18, 18, 1821, 1064)"
mechanism-settlement-or-mou.png,settlement_or_mou,51,9,42,58,9,49,"(18, 18, 1789, 1064)"
mechanism-step-progression.png,step_progression,71,10,61,86,10,76,"(18, 18, 1789, 1064)"
mechanism-stipend-or-premium.png,stipend_or_premium,48,1,47,61,1,60,"(18, 18, 1768, 1064)"
mechanism-unclear.png,unclear,126,23,103,140,27,113,"(18, 18, 1783, 1064)"
mechanism-uniform-or-equipment-allowance.png,uniform_or_equipment_allowance,55,2,53,68,2,66,"(18, 18, 1789, 1064)"
mechanism-vacancy-pressure.png,vacancy_pressure,8,1,7,8,1,7,"(18, 19, 1835, 1064)"
