mechanism_tag,mechanism_name,category_type,safety_event_count,non_safety_event_count,mixed_side_independent_unresolved,side_classified_denominator,safety_share_among_side_classified,non_safety_share_among_side_classified
none_identified,None Identified,evidence_status,890,71,1040,961,0.926119,0.073881
payroll_effective_date,Payroll Effective Date,reader_facing_mechanism,786,105,985,891,0.882155,0.117845
retroactive,Retroactive,reader_facing_mechanism,597,52,769,649,0.919877,0.080123
retroactive_pay,Retroactive Pay,reader_facing_mechanism,597,52,769,649,0.919877,0.080123
recurring,Recurring,reader_facing_mechanism,337,27,356,364,0.925824,0.074176
fiscal_constraint,Fiscal Constraint,reader_facing_mechanism,152,69,398,221,0.687783,0.312217
budget_pay_plan_process,Budget Pay Plan Process,reader_facing_mechanism,146,68,403,214,0.682243,0.317757
no_direct_compensation_outcome,No Direct Compensation Outcome,evidence_status,142,60,342,202,0.70297,0.29703
across_the_board_raise,Across The Board Raise,reader_facing_mechanism,178,11,184,189,0.941799,0.058201
one_time,One Time,reader_facing_mechanism,139,10,150,149,0.932886,0.067114
non_base_compensation_other,Non Base Compensation Other,reader_facing_mechanism,174,12,106,186,0.935484,0.064516
ordinance_council_adoption,Ordinance Council Adoption,reader_facing_mechanism,61,17,177,78,0.782051,0.217949
ordinance_adoption,Ordinance Adoption,reader_facing_mechanism,50,12,144,62,0.806452,0.193548
unclear,Unclear,evidence_status,55,12,73,67,0.820896,0.179104
base_wage_change,Base Wage Change,reader_facing_mechanism,59,3,58,62,0.951613,0.048387
step_progression,Step Progression,reader_facing_mechanism,45,7,35,52,0.865385,0.134615
cola_cpi_adjustment,COLA CPI Adjustment,reader_facing_mechanism,35,5,39,40,0.875,0.125
uniform_or_equipment_allowance,Uniform Or Equipment Allowance,reader_facing_mechanism,36,4,28,40,0.9,0.1
benefit_cost_change,Benefit Cost Change,reader_facing_mechanism,28,5,32,33,0.848485,0.151515
budget_appropriation,Budget Appropriation,reader_facing_mechanism,17,6,41,23,0.73913,0.26087
stipend_or_premium,Stipend Or Premium,reader_facing_mechanism,30,1,31,31,0.967742,0.032258
settlement_or_mou,Settlement Or MOU,reader_facing_mechanism,27,4,27,31,0.870968,0.129032
market_recruitment_retention,Market Recruitment Retention,reader_facing_mechanism,17,5,22,22,0.772727,0.227273
classification_band_change,Classification Band Change,reader_facing_mechanism,19,2,22,21,0.904762,0.095238
longevity,Longevity,reader_facing_mechanism,18,1,21,19,0.947368,0.052632
overtime,Overtime,reader_facing_mechanism,15,2,21,17,0.882353,0.117647
inflation_indexing,Inflation Indexing,reader_facing_mechanism,21,0,10,21,1.0,0.0
holiday_pay,Holiday Pay,reader_facing_mechanism,13,1,8,14,0.928571,0.071429
lump_sum,Lump Sum,reader_facing_mechanism,14,0,4,14,1.0,0.0
bargaining_leverage,Bargaining Leverage,reader_facing_mechanism,12,1,4,13,0.923077,0.076923
collective_bargaining,Collective Bargaining,reader_facing_mechanism,12,1,4,13,0.923077,0.076923
salary_range_change,Salary Range Change,reader_facing_mechanism,2,0,10,2,1.0,0.0
contract_ratification,Contract Ratification,reader_facing_mechanism,5,1,3,6,0.833333,0.166667
vacancy_pressure,Vacancy Pressure,reader_facing_mechanism,2,2,4,4,0.5,0.5
reimbursement,Reimbursement,reader_facing_mechanism,2,1,4,3,0.666667,0.333333
comparability_parity,Comparability Parity,reader_facing_mechanism,4,0,2,4,1.0,0.0
classification_civil_service,Classification Civil Service,reader_facing_mechanism,2,0,2,2,1.0,0.0
interest_arbitration,Interest Arbitration,reader_facing_mechanism,1,0,0,1,1.0,0.0
