figure_id,kind,title,mechanism_tags,claim_ids,event_count,mapped_event_count,lower48_event_count,alaska_event_count,side_counts,fixed_extent,projection,hex_radius_km,input_unit,png_path,svg_path,thumbnail_path,data_path,outside_fixed_extent,all_events_accounted_for,northern_records_present,alaska_explicit,qa_status
corrected-category-map-none-identified,category,None Identified,none_identified,,2001,2001,1992,9,"{'unresolved': 1019, 'safety': 890, 'non_safety': 71, 'mixed': 11, 'side_independent': 10}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-none-identified.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-none-identified.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-none-identified.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-none-identified.csv,0,True,True,True,pass
corrected-category-map-payroll-effective-date,category,Payroll Effective Date,payroll_effective_date,CLAIM-E,1876,1876,1873,3,"{'unresolved': 718, 'safety': 786, 'non_safety': 105, 'side_independent': 264, 'mixed': 3}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-payroll-effective-date.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-payroll-effective-date.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-payroll-effective-date.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-payroll-effective-date.csv,0,True,True,True,pass
corrected-category-map-retroactive,category,Retroactive,retroactive,CLAIM-E,1418,1418,1412,6,"{'unresolved': 730, 'safety': 597, 'non_safety': 52, 'side_independent': 38, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-retroactive.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-retroactive.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-retroactive.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-retroactive.csv,0,True,True,True,pass
corrected-category-map-retroactive-pay,category,Retroactive Pay,retroactive_pay,CLAIM-E,1418,1418,1412,6,"{'unresolved': 730, 'safety': 597, 'non_safety': 52, 'side_independent': 38, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-retroactive-pay.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-retroactive-pay.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-retroactive-pay.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-retroactive-pay.csv,0,True,True,True,pass
corrected-category-map-recurring,category,Recurring,recurring,CLAIM-B,720,720,715,5,"{'unresolved': 323, 'side_independent': 30, 'safety': 337, 'non_safety': 27, 'mixed': 3}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-recurring.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-recurring.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-recurring.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-recurring.csv,0,True,True,True,pass
corrected-category-map-fiscal-constraint,category,Fiscal Constraint,fiscal_constraint,CLAIM-F,619,619,618,1,"{'side_independent': 372, 'non_safety': 69, 'unresolved': 25, 'safety': 152, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-fiscal-constraint.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-fiscal-constraint.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-fiscal-constraint.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-fiscal-constraint.csv,0,True,True,True,pass
corrected-category-map-budget-pay-plan-process,category,Budget Pay Plan Process,budget_pay_plan_process,CLAIM-F,617,617,616,1,"{'side_independent': 372, 'non_safety': 68, 'unresolved': 30, 'safety': 146, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-budget-pay-plan-process.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-budget-pay-plan-process.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-budget-pay-plan-process.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-budget-pay-plan-process.csv,0,True,True,True,pass
corrected-category-map-no-direct-compensation-outcome,category,No Direct Compensation Outcome,no_direct_compensation_outcome,,544,544,544,0,"{'side_independent': 297, 'unresolved': 40, 'safety': 142, 'non_safety': 60, 'mixed': 5}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-no-direct-compensation-outcome.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-no-direct-compensation-outcome.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-no-direct-compensation-outcome.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-no-direct-compensation-outcome.csv,0,True,True,True,pass
corrected-category-map-across-the-board-raise,category,Across The Board Raise,across_the_board_raise,CLAIM-B|CLAIM-G,373,373,370,3,"{'unresolved': 183, 'non_safety': 11, 'safety': 178, 'side_independent': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-across-the-board-raise.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-across-the-board-raise.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-across-the-board-raise.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-across-the-board-raise.csv,0,True,True,True,pass
corrected-category-map-one-time,category,One Time,one_time,CLAIM-C,299,299,297,2,"{'unresolved': 111, 'safety': 139, 'non_safety': 10, 'side_independent': 38, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-one-time.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-one-time.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-one-time.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-one-time.csv,0,True,True,True,pass
