page,image_path,width,height,content_bbox,blank,edge_intersection,status
1,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-01.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
2,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-02.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
3,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-03.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
4,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-04.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
5,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-05.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
6,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-06.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
7,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-07.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
8,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-08.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
9,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-09.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
10,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-10.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
11,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-11.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
12,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-12.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
13,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-13.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
14,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-14.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
15,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-15.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
16,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-16.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
17,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-17.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
18,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-18.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
19,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-19.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
20,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-20.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
21,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-21.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
22,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-22.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
23,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-23.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
24,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-24.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
25,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-25.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
26,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-26.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
27,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-27.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
28,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-28.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
29,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-29.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
30,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-30.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
31,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-31.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
32,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-32.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
