profile_id,profile_title,mechanism_tags,display_event_count,underlying_category_counts,overlap_count,display_consolidation,category_type,claim_ids,definition,wage_channel,caption,municipality_count,state_count,safety_event_count,non_safety_event_count,mixed_event_count,side_independent_event_count,unresolved_event_count
retroactivity-payroll,Retroactivity and payroll timing,retroactive|retroactive_pay|payroll_effective_date,2253,"Retroactive=1,418; Retroactive Pay=1,418; Payroll Effective Date=1,876",1041,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-E,A compensation term whose effective date reaches back before the final approval or payment date.,"It can push compensation upward by making a later settlement effective for earlier work. It converts the earlier effective period into an owed payment, often delivered as back pay. It determines when an approved increase starts reaching paychecks and prevents adoption dates from being mistaken for payment.","A compensation term whose effective date reaches back before the final approval or payment date. It can push compensation upward by making a later settlement effective for earlier work. It converts the earlier effective period into an owed payment, often delivered as back pay. It determines when an approved increase starts reaching paychecks and prevents adoption dates from being mistaken for payment. Among side-classified events, safety appears more often (945 versus 114) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",1269,42,945,114,4,297,893
non-base-compensation,Non-base and one-time compensation,non_base_compensation_other|stipend_or_premium|uniform_or_equipment_allowance|overtime|holiday_pay|longevity|benefit_cost_change|reimbursement|one_time|lump_sum,890,Non Base Compensation Other=292; Stipend Or Premium=62; Uniform Or Equipment Allowance=68; Overtime=38; Holiday Pay=22; Longevity=40; Benefit Cost Change=65; Reimbursement=7; One Time=299; Lump Sum=18,0,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-C,Compensation outside regular base wages that does not fit a more specific category.,"It adds pay outside the base rate, so a base-wage comparison can miss part of compensation. It raises pay for specific duties, qualifications, shifts, or working conditions. It increases cash compensation or reimburses required job costs without changing base pay. It can substantially increase earnings beyond base pay when staffing or scheduling produces extra hours. It adds premium compensation for holiday work or recognized holidays. It adds scheduled pay as service accumulates and can steepen wage growth for long-tenured workers. It can change total compensation or take-home value even when base wages do not move. It offsets work expenses but should not be treated as recurring wages. It raises current compensation without permanently increasing the base schedule. It increases compensation once but does not by itself raise future base wages.","Compensation outside regular base wages that does not fit a more specific category. It adds pay outside the base rate, so a base-wage comparison can miss part of compensation. It raises pay for specific duties, qualifications, shifts, or working conditions. It increases cash compensation or reimburses required job costs without changing base pay. It can substantially increase earnings beyond base pay when staffing or scheduling produces extra hours. It adds premium compensation for holiday work or recognized holidays. It adds scheduled pay as service accumulates and can steepen wage growth for long-tenured workers. It can change total compensation or take-home value even when base wages do not move. It offsets work expenses but should not be treated as recurring wages. It raises current compensation without permanently increasing the base schedule. It increases compensation once but does not by itself raise future base wages. Among side-classified events, safety appears more often (452 versus 37) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",551,32,452,37,5,67,329
scheduled-base-growth,Scheduled base-wage growth,across_the_board_raise|base_wage_change|step_progression|cola_cpi_adjustment|inflation_indexing|recurring,809,Across The Board Raise=373; Base Wage Change=120; Step Progression=87; COLA CPI Adjustment=79; Inflation Indexing=31; Recurring=720,0,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-B|CLAIM-G,The same general increase applied across covered jobs or classifications.,"It raises covered rates together, but does not necessarily change the gap between safety and non-safety jobs. It directly changes recurring salary or wage rates. It can generate repeated wage growth as employees move through scheduled steps. It can preserve purchasing power by linking raises to inflation or a stated percentage. It can trigger recurring adjustments as inflation changes. It raises future compensation repeatedly because the amount remains in the pay structure.","The same general increase applied across covered jobs or classifications. It raises covered rates together, but does not necessarily change the gap between safety and non-safety jobs. It directly changes recurring salary or wage rates. It can generate repeated wage growth as employees move through scheduled steps. It can preserve purchasing power by linking raises to inflation or a stated percentage. It can trigger recurring adjustments as inflation changes. It raises future compensation repeatedly because the amount remains in the pay structure. Among side-classified events, safety appears more often (384 versus 32) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",540,36,384,32,3,33,357
budgets-pay-plans,"Budgets, pay plans, and fiscal constraint",budget_pay_plan_process|fiscal_constraint|budget_appropriation,636,Budget Pay Plan Process=617; Fiscal Constraint=619; Budget Appropriation=64,52,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-F,A budget or pay-plan process that formally sets or revises compensation schedules.,"It can authorize, sequence, or constrain the schedules through which wages become operative. It can hold pay down, delay implementation, or redirect increases toward narrower groups or one-time payments. It supplies the legal or financial authority for compensation to be paid.","A budget or pay-plan process that formally sets or revises compensation schedules. It can authorize, sequence, or constrain the schedules through which wages become operative. It can hold pay down, delay implementation, or redirect increases toward narrower groups or one-time payments. It supplies the legal or financial authority for compensation to be paid. Among side-classified events, safety appears more often (154 versus 69) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",409,33,154,69,1,372,40
ordinance-adoption,Council and ordinance adoption,ordinance_council_adoption|ordinance_adoption,315,Ordinance Council Adoption=255; Ordinance Adoption=206,146,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-F,A city council or ordinance action that formally authorizes compensation terms.,"It turns a proposal or agreement into an authorized municipal action, although authorization is not proof of payment. It formalizes compensation terms, but the retained evidence must still show implementation or payment separately.","A city council or ordinance action that formally authorizes compensation terms. It turns a proposal or agreement into an authorized municipal action, although authorization is not proof of payment. It formalizes compensation terms, but the retained evidence must still show implementation or payment separately. Among side-classified events, safety appears more often (76 versus 21) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",271,38,76,21,0,66,152
formal-bargaining,Formal bargaining and impasse resolution,bargaining_leverage|collective_bargaining|settlement_or_mou|contract_ratification|interest_arbitration,81,Bargaining Leverage=17; Collective Bargaining=17; Settlement Or MOU=58; Contract Ratification=9; Interest Arbitration=1,0,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-A,The practical power employees or unions can use to win better terms during negotiations.,"It can improve negotiated terms when employees can credibly apply staffing, political, legal, or job-action pressure. It provides the formal channel through which wage schedules and non-base terms are negotiated. It can implement targeted changes faster or more narrowly than a complete successor contract. It approves negotiated terms but remains distinct from their payroll-effective or paid stage. It can impose compensation terms when ordinary bargaining reaches an impasse.","The practical power employees or unions can use to win better terms during negotiations. It can improve negotiated terms when employees can credibly apply staffing, political, legal, or job-action pressure. It provides the formal channel through which wage schedules and non-base terms are negotiated. It can implement targeted changes faster or more narrowly than a complete successor contract. It approves negotiated terms but remains distinct from their payroll-effective or paid stage. It can impose compensation terms when ordinary bargaining reaches an impasse. Among side-classified events, safety appears more often (42 versus 5) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",69,22,42,5,0,10,24
classification-structure,Classification and pay structure,classification_band_change|salary_range_change|classification_civil_service,57,Classification Band Change=43; Salary Range Change=12; Classification Civil Service=4,0,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-B|CLAIM-F,"A change to a job classification, pay grade, range, or band.","It can raise or lower attainable pay by moving a job into a different grade or range. It changes the floor, ceiling, or spread of possible pay rather than necessarily changing observed earnings immediately. It governs placement and progression in ways that can structure long-run pay paths.","A change to a job classification, pay grade, range, or band. It can raise or lower attainable pay by moving a job into a different grade or range. It changes the floor, ceiling, or spread of possible pay rather than necessarily changing observed earnings immediately. It governs placement and progression in ways that can structure long-run pay paths. Among side-classified events, safety appears more often (23 versus 2) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",54,14,23,2,1,5,26
staffing-market-pressure,"Staffing, market, and comparability pressure",market_recruitment_retention|vacancy_pressure|comparability_parity,56,Market Recruitment Retention=44; Vacancy Pressure=8; Comparability Parity=6,0,related categories shown together; overlapping events counted once in display total,reader_facing_mechanism,CLAIM-A|CLAIM-D,"A pay action justified by labor-market competition, hiring, or retention pressure.","It can produce targeted raises or premiums when employers struggle to hire or keep workers. It can motivate targeted raises, premiums, or retention measures when positions are hard to fill. It can pull pay toward a reference job, bargaining unit, or neighboring jurisdiction.","A pay action justified by labor-market competition, hiring, or retention pressure. It can produce targeted raises or premiums when employers struggle to hire or keep workers. It can motivate targeted raises, premiums, or retention measures when positions are hard to fill. It can pull pay toward a reference job, bargaining unit, or neighboring jurisdiction. Among side-classified events, safety appears more often (22 versus 7) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",47,17,22,7,1,3,23
none-identified,None Identified,none_identified,2001,"None Identified=2,001",0,none,evidence_status,,The retained record documents compensation activity but does not identify a specific wage-setting process.,No direct wage channel is established for this classification outcome.,"The retained record documents compensation activity but does not identify a specific wage-setting process. I keep this outcome separate from reader-facing compensation mechanisms because it does not describe a wage-setting process. There are 2,001 deduplicated records in this category. Its size is evidence about classification limits, not about how municipal pay is set or how often a process occurs nationwide.",1156,42,890,71,11,10,1019
no-direct-compensation-outcome,No Direct Compensation Outcome,no_direct_compensation_outcome,544,No Direct Compensation Outcome=544,0,none,evidence_status,,An administrative event for which the retained record does not show a direct pay outcome.,No direct wage channel is established for this classification outcome.,"An administrative event for which the retained record does not show a direct pay outcome. I keep this outcome separate from reader-facing compensation mechanisms because it does not describe a wage-setting process. There are 544 deduplicated records in this category. Its size is evidence about classification limits, not about how municipal pay is set or how often a process occurs nationwide.",375,28,142,60,5,297,40
