page,width,height,extracted_text_chars,blank_text,first_text
1,792.0,612.0,210,False,"Why Public-Safety Wages May Grow Differently A Visual Atlas of Municipal Compensation Evidence Compensation mechanisms, claim boundaries, and project-wide limit"
2,792.0,612.0,669,False,"EXECUTIVE SUMMARY 2 Documented evidence, not national prevalence or causal effect What this atlas can—and cannot—show 38 compensation mechanism categories 14 fi"
3,792.0,612.0,820,False,"READER GUIDE 3 Documented evidence, not national prevalence or causal effect How to read the maps and evidence tiers Strict evidence Exact, claim-safe evidence "
4,792.0,612.0,403,False,"CONTENTS 4 Documented evidence, not national prevalence or causal effect Atlas contents Section I: Compensation mechanisms 5 Mechanism overview 6 Section II: Wh"
5,792.0,612.0,100,False,"Section I Compensation mechanisms A visual section built from adjudicated, source-linked evidence. 5"
6,792.0,612.0,252,False,"COMPENSATION MECHANISMS 6 Documented evidence, not national prevalence or causal effect This overview preserves the final analytical unit and evidence boundary."
7,792.0,612.0,493,False,"COMPENSATION MECHANISMS 7 Documented evidence, not national prevalence or causal effect This map shows 3,694 distinct documented none identified implementation "
8,792.0,612.0,495,False,"COMPENSATION MECHANISMS 8 Documented evidence, not national prevalence or causal effect This map shows 1,876 distinct documented payroll effective date implemen"
9,792.0,612.0,469,False,"COMPENSATION MECHANISMS 9 Documented evidence, not national prevalence or causal effect This map shows 1,418 distinct documented retroactive implementation even"
10,792.0,612.0,482,False,"COMPENSATION MECHANISMS 10 Documented evidence, not national prevalence or causal effect This map shows 1,418 distinct documented retroactive pay implementation"
11,792.0,612.0,482,False,"COMPENSATION MECHANISMS 11 Documented evidence, not national prevalence or causal effect This map shows 720 distinct documented recurring implementation events "
12,792.0,612.0,494,False,"COMPENSATION MECHANISMS 12 Documented evidence, not national prevalence or causal effect This map shows 619 distinct documented fiscal constraint implementation"
13,792.0,612.0,490,False,"COMPENSATION MECHANISMS 13 Documented evidence, not national prevalence or causal effect This map shows 617 distinct documented budget pay plan process implemen"
14,792.0,612.0,514,False,"COMPENSATION MECHANISMS 14 Documented evidence, not national prevalence or causal effect This map shows 544 distinct documented no direct compensation outcome i"
15,792.0,612.0,492,False,"COMPENSATION MECHANISMS 15 Documented evidence, not national prevalence or causal effect This map shows 373 distinct documented across the board raise implement"
16,792.0,612.0,477,False,"COMPENSATION MECHANISMS 16 Documented evidence, not national prevalence or causal effect This map shows 299 distinct documented one time implementation events a"
17,792.0,612.0,505,False,"COMPENSATION MECHANISMS 17 Documented evidence, not national prevalence or causal effect This map shows 292 distinct documented non base compensation other impl"
18,792.0,612.0,493,False,"COMPENSATION MECHANISMS 18 Documented evidence, not national prevalence or causal effect This map shows 255 distinct documented ordinance council adoption imple"
19,792.0,612.0,473,False,"COMPENSATION MECHANISMS 19 Documented evidence, not national prevalence or causal effect This map shows 206 distinct documented ordinance adoption implementatio"
