stage,verified_milestone
4-row GABRIEL pilot,4-row GABRIEL pilot
150-source review pilot,150-source review pilot — 149 downloads
500-source review batch,500-source review batch — 495 downloads
"1,500-source batch","1,500-source batch — 1,480 downloads"
"4,000 scout rows","4,000 scout rows — 6,437 candidates"
"10,000 scout rows","10,000 scout rows — 9,072 candidates"
"35,589 eligible municipalities","35,589 eligible municipalities — 99.9579% covered"
"14,160 usable external payloads","14,160 usable external payloads"
"Millions of raw hits compacted to 1,876,183 observations","Millions of raw hits compacted to 1,876,183 observations"
14 final claims and a 76-page first atlas,14 final claims and a 76-page first atlas
