mechanism_tag,claim_ids
none_identified,
payroll_effective_date,CLAIM-E
retroactive,CLAIM-E
retroactive_pay,CLAIM-E
recurring,CLAIM-B
fiscal_constraint,CLAIM-F
budget_pay_plan_process,CLAIM-F
no_direct_compensation_outcome,
across_the_board_raise,CLAIM-B|CLAIM-G
one_time,CLAIM-C
non_base_compensation_other,CLAIM-C
ordinance_council_adoption,CLAIM-F
ordinance_adoption,CLAIM-F
unclear,
base_wage_change,CLAIM-B
step_progression,CLAIM-B
cola_cpi_adjustment,CLAIM-B
uniform_or_equipment_allowance,CLAIM-C
benefit_cost_change,CLAIM-C
budget_appropriation,CLAIM-F
stipend_or_premium,CLAIM-C
settlement_or_mou,CLAIM-A
market_recruitment_retention,CLAIM-D
classification_band_change,CLAIM-F
longevity,CLAIM-C
overtime,CLAIM-C
inflation_indexing,CLAIM-B
holiday_pay,CLAIM-C
lump_sum,CLAIM-C
bargaining_leverage,CLAIM-A
collective_bargaining,CLAIM-A
salary_range_change,CLAIM-B
contract_ratification,CLAIM-A
vacancy_pressure,CLAIM-D
reimbursement,CLAIM-C
comparability_parity,CLAIM-A|CLAIM-D
classification_civil_service,CLAIM-F
interest_arbitration,CLAIM-A
