figure_id,title,limitation,success,boundary,caption,word_count
limitation-research-design-scope,Research design and scope,"The corpus is not a representative national sample and has no national worker, bargaining-unit, or pay-record denominator.","Scouting reached 35,574 of 35,589 eligible municipalities (99.9579%), and the retained corpus contains 15,163 unique PDFs with 1,029,482 native PDF pages.",Near-complete discovery coverage is not analytical representativeness.,"The corpus is not a representative national sample and has no national worker, bargaining-unit, or pay-record denominator. Scouting reached 35,574 of 35,589 eligible municipalities (99.9579%), and the retained corpus contains 15,163 unique PDFs with 1,029,482 native PDF pages. Near-complete discovery coverage is not analytical representativeness.",51
limitation-discovery-search,Discovery and hosted-search limits,"Of 18,689 intended residual targets, 12,844 remained unsearched after repeated source-less search outcomes. Those targets are unknown possibilities, not known missing evidence.","Previously found candidates and verified sources remained intact, and the unsearched queue was preserved rather than treated as evidence of absence.","The failure was consistent with a service or capacity limitation, but its exact cause was not exposed.","Of 18,689 intended residual targets, 12,844 remained unsearched after repeated source-less search outcomes. Those targets are unknown possibilities, not known missing evidence. Previously found candidates and verified sources remained intact, and the unsearched queue was preserved rather than treated as evidence of absence. The failure was consistent with a service or capacity limitation, but its exact cause was not exposed.",62
limitation-verification-retention,"Verification, access, and storage","Access blocks, unavailable URLs, corrupt payloads, and a 30 GiB retention ceiling left 7,895 verified sources storage-held and 24,569 low-value context sources deferred.","The project retained 14,449 unique external payloads with hashes and source pointers and kept storage holds separate from substantive rejections.",Storage-held sources were not processed for this revision.,"Access blocks, unavailable URLs, corrupt payloads, and a 30 GiB retention ceiling left 7,895 verified sources storage-held and 24,569 low-value context sources deferred. The project retained 14,449 unique external payloads with hashes and source pointers and kept storage holds separate from substantive rejections. Storage-held sources were not processed for this revision.",54
limitation-document-readiness,Document readiness,"PDFs, HTML, tables, CSVs, embedded data, shells, and low-text files required different paths; 118 sources were deferred for OCR and 97 needed extraction repair.","Of 14,703 inspected retained-source records, 14,257 were extraction-ready and 14,160 produced usable payloads.",OCR deferral means image-only documents were not silently treated as empty.,"PDFs, HTML, tables, CSVs, embedded data, shells, and low-text files required different paths; 118 sources were deferred for OCR and 97 needed extraction repair. Of 14,703 inspected retained-source records, 14,257 were extraction-ready and 14,160 produced usable payloads. OCR deferral means image-only documents were not silently treated as empty.",51
limitation-extraction-overproduction,Extraction volume and compaction,"Extraction produced 5,558,770 raw field hits and 4,289,437 raw spans. Repeated tables, boilerplate, and ambiguous labels meant those were not independent facts.","Deterministic compaction reduced the field layer by 66.25% and preserved 1,876,183 compact administrative observations.","Large row counts measure processing volume, not evidence prevalence.","Extraction produced 5,558,770 raw field hits and 4,289,437 raw spans. Repeated tables, boilerplate, and ambiguous labels meant those were not independent facts. Deterministic compaction reduced the field layer by 66.25% and preserved 1,876,183 compact administrative observations. Large row counts measure processing volume, not evidence prevalence.",52
limitation-analytical-framing,Analytical framing and table calibration,Early wage-table signals were not reliable enough to become a clean comparable wage panel; a five-case rendered challenge contradicted all five assisted outcomes.,"The project did not force those signals into estimates. It expanded to staffing, implementation, documentary growth, local comparisons, and compensation mechanisms.",The broader framing improved evidence use but did not manufacture missing wage matches.,"Early wage-table signals were not reliable enough to become a clean comparable wage panel; a five-case rendered challenge contradicted all five assisted outcomes. The project did not force those signals into estimates. It expanded to staffing, implementation, documentary growth, local comparisons, and compensation mechanisms. The broader framing improved evidence use but did not manufacture missing wage matches.",57
limitation-rating-review,Rating and semantic review,The new external administrative layer did not receive GABRIEL scoring. Deterministic rules and bounded semantic AI review are not independent human gold coding.,"Claim-critical review examined 1,726 unique records; 368 sampled second-pass QA records passed, and 201 conflicts remained unresolved rather than conveniently resolved.",Earlier eligible documentary evidence did use GABRIEL where available.,"The new external administrative layer did not receive GABRIEL scoring. Deterministic rules and bounded semantic AI review are not independent human gold coding. Claim-critical review examined 1,726 unique records; 368 sampled second-pass QA records passed, and 201 conflicts remained unresolved rather than conveniently resolved. Earlier eligible documentary evidence did use GABRIEL where available.",54
limitation-comparability,Reconciliation and comparability,"Side, period, role, pay basis, and compensation basis often did not align: 1,523,558 observations remained side-unresolved, with 131,124 basis holds and 266,849 conflict-sensitive observations.","The project preserved 18,358 staffing units, 1,268 implementation sequences, 10 bounded local comparisons, and 432 documentary growth records.","The external layer still produced zero compatible wage matches, growth pairs, vacancy rates, overtime shares, or total-compensation sums.","Side, period, role, pay basis, and compensation basis often did not align: 1,523,558 observations remained side-unresolved, with 131,124 basis holds and 266,849 conflict-sensitive observations. The project preserved 18,358 staffing units, 1,268 implementation sequences, 10 bounded local comparisons, and 432 documentary growth records. The external layer still produced zero compatible wage matches, growth pairs, vacancy rates, overtime shares, or total-compensation sums.",66
limitation-side-imbalance,Safety and non-safety evidence imbalance,"Safety-specific records are more visible, while non-safety pay is often embedded in broad budgets or personnel schedules and many records remain unresolved.","The analysis keeps safety, non-safety, mixed, side-independent, and unresolved records separate and reports exact denominators.",Documentation absence cannot be treated as real-world absence or national prevalence.,"Safety-specific records are more visible, while non-safety pay is often embedded in broad budgets or personnel schedules and many records remain unresolved. The analysis keeps safety, non-safety, mixed, side-independent, and unresolved records separate and reports exact denominators. Documentation absence cannot be treated as real-world absence or national prevalence.",48
limitation-mathematical-design,Mathematical and causal design,Only 3 of 16 regression-readiness gates passed. There was no defensible external matched wage panel or causal identification design.,"No regression was run and no national wage-gap, prevalence, or causal estimate was produced; strict descriptive and mechanism findings were retained.",Not running an invalid model is a substantive quality decision.,"Only 3 of 16 regression-readiness gates passed. There was no defensible external matched wage panel or causal identification design. No regression was run and no national wage-gap, prevalence, or causal estimate was produced; strict descriptive and mechanism findings were retained. Not running an invalid model is a substantive quality decision.",50
