profile_id,profile_title,mechanism_tags,caption,word_count,definition_present,wage_channel_present,side_pattern_present,claim_ids,category_type
retroactivity-payroll,Retroactivity and payroll timing,retroactive|retroactive_pay|payroll_effective_date,"A compensation term whose effective date reaches back before the final approval or payment date. It can push compensation upward by making a later settlement effective for earlier work. It converts the earlier effective period into an owed payment, often delivered as back pay. It determines when an approved increase starts reaching paychecks and prevents adoption dates from being mistaken for payment. Among side-classified events, safety appears more often (945 versus 114) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",117,True,True,True,CLAIM-E,reader_facing_mechanism
non-base-compensation,Non-base and one-time compensation,non_base_compensation_other|stipend_or_premium|uniform_or_equipment_allowance|overtime|holiday_pay|longevity|benefit_cost_change|reimbursement|one_time|lump_sum,"Compensation outside regular base wages that does not fit a more specific category. It adds pay outside the base rate, so a base-wage comparison can miss part of compensation. It raises pay for specific duties, qualifications, shifts, or working conditions. It increases cash compensation or reimburses required job costs without changing base pay. It can substantially increase earnings beyond base pay when staffing or scheduling produces extra hours. It adds premium compensation for holiday work or recognized holidays. It adds scheduled pay as service accumulates and can steepen wage growth for long-tenured workers. It can change total compensation or take-home value even when base wages do not move. It offsets work expenses but should not be treated as recurring wages. It raises current compensation without permanently increasing the base schedule. It increases compensation once but does not by itself raise future base wages. Among side-classified events, safety appears more often (452 versus 37) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",198,True,True,True,CLAIM-C,reader_facing_mechanism
scheduled-base-growth,Scheduled base-wage growth,across_the_board_raise|base_wage_change|step_progression|cola_cpi_adjustment|inflation_indexing|recurring,"The same general increase applied across covered jobs or classifications. It raises covered rates together, but does not necessarily change the gap between safety and non-safety jobs. It directly changes recurring salary or wage rates. It can generate repeated wage growth as employees move through scheduled steps. It can preserve purchasing power by linking raises to inflation or a stated percentage. It can trigger recurring adjustments as inflation changes. It raises future compensation repeatedly because the amount remains in the pay structure. Among side-classified events, safety appears more often (384 versus 32) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",137,True,True,True,CLAIM-B|CLAIM-G,reader_facing_mechanism
budgets-pay-plans,"Budgets, pay plans, and fiscal constraint",budget_pay_plan_process|fiscal_constraint|budget_appropriation,"A budget or pay-plan process that formally sets or revises compensation schedules. It can authorize, sequence, or constrain the schedules through which wages become operative. It can hold pay down, delay implementation, or redirect increases toward narrower groups or one-time payments. It supplies the legal or financial authority for compensation to be paid. Among side-classified events, safety appears more often (154 versus 69) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",108,True,True,True,CLAIM-F,reader_facing_mechanism
ordinance-adoption,Council and ordinance adoption,ordinance_council_adoption|ordinance_adoption,"A city council or ordinance action that formally authorizes compensation terms. It turns a proposal or agreement into an authorized municipal action, although authorization is not proof of payment. It formalizes compensation terms, but the retained evidence must still show implementation or payment separately. Among side-classified events, safety appears more often (76 versus 21) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",99,True,True,True,CLAIM-F,reader_facing_mechanism
formal-bargaining,Formal bargaining and impasse resolution,bargaining_leverage|collective_bargaining|settlement_or_mou|contract_ratification|interest_arbitration,"The practical power employees or unions can use to win better terms during negotiations. It can improve negotiated terms when employees can credibly apply staffing, political, legal, or job-action pressure. It provides the formal channel through which wage schedules and non-base terms are negotiated. It can implement targeted changes faster or more narrowly than a complete successor contract. It approves negotiated terms but remains distinct from their payroll-effective or paid stage. It can impose compensation terms when ordinary bargaining reaches an impasse. Among side-classified events, safety appears more often (42 versus 5) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",137,True,True,True,CLAIM-A,reader_facing_mechanism
classification-structure,Classification and pay structure,classification_band_change|salary_range_change|classification_civil_service,"A change to a job classification, pay grade, range, or band. It can raise or lower attainable pay by moving a job into a different grade or range. It changes the floor, ceiling, or spread of possible pay rather than necessarily changing observed earnings immediately. It governs placement and progression in ways that can structure long-run pay paths. Among side-classified events, safety appears more often (23 versus 2) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",113,True,True,True,CLAIM-B|CLAIM-F,reader_facing_mechanism
staffing-market-pressure,"Staffing, market, and comparability pressure",market_recruitment_retention|vacancy_pressure|comparability_parity,"A pay action justified by labor-market competition, hiring, or retention pressure. It can produce targeted raises or premiums when employers struggle to hire or keep workers. It can motivate targeted raises, premiums, or retention measures when positions are hard to fill. It can pull pay toward a reference job, bargaining unit, or neighboring jurisdiction. Among side-classified events, safety appears more often (22 versus 7) in the retained evidence. That pattern matters because it shows which side is more visible in the documents I could classify, but safety records were also easier to identify and more common in the corpus. It does not establish national prevalence or a wage effect.",109,True,True,True,CLAIM-A|CLAIM-D,reader_facing_mechanism
none-identified,None Identified,none_identified,"The retained record documents compensation activity but does not identify a specific wage-setting process. The 2,001 deduplicated records show that an event can be visible even when the document does not name the process that produced it. I report this as a classification limit, not as a compensation mechanism or evidence that municipalities lack one.",56,True,True,True,,evidence_status
no-direct-compensation-outcome,No Direct Compensation Outcome,no_direct_compensation_outcome,"An administrative event for which the retained record does not show a direct pay outcome. These 544 records may document administrative action, discussion, or approval without a retained payment result. I keep them outside the mechanism profiles because action without a direct pay outcome cannot establish that compensation changed.",49,True,True,True,,evidence_status
unclear,Unclear,unclear,The record points to a compensation event but does not identify the mechanism clearly. The 140 deduplicated records remain unresolved because the available language does not support a more specific label. Leaving them unclear protects the mechanism counts from convenient guessing and keeps uncertainty visible.,45,True,True,True,,evidence_status
