figure_id,outside_fixed_extent,northern_records_present,alaska_event_count
corrected-category-map-none-identified,0,True,9
corrected-category-map-payroll-effective-date,0,True,3
corrected-category-map-retroactive,0,True,6
corrected-category-map-retroactive-pay,0,True,6
corrected-category-map-recurring,0,True,5
corrected-category-map-fiscal-constraint,0,True,1
corrected-category-map-budget-pay-plan-process,0,True,1
corrected-category-map-no-direct-compensation-outcome,0,True,0
corrected-category-map-across-the-board-raise,0,True,3
corrected-category-map-one-time,0,True,2
corrected-category-map-non-base-compensation-other,0,True,0
corrected-category-map-ordinance-council-adoption,0,True,3
corrected-category-map-ordinance-adoption,0,True,2
corrected-category-map-unclear,0,True,0
corrected-category-map-base-wage-change,0,True,0
corrected-category-map-step-progression,0,True,1
corrected-category-map-cola-cpi-adjustment,0,True,0
corrected-category-map-uniform-or-equipment-allowance,0,True,0
corrected-category-map-benefit-cost-change,0,True,0
corrected-category-map-budget-appropriation,0,True,0
corrected-category-map-stipend-or-premium,0,True,1
corrected-category-map-settlement-or-mou,0,True,0
corrected-category-map-market-recruitment-retention,0,True,0
corrected-category-map-classification-band-change,0,True,0
corrected-category-map-longevity,0,True,0
corrected-category-map-overtime,0,True,0
corrected-category-map-inflation-indexing,0,True,0
corrected-category-map-holiday-pay,0,True,0
corrected-category-map-lump-sum,0,True,0
corrected-category-map-bargaining-leverage,0,True,0
corrected-category-map-collective-bargaining,0,True,0
corrected-category-map-salary-range-change,0,True,0
corrected-category-map-contract-ratification,0,True,0
corrected-category-map-vacancy-pressure,0,True,0
corrected-category-map-reimbursement,0,True,0
corrected-category-map-comparability-parity,0,True,0
corrected-category-map-classification-civil-service,0,True,0
corrected-category-map-interest-arbitration,0,True,0
corrected-profile-map-retroactivity-payroll,0,True,6
corrected-profile-map-non-base-compensation,0,True,3
corrected-profile-map-scheduled-base-growth,0,True,5
corrected-profile-map-budgets-pay-plans,0,True,1
corrected-profile-map-ordinance-adoption,0,True,3
corrected-profile-map-formal-bargaining,0,True,0
corrected-profile-map-classification-structure,0,True,0
corrected-profile-map-staffing-market-pressure,0,True,0
