mechanism_tag,mechanism_name,category_type,event_count,municipality_count,state_count,safety_event_count,non_safety_event_count,mixed_event_count,side_independent_event_count,unresolved_event_count,side_classified_denominator,safety_share_classified,non_safety_share_classified,definition,wage_channel,claim_ids,analytical_unit
payroll_effective_date,Payroll Effective Date,reader_facing_mechanism,1876,1119,42,786,105,3,264,718,891,0.8822,0.1178,The date on which an approved compensation change becomes operative in payroll.,It determines when an approved increase starts reaching paychecks and prevents adoption dates from being mistaken for payment.,CLAIM-E,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
retroactive,Retroactive,reader_facing_mechanism,1418,922,42,597,52,1,38,730,649,0.9199,0.0801,A compensation term whose effective date reaches back before the final approval or payment date.,It can push compensation upward by making a later settlement effective for earlier work.,CLAIM-E,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
retroactive_pay,Retroactive Pay,reader_facing_mechanism,1418,922,42,597,52,1,38,730,649,0.9199,0.0801,Back pay owed because an agreement or award applies to an earlier period.,"It converts the earlier effective period into an owed payment, often delivered as back pay.",CLAIM-E,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
recurring,Recurring,reader_facing_mechanism,720,515,35,337,27,3,30,323,364,0.9258,0.0742,A compensation component that continues in the regular schedule instead of ending after one payment.,It raises future compensation repeatedly because the amount remains in the pay structure.,CLAIM-B,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
fiscal_constraint,Fiscal Constraint,reader_facing_mechanism,619,395,33,152,69,1,372,25,221,0.6878,0.3122,Budget pressure or limited fiscal capacity that narrows the compensation choices available to a municipality.,"It can hold pay down, delay implementation, or redirect increases toward narrower groups or one-time payments.",CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
budget_pay_plan_process,Budget Pay Plan Process,reader_facing_mechanism,617,391,31,146,68,1,372,30,214,0.6822,0.3178,A budget or pay-plan process that formally sets or revises compensation schedules.,"It can authorize, sequence, or constrain the schedules through which wages become operative.",CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
across_the_board_raise,Across The Board Raise,reader_facing_mechanism,373,298,34,178,11,0,1,183,189,0.9418,0.0582,The same general increase applied across covered jobs or classifications.,"It raises covered rates together, but does not necessarily change the gap between safety and non-safety jobs.",CLAIM-B|CLAIM-G,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
one_time,One Time,reader_facing_mechanism,299,242,25,139,10,1,38,111,149,0.9329,0.0671,A payment or adjustment that does not recur in the regular base schedule.,It raises current compensation without permanently increasing the base schedule.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
non_base_compensation_other,Non Base Compensation Other,reader_facing_mechanism,292,195,18,174,12,2,0,104,186,0.9355,0.0645,Compensation outside regular base wages that does not fit a more specific category.,"It adds pay outside the base rate, so a base-wage comparison can miss part of compensation.",CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
ordinance_council_adoption,Ordinance Council Adoption,reader_facing_mechanism,255,221,33,61,17,0,60,117,78,0.7821,0.2179,A city council or ordinance action that formally authorizes compensation terms.,"It turns a proposal or agreement into an authorized municipal action, although authorization is not proof of payment.",CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
ordinance_adoption,Ordinance Adoption,reader_facing_mechanism,206,188,35,50,12,0,42,102,62,0.8065,0.1935,Formal adoption of compensation terms through an ordinance.,"It formalizes compensation terms, but the retained evidence must still show implementation or payment separately.",CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
base_wage_change,Base Wage Change,reader_facing_mechanism,120,98,19,59,3,0,0,58,62,0.9516,0.0484,A change to the recurring base wage or salary rate.,It directly changes recurring salary or wage rates.,CLAIM-B,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
step_progression,Step Progression,reader_facing_mechanism,87,74,18,45,7,1,7,27,52,0.8654,0.1346,"Movement through a salary schedule based on service, rank, or another progression rule.",It can generate repeated wage growth as employees move through scheduled steps.,CLAIM-B,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
cola_cpi_adjustment,COLA CPI Adjustment,reader_facing_mechanism,79,61,23,35,5,0,6,33,40,0.875,0.125,"A cost-of-living adjustment, sometimes linked to inflation or a price index.",It can preserve purchasing power by linking raises to inflation or a stated percentage.,CLAIM-B,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
uniform_or_equipment_allowance,Uniform Or Equipment Allowance,reader_facing_mechanism,68,56,13,36,4,1,4,23,40,0.9,0.1,"A payment for required uniforms, equipment, maintenance, or related costs.",It increases cash compensation or reimburses required job costs without changing base pay.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
