item,status,terminology_consistent,text_complete
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/Codex_execution_evolution_visual.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/Codex_execution_evolution_visual.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-a.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-a.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-b.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-b.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-c.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-c.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-d.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-d.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-e.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-e.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-f.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-f.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-g.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-g.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-h.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-claim-h.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-01.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-01.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-02.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-02.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-03.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-03.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-04.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-04.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-05.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-05.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-06.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/claim-card-unsup-06.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/errors_failures_repairs_visual.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/errors_failures_repairs_visual.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/evidence_tier_redesign_visual.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/evidence_tier_redesign_visual.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/full_project_workflow_visual.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/full_project_workflow_visual.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/human_ai_roles_expanded_visual.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/human_ai_roles_expanded_visual.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-analytical-framing.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-analytical-framing.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-comparability.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-comparability.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-discovery-search.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-discovery-search.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-document-readiness.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-document-readiness.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-extraction-overproduction.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-extraction-overproduction.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-mathematical-design.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-mathematical-design.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-operations-infrastructure.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-operations-infrastructure.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-rating-review.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-rating-review.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-reporting-visuals.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-reporting-visuals.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-research-design-scope.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-research-design-scope.svg,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-side-imbalance.png,pass,True,True
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/figures/limitation-side-imbalance.svg,pass,True,True
