term,definition,category_type
Retroactivity and payroll timing,A compensation term whose effective date reaches back before the final approval or payment date.,reader_facing_mechanism
Non-base and one-time compensation,Compensation outside regular base wages that does not fit a more specific category.,reader_facing_mechanism
Scheduled base-wage growth,The same general increase applied across covered jobs or classifications.,reader_facing_mechanism
"Budgets, pay plans, and fiscal constraint",A budget or pay-plan process that formally sets or revises compensation schedules.,reader_facing_mechanism
Council and ordinance adoption,A city council or ordinance action that formally authorizes compensation terms.,reader_facing_mechanism
Formal bargaining and impasse resolution,The practical power employees or unions can use to win better terms during negotiations.,reader_facing_mechanism
Classification and pay structure,"A change to a job classification, pay grade, range, or band.",reader_facing_mechanism
"Staffing, market, and comparability pressure","A pay action justified by labor-market competition, hiring, or retention pressure.",reader_facing_mechanism
None Identified,The retained record documents compensation activity but does not identify a specific wage-setting process.,evidence_status
No Direct Compensation Outcome,An administrative event for which the retained record does not show a direct pay outcome.,evidence_status
Unclear,The record points to a compensation event but does not identify the mechanism clearly.,evidence_status
