span_id,source_id,extraction_id,retained_source_id,candidate_id,scout_target_id,verification_row_id,readiness_id,source_review_download_id,span_queue_id,span_lane_id,span_lane_sequence,municipality,state,region,source_family,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_type,source_title,original_locator,final_locator,extracted_text_artifact_path,extracted_text_artifact_hash,evidence_category,mechanism_attributes,quant_span_types,qualitative_mechanism_span_types,exact_span_text,short_paraphrase,page_number,section_heading,character_start_offset,character_end_offset,line_offset,paragraph_offset,location_metadata_status,confidence_quality_flag,source_level_span_status,extraction_timestamp,reason_code,rule_ids,span_sha256,rating_id,rating_lane_id,rating_lane_sequence,rating_input_sha256
B4X2500SPAN-20260730-4a4baa925cf8875e95e832d6,B4X2500LIVE-20260729-002612,B4X2500TXT-20260730-59d032b7c2506850d56d,B4X2500SRD-20260730-bccb53ede7cce7951908,B4X2500LIVE-20260729-002612,B4X2500-20260729-02610,B4X2500V-20260730-04512,B4X2500RDY-20260730-c6a384c5e1f610ba0bd1,B4X2500SRD-20260730-bccb53ede7cce7951908,B4X2500SPQ-20260730-94a811dab3c9c82cf32b,span_extraction_lane_001,454,Harrisburg,IL,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,html,"Council Minutes 07-17-25 (non-contractual pay increase approved; FY26/FY27 retroactive to May 01, 2025)",https://www.harrisburgillinois.com/council-agenda-minutes/council-minutes-07-17-25,https://harrisburgillinois.com/council-agenda-minutes/council-minutes-07-17-25,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_002/B4X2500TXT-20260730-59d032b7c2506850d56d.txt,a895b0a4b8948e5de62f0f4dfecc246fc1b868312859bbeafa2aea5c06686776,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process, He has waited to present a pay increase due to contract negotiations and the budget.,"The passage references bargaining, impasse, factfinding, or arbitration context.",,,12338,12423,129,65,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:24:25Z,bounded_deterministic_rule_match_M002,M002,f83144a2e93c8b0a1e7ea48ddcd5513dace79e610d6bd7e5f6ba8c188d42298a,B4X2500-RATING-20260730-70c718db95b610366592eb8c,rating_lane_004,1,8f231c406cf3189b5c3769e600aec95af5f64fcf71b01fcaba0b7f77c16f426f
B4X2500SPAN-20260730-89b4a53428c85927d0d6b5ae,B4X2500LIVE-20260729-000211,B4X2500TXT-20260730-886272884c30d46bd953,B4X2500SRD-20260730-8a493108079348779ea3,B4X2500LIVE-20260729-000211,B4X2500-20260729-00147,B4X2500V-20260730-00186,B4X2500RDY-20260730-c56c648c901ba873c098,B4X2500SRD-20260730-8a493108079348779ea3,B4X2500SPQ-20260730-9699d5df7e1229722282,span_extraction_lane_002,78,Pinckneyville,IL,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,pdf,"Minutes, Regular Meeting of the Pinckneyville City Council (Resolution No. R-2024-38 to enter into collective bargaining agreement)",https://cms5.revize.com/revize/pinckneyvilleil/Document_Center/GOVERNMENT/AGENDAS%20%26%20CITY%20COUNCIL%20MINUTES/2024/Minutes/08-26-24%20Minutes.pdf,https://cms5.revize.com/revize/pinckneyvilleil/Document_Center/GOVERNMENT/AGENDAS%20%26%20CITY%20COUNCIL%20MINUTES/2024/Minutes/08-26-24%20Minutes.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-886272884c30d46bd953.txt,bd072d2401e6cd366ed8b23be0f8982bca16ab1b309c2674dab982fd80de93a5,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process," R-2024-38 TO ENTER INTO A COLLECTIVE BARGAINING AGREEMENT
","The passage references bargaining, impasse, factfinding, or arbitration context.",,RESOLUTION NO.,9324,9383,138,38,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:32:12Z,bounded_deterministic_rule_match_M002,M002,7dcfe19ab2b1deb147d83c1a4d9696947d5d6b62eeb22b59fcce58e78610213a,B4X2500-RATING-20260730-03129417b09c1cb02c889ae7,rating_lane_004,2,f16e01e8662fa5c9b4a40f0b6e331bcff43131fc6dfd7fee1adad7eb31b39af1
B4X2500SPAN-20260730-e1e6d09c2f64ca38e92477a4,B4X2500LIVE-20260729-000210,B4X2500TXT-20260730-3910abffd5eca0523827,B4X2500SRD-20260730-5fc6509f563a5f3c6940,B4X2500LIVE-20260729-000210,B4X2500-20260729-00147,B4X2500V-20260730-04511,B4X2500RDY-20260730-d2ab82abad200be66a48,B4X2500SRD-20260730-5fc6509f563a5f3c6940,B4X2500SPQ-20260730-148de2cd4cbdcfd85dbc,span_extraction_lane_004,426,Pinckneyville,IL,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,pdf,"Minutes, Regular Meeting of the Pinckneyville City Council (Resolution No. R-2017-18 collective bargaining agreement; Resolution No. R-2017-19 addendum to collective bargaining agreement)",https://cms5.revize.com/revize/pinckneyvilleil/Document_Center/GOVERNMENT/AGENDAS%20%26%20CITY%20COUNCIL%20MINUTES/2017/Minutes%2C%206-12-2017.pdf,https://cms5.revize.com/revize/pinckneyvilleil/Document_Center/GOVERNMENT/AGENDAS%20%26%20CITY%20COUNCIL%20MINUTES/2017/Minutes%2C%206-12-2017.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-3910abffd5eca0523827.txt,66c0a8e2cdb5d37eef18a65eb42078c31e5515a8e741c6de7d0212033a573f53,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process," R-2017-19 ADDENDUM TO COLLECTIVE BARGAINING AGREEMENT
","The passage references bargaining, impasse, factfinding, or arbitration context.",,RESOLUTION NO.,9976,10031,160,48,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:48:23Z,bounded_deterministic_rule_match_M002,M002,c783db810db7739ae4abed8c00b37c2c1e2eb3250ec16a5eba158ffcd27d9c0a,B4X2500-RATING-20260730-cac5d8dc5502854d4c1fdd54,rating_lane_004,3,cb1e4ba5b99208ac3b27695a26808e126900f51e176c95df43e4717c11ee4ef5
B4X2500SPAN-20260730-1b18542978dd88ae7ed8081a,B4X2500LIVE-20260729-007708,B4X2500TXT-20260730-b2c34b498262525ae544,B4X2500SRD-20260730-c72e96178d9a9bf95762,B4X2500LIVE-20260729-007708,B4X2500-20260729-07694,B4X2500V-20260730-00286,B4X2500RDY-20260730-cdc69adb3bcb5343cffb,B4X2500SRD-20260730-c72e96178d9a9bf95762,B4X2500SPQ-20260730-a5ba5d803de0c6bb496f,span_extraction_lane_003,267,Green,IN,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,,pdf,"Minutes (Regular Meeting) — Resolution approving Collective Bargaining Agreement with Green Township Professional Firefighters Union Local 2927 IAFF (3-year term commencing Jan 1, 2018)",https://www.egovlink.com/public_documents300/greentwp/published_documents/Agendas%20and%20Minutes/Minutes/2017/06-12-17.pdf,https://egovlink.com/public_documents300/greentwp/published_documents/Agendas%20and%20Minutes/Minutes/2017/06-12-17.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-b2c34b498262525ae544.txt,d2eb10f09acf44009eba3fad6d4b10f1a6a058e0fc8d9e42c0f816dd422b2ed8,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,"Firefighters Bargaining Unit was negotiation of a new contract for a
","The passage references bargaining, impasse, factfinding, or arbitration context.",,RESOLUTION #17-0612-G,3894,3963,81,16,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:40:21Z,bounded_deterministic_rule_match_M002,M002,fe37d99b717c32027d08eb1a01b570ed5e2e5086da5ca1da73b772bfcd63228c,B4X2500-RATING-20260730-61db5bfa8dfe25928a765229,rating_lane_004,4,ad9ddf02730d6722e5a3bbfdc8fab48bc97e8a10232e77f2f00c55fadb4bec18
B4X2500SPAN-20260730-a6ca6a5889d5cd2e8980bd2a,B4X2500LIVE-20260729-007707,B4X2500TXT-20260730-af4d99ccf9e9f7f433b4,B4X2500SRD-20260730-63931ff1c919f6be1104,B4X2500LIVE-20260729-007707,B4X2500-20260729-07694,B4X2500V-20260730-04610,B4X2500RDY-20260730-1e2eb5683c287f314758,B4X2500SRD-20260730-63931ff1c919f6be1104,B4X2500SPQ-20260730-b84c99479a35eb092682,span_extraction_lane_004,297,Green,IN,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,,pdf,"Minutes (Regular Meeting) — Resolution approving Collective Bargaining Agreement with Green Township Patrol Officers Bargaining Unit (3-year term expiring Dec 31, 2028)",https://www.egovlink.com/public_documents300/greentwp/published_documents/Agendas%20and%20Minutes/Minutes/2025/11-10-25.pdf,https://egovlink.com/public_documents300/greentwp/published_documents/Agendas%20and%20Minutes/Minutes/2025/11-10-25.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_003/B4X2500TXT-20260730-af4d99ccf9e9f7f433b4.txt,24483b2e08a688d0ec678d8756690da33f413f18ca6b88805868b0af19f2de50,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,"Chairman Callos moved to approve Collective Bargaining Agreement with Green Township
","The passage references bargaining, impasse, factfinding, or arbitration context.",,RESOLUTION #25-1110-F,1847,1932,42,12,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:48:19Z,bounded_deterministic_rule_match_M002,M002,595ba6ec1c3a3bdf73bd8299bb6c8bc052386714107659543345ce3b19506ba0,B4X2500-RATING-20260730-350330ced7663df030783f5a,rating_lane_004,5,95490bd5ea3ac7831c12a0cd677738ca9b06035caca1135feaecf3a332fee945
B4X2500SPAN-20260730-3c5acd0a84c9956f9e5bdd15,B4X2500LIVE-20260729-005405,B4X2500TXT-20260730-90aa8a60023aceb1e15f,B4X2500SRD-20260730-0a6daec64d89df48a587,B4X2500LIVE-20260729-005405,B4X2500-20260729-05376,B4X2500V-20260730-03414,B4X2500RDY-20260730-39e19484949759aee029,B4X2500SRD-20260730-0a6daec64d89df48a587,B4X2500SPQ-20260730-5bcb1ae97f774b4a1fb3,span_extraction_lane_004,373,Ithaca,MI,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,pdf,"City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026)",https://www.ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,https://ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-90aa8a60023aceb1e15f.txt,85f7c0f92c54aede557b0d5e15dc7ddc08f488cbb0a0588823b1bbfebbcee21d,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,"Mayor Baublitz reported that negotiations were completed and instructed City Manager Conn to present the new
","The passage references bargaining, impasse, factfinding, or arbitration context.",,,5462,5571,125,36,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:48:22Z,bounded_deterministic_rule_match_M002,M002,b847bbc6dfc0ebee77808098ab71693cec3222c5a821127877abfcb985d0a4e5,B4X2500-RATING-20260730-dbadb8fc3cd6effbdbc93778,rating_lane_004,6,c7618c54e1674655e50038bbc43fad7894e2a1fc6943b4cc17d3dfeb092fc74e
B4X2500SPAN-20260730-b0dd374e41b31575533c99fb,B4X2500LIVE-20260729-005405,B4X2500TXT-20260730-90aa8a60023aceb1e15f,B4X2500SRD-20260730-0a6daec64d89df48a587,B4X2500LIVE-20260729-005405,B4X2500-20260729-05376,B4X2500V-20260730-03414,B4X2500RDY-20260730-39e19484949759aee029,B4X2500SRD-20260730-0a6daec64d89df48a587,B4X2500SPQ-20260730-5bcb1ae97f774b4a1fb3,span_extraction_lane_004,373,Ithaca,MI,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,pdf,"City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026)",https://www.ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,https://ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-90aa8a60023aceb1e15f.txt,85f7c0f92c54aede557b0d5e15dc7ddc08f488cbb0a0588823b1bbfebbcee21d,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,"Manager Conn and President Jeff Glynn requested a closed session to discuss the contract negotiations.
","The passage references bargaining, impasse, factfinding, or arbitration context.",,,5096,5199,116,32,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:48:22Z,bounded_deterministic_rule_match_M002,M002,9c5c77cadbcd3d925fab88291c4ec29ccd416425f2fb5db238e674081998c1bc,B4X2500-RATING-20260730-ac021f087c9265c2747a313a,rating_lane_004,7,68ac697e8c0c400a4694425fd336080b63fabae76b343d1d3bd8633f973db096
B4X2500SPAN-20260730-40dfd33cfd4a672e4d07fe6b,B4X2500LIVE-20260729-000576,B4X2500TXT-20260730-aac98de82f11bae362fd,B4X2500SRD-20260730-4050b29a5413d431ea94,B4X2500LIVE-20260729-000576,B4X2500-20260729-00494,B4X2500V-20260730-02041,B4X2500RDY-20260730-854f030d10ce3193df90,B4X2500SRD-20260730-4050b29a5413d431ea94,B4X2500SPQ-20260730-b365fd747ea09a8c9e47,span_extraction_lane_001,254,Truman,MN,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,pdf,"1/5/2026 Regular Meeting Minutes (Resolution 2026-06: Ratify IBEW Local #160 Collective Bargaining Agreement, 2026-2028)",https://trumanmn.us/documents/276/1.5.26_Regular_Meeting_Minutes.pdf,https://trumanmn.us/documents/276/1.5.26_Regular_Meeting_Minutes.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_001/B4X2500TXT-20260730-aac98de82f11bae362fd.txt,6565ba34a76e275d7cf9ce98f3df2846d66a4ce522343a52e0982f32d57b88ef,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,"Resolution 2026-06 to Ratify the IBEW Local #160 Collective Bargaining Agreement
","The passage references bargaining, impasse, factfinding, or arbitration context.",,,6054,6135,110,29,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:24:18Z,bounded_deterministic_rule_match_M002,M002,430bba20aba354adafcd1fbea1593181af4823ff0d34b74129e97002cb7445b4,B4X2500-RATING-20260730-c221f528002e7457325a4255,rating_lane_004,8,69dbaed576a69ab9e33d37d0e78ab55ba7a596882d1cd24ffc086167a19758be
B4X2500SPAN-20260730-8c43700a223fb3e92ebfe7c8,B4X2500LIVE-20260729-005542,B4X2500TXT-20260730-b5ff9920e18e61f0db4e,B4X2500SRD-20260730-46deed792cd06beeeb35,B4X2500LIVE-20260729-005542,B4X2500-20260729-05471,B4X2500V-20260730-04920,B4X2500RDY-20260730-0e54988e17d644459f0d,B4X2500SRD-20260730-46deed792cd06beeeb35,B4X2500SPQ-20260730-7c3bca696fbaa3397b13,span_extraction_lane_003,367,Mountain Lake,MN,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,pdf,Special City Council Meeting — Union Agreement Negotiations (AFSCME); includes General Wage Adjustment and Appendix A wage scale incorporation,https://cityofmountainlakemn.gov/wp-content/uploads/11-12-19_Special_City_Council_Minutes.pdf,https://cityofmountainlakemn.gov/wp-content/uploads/11-12-19_Special_City_Council_Minutes.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-b5ff9920e18e61f0db4e.txt,1db7a35ab0c7642ba73c2a999b7915952f2232ba825e8dec156751ca2f9242b2,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,"Special City Council Meeting – Union Agreement Negotiations
","The passage references bargaining, impasse, factfinding, or arbitration context.",,,0,60,1,1,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:40:23Z,bounded_deterministic_rule_match_M002,M002,01d6ddbedf0d588ed02e92f9e7e26ae783541ec2ab15f2158f8f96d8c9472d48,B4X2500-RATING-20260730-1e2ae298ed928f686e3d63ac,rating_lane_004,9,c377ac1e721e97fe8fdc7a783d93a82d5598d69cc234c1dc4587f6b052e887c0
B4X2500SPAN-20260730-e5b40bc897bc0e1da3c06aaf,B4X2500LIVE-20260729-003066,B4X2500TXT-20260730-ef2ab4864d3aa2efdd0e,B4X2500SRD-20260730-f66b785d442c070c1f45,B4X2500LIVE-20260729-003066,B4X2500-20260729-02977,B4X2500V-20260730-04924,B4X2500RDY-20260730-5a81c6e23b44d1291731,B4X2500SRD-20260730-f66b785d442c070c1f45,B4X2500SPQ-20260730-8e40da770cdbc8ec63f3,span_extraction_lane_004,275,Pelican Rapids,MN,Midwest,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,,pdf,"Pelican Rapids City Council Meeting Minutes (08/29/2023) — Police Union Agreement / Resolutions 2023-27, 2023-28, 2023-29",https://pelicanrapids.com/wp-content/uploads/2023/09/8-29-23-Agenda-and-Minutes-1.pdf,https://pelicanrapids.com/wp-content/uploads/2023/09/8-29-23-Agenda-and-Minutes-1.pdf,artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-ef2ab4864d3aa2efdd0e.txt,e0b20859d3be65a3ea2da703ed04285c87729a3f394e96648c857c95c4f92bd9,bargaining_or_arbitration_context,bargaining_power_signal,,collective_bargaining_process,Police Union Negotiations.,"The passage references bargaining, impasse, factfinding, or arbitration context.",,CITY OF PELICAN RAPIDS COUNCIL MEETING MINUTES – 08/29/2023,10567,10593,200,35,character_line_paragraph_available_page_unavailable_after_prior_normalization,deterministic_candidate_unrated,positive_spans_found,2026-07-30T17:48:18Z,bounded_deterministic_rule_match_M002,M002,03539e7b6024b4c70779f8f33d3053acd3f88b0ce71b2419f555d86d5cefd7b7,B4X2500-RATING-20260730-630598472a01e511b5763b51,rating_lane_004,10,71f4fe753693827ffa4f4483aca0c3741b827c3e890a67878863c4da6acbfa92
