aggressive_tier,caveat,claim_links,computed_percentage,corroboration_status,direction,directional_value_retained,formula,magnitude,mechanism,municipality,period,raw_values,relaxation_rule,reported_percentage,reproduced,result_id,semantic_outcome,side,source_basis,source_coordinates,source_count,source_ids,source_record_id,state,stored_percentage,strict_eligibility,unit_type
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,2.5974025974025974,corroborated,positive,2.597403,(later-prior)/prior*100,,COLA_CPI,Lincoln Center,2023->2024,"[""$19.25"", ""$19.75"", """"]",GROWTH-3,,True,AGGRES-9460bdb87d2e09b039766fc6,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-6b99a6c9a5917737ebece148"", ""prior_span_id"": ""B4X2500SPAN-20260730-ee7f16d11c575ca413da0713"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-6a50c501e353de82649a,KS,2.597403,defensible_unit_level_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,0.0,corroborated,neutral_or_unspecified,,(later-prior)/prior*100,0.0,base_wage_schedule_change,Manley,2017->2018,"[""$12.50"", ""$12.50"", """"]",GROWTH-2,,True,AGGRES-3157c57ca9ee65bebd34c6b2,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-6b7a586b12eaee5206fc34b5"", ""prior_span_id"": ""B4X2500SPAN-20260730-10013106cc853a9ef665047b"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-462f764253a1eca54609,NE,0.0,strong_named_position_match,growth
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,0.0,corroborated,neutral_or_unspecified,0.0,(later-prior)/prior*100,,base_wage_schedule_change,Berlin,2019->2020,"[""$75.00; $15.00"", ""$75.00; $15.00"", """"]",GROWTH-3,,True,AGGRES-9842e6ded6cb2f1743c3da45,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-e28f97bc0e47b93f9e5a0522"", ""prior_span_id"": ""B4X2500SPAN-20260730-287258b2efeb3a75bce4e8bd"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-9b22544ad3954edb8f6b,NJ,0.0,defensible_unit_level_match,growth
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,2.000000000000005,corroborated,positive,2.0,(later-prior)/prior*100,,base_wage_schedule_change,Harrington Park,2018->2019,"[""$15.00"", ""$15.30"", """"]",GROWTH-3,,True,AGGRES-86dd3ca31b063e4379bf44bd,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-ee600f8920038f901a3f8f73"", ""prior_span_id"": ""B4X2500SPAN-20260730-d13e2d3406364fd28c27b1f3"", ""span_id"": """"}",4,4,B4X2500GROWTHCONT-7e25c88d38000f0588a5,NJ,2.0,defensible_unit_level_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,15.384615384615385,corroborated,positive,,(later-prior)/prior*100,15.384615,base_wage_schedule_change,Nutley,2022->2023,"[""$13.00; $20.00"", ""$15.00; $25.00"", """"]",GROWTH-2,,True,AGGRES-e1435bcd3915d646e7d82aa2,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-b0c43228741f13df39460bbe"", ""prior_span_id"": ""B4X2500SPAN-20260730-f2097ad8c7b2c26956538f5d"", ""span_id"": """"}",3,3,B4X2500GROWTHCONT-d5020bc5beb3d63f5cc0,NJ,15.384615,strong_named_position_match,growth
tier_1_strict_claim_safe,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment.,safety_wage_growth,5.005005005005005,corroborated,positive,,(later-prior)/prior*100,5.005005,base_wage_schedule_change,Brookfield,2023->2024,"[""$19.98"", ""$20.98"", """"]",GROWTH-1,,True,AGGRES-063b42baa45a97dd6c4377af,strict_baseline_preserved,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-5e88176f87e6231753ed9180"", ""prior_span_id"": ""B4X2500SPAN-20260730-9b7fc77399e5be3fc929a927"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-bd2eb18d9cd35913507e,OH,5.005005,exact_position_schedule_match,growth
tier_1_strict_claim_safe,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment.,safety_wage_growth,10.242290748898675,corroborated,positive,,(later-prior)/prior*100,10.242291,base_wage_schedule_change,Brookfield,2023->2024,"[""$18.16"", ""$20.02"", """"]",GROWTH-1,,True,AGGRES-5ddf3e13b22239679940fdfe,strict_baseline_preserved,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-c9d52f4abbf44c7b57995019"", ""prior_span_id"": ""B4X2500SPAN-20260730-a31b2b385108f268ab8d9445"", ""span_id"": """"}",3,3,B4X2500GROWTHCONT-b803f7a3fb0240f78f8c,OH,10.242291,exact_position_schedule_match,growth
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,0.0,corroborated,neutral_or_unspecified,0.0,(later-prior)/prior*100,,implementation_retroactivity,Clinton,2023->2024,"[""$59.50"", ""$59.50"", """"]",GROWTH-3,,True,AGGRES-eb31e8dce0ab3f924fdc461e,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-4e73b408ef1ba5091dc3f45e"", ""prior_span_id"": ""B4X2500SPAN-20260730-1cca50bf4850436738161f09"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-47aefec37527f18a3e06,OH,0.0,defensible_unit_level_match,growth
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,4.49500554938956,corroborated,positive,4.495006,(later-prior)/prior*100,,step_schedule_progression,Jerome,2022->2023,"[""$18.02; $25.91; $20.55; $29.55; $26.19; $37.65"", ""$18.83; $27.07; $21.47; $30.88; $27.37; $39.35"", """"]",GROWTH-3,,True,AGGRES-b17f640fa3768a8168473d5f,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-22f3e7f275c1aff27de31963"", ""prior_span_id"": ""B4X2500SPAN-20260730-f828c5d73d268d8d084dd4df"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-b4fd939fc2834a332840,OH,4.495006,defensible_unit_level_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,4.04624277456649,corroborated,positive,,(later-prior)/prior*100,4.046243,base_wage_schedule_change,Monongahela,2022->2024,"[""$32.87"", ""$34.20"", """"]",GROWTH-2,,True,AGGRES-70dc34b4af128ee35ec0e6e2,uphold_tier_2_with_narrower_wording,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-edaa7a3a020a4fbd3367d331"", ""prior_span_id"": ""B4X2500SPAN-20260730-9ef6ced9733db2fcc0c9f31c"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-7b7f91f0c2c8acacf1b8,PA,4.046243,strong_named_position_match,growth
