span_extraction_id,source_candidate_id,rating_lane_id,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved,global_analysis_readiness
CBSPAN-20260728-abfb8a874e284aa135849316,B4XPAR-20260727-002910,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-43caf71afa246e44d430de48,B4XPAR-20260727-002919,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-e56663bfb445920dfc726f7a,B4XPAR-20260727-006458,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-1514a3581e13b8dbc8967407,B4XPAR-20260727-005922,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-d3b1f11aeaee74ecbc78df8d,B4XPAR-20260727-004204,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-e7e8afd2d32491a09468ebb6,B4XPAR-20260727-000673,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-58c54f2143788df7ace95834,B4XPAR-20260727-000677,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-deb5efd74873780748a070c3,B4XPAR-20260727-005949,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-53b45ca6b6aa0bcb1d0e17b5,B4XPAR-20260727-002403,rating_lane_002,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-e0b818e268a4d0013cceb1b5,B4XPAR-20260727-002413,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-bd7839c8413293cc3f65a0f8,B4XPAR-20260727-004254,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-4f1934960f29413b45dd311e,B4XPAR-20260727-004253,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-36b72ff0235036d09035aabb,B4XPAR-20260727-002430,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-58b46feeb4630393d0c5b8fe,B4XPAR-20260727-000731,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-9895e7fad2f16ef8372b4381,B4XPAR-20260727-006022,rating_lane_002,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-14d39b6d4be50e1219179f83,B4XPAR-20260727-006862,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-088b51242ad69817cae728b2,BSSC-20260727-00832,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-2bf06e88215125dfcbb5ac5b,BSSC-20260727-00837,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-8ff905e5cc69938a996931c8,B4XPAR-20260727-005111,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-210f0b825b45a129b2220f91,B4XPAR-20260727-005111,rating_lane_002,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-67a82a154d0ad0eef22dc470,B4XPAR-20260727-006049,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-82e4a6396e0ae63d8d8beb43,B4XPAR-20260727-006049,rating_lane_002,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-90ded766cd0a117f3a3197ce,B4XPAR-20260727-000779,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-f258a4e80feca488ed53176c,B4XPAR-20260727-002513,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-7f938ff645ae4ab69926ee5c,B4XPAR-20260727-002512,rating_lane_002,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-d9bb97b58d548fb5d1b7bfca,BSSC-20260727-00872,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-bb4233f6857a57b827c497b1,B4XPAR-20260727-003903,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-92c0740e0ade36ee6902b373,B4XPAR-20260727-003904,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-0360aea94e6de2ec266d6c9e,BSSC-20260727-00882,rating_lane_002,live,2,success,,lineage_id_changed,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-08fd2545e7dd41da7b8d0b7e,TS4L-f6ed385f2cdb6c4659da,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-e6dcc1d03130e6b5df06385b,TS4L-f6ed385f2cdb6c4659da,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-cfa5779d12f3c3a1fc931a9f,TS4L-f6ed385f2cdb6c4659da,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-895c1d4e352dabd6e245cd4e,B4XPAR-20260727-002097,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-159a17c4b6a252f3f781922c,BSSC-20260727-00895,rating_lane_002,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
