scout_candidate_id,scout_target_id,lane_id,shard_id,worker_id,state,region,municipality,county,unit_type_hint,occupation_group_hint,possible_bargaining_unit,possible_cycle_or_year,source_title,source_locator_or_url,source_domain,normalized_locator,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,search_query_family,broad_geographic_target_reason,source_family_diversification_reason,matched_safety_non_safety_opportunity_flag,duplicate_locator_flag,prior_seen_locator_flag,candidate_quality_tier,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
B4XPAR-20260727-000001,B4X1000-20260727-0001,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Asbury,Dubuque County (19061; primary),unknown,unknown,,unclear,City Council meeting agendas & minutes (Diligent public portal) - search platform for possible labor/pay attachments,https://cityofasbury.community.diligentoneplatform.com/Portal/,cityofasbury.community.diligentoneplatform.com,https://cityofasbury.community.diligentoneplatform.com/Portal,agenda_packet_or_minutes,context_only,high,,agreements_mous_settlements,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000002,B4X1000-20260727-0001,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Asbury,Dubuque County (19061; primary),unknown,unknown,,unclear,BoardDocs® archived agendas & minutes entrance (potential older labor/pay attachments),https://go.boarddocs.com/ia/coaia/Board.nsf,go.boarddocs.com,https://go.boarddocs.com/ia/coaia/Board.nsf,salary_ordinance,context_only,high,strike_or_no_strike_constraint,agreements_mous_settlements,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000003,B4X1000-20260727-0002,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),police,police,Teamsters Local 238; AFSCME Local 61,unclear,"Carlisle City Council Meeting Agenda (May 26, 2026) — Tentative Collective Bargaining Agreement with Teamsters Local 238 / AFSCME Local 61",https://carlisleiowa.org/AgendaCenter/ViewFile/Agenda/_05262026-92,carlisleiowa.org,https://carlisleiowa.org/AgendaCenter/ViewFile/Agenda/_05262026-92,agenda_packet_or_minutes,agenda_cover_sheet,high,,arbitration_factfinding,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000004,B4X1000-20260727-0002,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),unclear,unclear,unclear (not named in snippet),"through 2025 (explicit reference), but term dates and start/end not shown",Carlisle Police Department — Employment Application (2026 posting) referencing “Current Union Contract through 2025” and “top out pay”,https://www.carlisleiowa.org/sites/g/files/vyhlif8086/f/uploads/carlisle_police_department_application-_2023_process.pdf,carlisleiowa.org,https://carlisleiowa.org/sites/g/files/vyhlif8086/f/uploads/carlisle_police_department_application-_2023_process.pdf,cba,context_only,high,,arbitration_factfinding,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000005,B4X1000-20260727-0002,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),non_safety,non_safety,"unclear (collective bargaining referenced, but parties not identified in snippet)",unclear,"Carlisle City Council Meeting Packet (Apr 14, 2025) — Resolution updating Vacation Policy / Handbook (collective bargaining conflicts clause)",https://www.carlisleiowa.org/sites/g/files/vyhlif8086/f/agendas/april_14_2025_council_packet.pdf,carlisleiowa.org,https://carlisleiowa.org/sites/g/files/vyhlif8086/f/agendas/april_14_2025_council_packet.pdf,cba,ordinance_or_policy,high,non_safety_constraint_signal,arbitration_factfinding,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000006,B4X1000-20260727-0003,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Clear Lake,Cerro Gordo County (19033; primary),police,police,,unclear,"RESOLUTION #24-A RESOLUTION SETTING THE SALARIES FOR APPOINTED OFFICERS AND EMPLOYEES OF THE CITY OF CLEAR LAKE EFFECTIVE THE BEGINNING OF THE PAY PERIOD THAT INCLUDES JULY 1ST, 2024",https://files.municipalone.com/clearlake-ia/files/documents/citycouncilpacket06-03-24015816053124pm134.pdf,files.municipalone.com,https://files.municipalone.com/clearlake-ia/files/documents/citycouncilpacket06-03-24015816053124pm134.pdf,other_local_government_pay_policy,ordinance_or_policy,medium,,salary_wage_schedules,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000009,B4X1000-20260727-0003,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Clear Lake,Cerro Gordo County (19033; primary),unclear,unclear,Clear Lake Public Employment Agency,unclear,"Employment Appeal Board (EAB) - City of Clear Lake, Iowa and Clear Lake Public Employment Agency (public employment relations board order)",https://eab.iowa.gov/media/225/download?inline=,eab.iowa.gov,https://eab.iowa.gov/media/225/download,unknown_or_needs_review,index_page,low,,salary_wage_schedules,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000010,B4X1000-20260727-0004,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Denison,Crawford County (19047; primary),non_safety,non_safety,,unclear,"Regular Called City Council Meeting – July 1, 2025 agenda (includes resolution to set wage for Library Director for FY 2025–2026)",https://denisonia.com/wp-content/uploads/July_1_2025_Regular_Council_Agenda-1.pdf,denisonia.com,https://denisonia.com/wp-content/uploads/July_1_2025_Regular_Council_Agenda-1.pdf,agenda_packet_or_minutes,agenda_cover_sheet,high,non_safety_constraint_signal,budget_pay_plans,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000011,B4X1000-20260727-0004,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Denison,Crawford County (19047; primary),unknown,unknown,,unclear,"City Council Meetings – Denison, IA (index / landing page for downloading agendas/minutes)",https://denisonia.com/?page_id=832,denisonia.com,https://denisonia.com,wage_schedule,index_page,high,,budget_pay_plans,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
B4XPAR-20260727-000012,B4X1000-20260727-0005,lane_001,broad_shard_001,worker_lane_001,IA,Midwest,Eldridge,Scott County (19163; primary),police,police,Eldridge Public Safety Bargaining Unit (certified representative unit),unclear,"Order of Certification (City of Eldridge, Police Safety Bargaining Unit), CEO 862",https://eab.iowa.gov/media/278/download?inline=,eab.iowa.gov,https://eab.iowa.gov/media/278/download,unknown_or_needs_review,index_page,low,,civil_service_hr_personnel,unscouted municipality; state-balanced geographic expansion,rotate broad public local-government labor and pay document families,false,false,false,pending_combined_review,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Sanitized discovery metadata only; candidate review deferred.
