state,region,completed_target_count,parseable_municipality_count,candidate_positive_municipality_count,no_candidate_municipality_count,failed_or_stopped_target_count,candidate_count
AK,West,87,87,33,54,0,55
AL,South,87,87,53,34,0,122
AR,South,87,87,46,41,0,98
AZ,West,62,62,48,14,0,123
CA,West,87,87,84,3,0,264
CO,West,87,87,46,41,0,110
CT,Northeast,87,87,78,9,0,217
DE,South,39,39,20,19,0,46
FL,South,87,87,70,17,0,157
GA,South,87,86,57,29,1,134
IA,Midwest,87,87,71,16,0,172
ID,West,87,87,42,45,0,84
IL,Midwest,86,86,81,5,0,250
IN,Midwest,87,87,72,15,0,183
KS,Midwest,87,87,62,25,0,135
KY,South,87,87,66,21,0,153
LA,South,87,87,60,27,0,139
MA,Northeast,87,87,85,2,0,313
MD,South,87,87,52,35,0,114
ME,Northeast,87,87,71,16,0,162
MI,Midwest,87,87,76,11,0,177
MN,Midwest,86,86,78,8,0,181
MO,Midwest,87,87,67,20,0,166
MS,South,87,87,17,70,0,31
MT,West,87,87,45,42,0,104
NC,South,87,87,79,8,0,188
ND,Midwest,87,87,47,40,0,104
NE,Midwest,87,87,62,25,0,131
NH,Northeast,87,87,68,19,0,181
NJ,Northeast,87,86,85,1,1,212
NM,West,63,63,33,30,0,62
NV,West,1,1,1,0,0,3
NY,Northeast,87,87,75,12,0,198
OH,Midwest,87,87,68,19,0,177
OK,South,87,87,61,26,0,142
OR,West,87,87,64,23,0,151
PA,Northeast,86,86,73,13,0,197
RI,Northeast,21,21,21,0,0,60
SC,South,87,87,51,36,0,110
SD,Midwest,87,87,58,29,0,130
TN,South,87,87,52,35,0,111
TX,South,87,87,72,15,0,185
UT,West,87,87,71,16,0,160
VA,South,87,87,65,22,0,145
VT,Northeast,87,87,58,29,0,124
WA,West,87,86,75,11,1,201
WI,Midwest,87,87,75,12,0,184
WV,South,87,87,43,44,0,95
WY,West,76,76,34,42,0,73
