order,level,heading,running_header,public_purpose
1,cover,Why Public-Safety Wages May Grow Differently,,State the research question without asserting an estimated wage gap.
2,cover_subtitle,A Visual Atlas of Municipal Compensation Evidence,,Identify the format and evidence base.
3,h1,What the evidence supports,Executive summary,Give the bounded conclusion and the principal exclusions.
4,h1,How to read this atlas,Reader guide,Define the comparison evidence statuses and analytical units before use.
5,h2,The question and the comparison,Reader guide,Explain the within-municipality comparison and side definitions.
6,h2,Evidence types and analytical units,Reader guide,Separate strict bounded directional contextual and rejected evidence.
7,h2,How to read maps counts and claims,Reader guide,Prevent prevalence causal and unit misreadings.
8,h1,Terms used in the atlas,Glossary,Define unfamiliar compensation and evidence terms before the analysis.
9,part,The evidence base,Part I,Show corpus scale discovery retention and side visibility without mixing units.
10,part,Compensation mechanisms and related claims,Part II,Integrate each mechanism definition wage channel evidence and claim boundary.
11,part,Findings across mechanisms,Part III,Present growth staffing implementation local comparisons and counterexamples.
12,part,What the claims support,Part IV,Show all fourteen final claim classes and prohibited inferences.
13,part,What limits the evidence,Part V,Explain project-wide limitations alongside what still worked.
14,part,How the project worked,Part VI,Describe the Human-AI workflow tools scaling failures and repairs.
15,part,Technical appendix,Appendix,Preserve detailed counts evidence-status outcomes methods and source notes.
