auto_adjudication_id,adjudication_case_id,calibration_id,source_review_id,pdf_readiness_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,pdf_page_count,content_artifact_path,candidate_pages_evaluated,nearby_pages_evaluated,navigation_pages_evaluated,local_text_signal_summary,local_layout_signal_summary,rendered_page_available,rendered_page_count_used,table_structure_feature_score,wage_language_feature_score,pay_numeric_feature_score,navigation_feature_score,non_wage_false_positive_feature_score,compact_compensation_sheet_feature_score,gate_mode,gate2_diagnostic_reason_codes,gate2_candidate_discovery_summary,gate2_printed_page_offsets,gabriel_request_id,gabriel_backend,gabriel_model,gabriel_status,gabriel_schema_valid,gabriel_wage_schedule_present,gabriel_candidate_page_relationship,gabriel_visual_table_type,gabriel_non_wage_family,gabriel_navigation_needed,gabriel_navigation_target_found,gabriel_extraction_complexity,gabriel_extraction_recommendation,gabriel_confidence,gabriel_reason_codes,gabriel_short_rationale,gabriel_input_page_count,gabriel_input_text_chars,gabriel_elapsed_seconds,auto_gate_label,auto_gate_confidence,auto_gate_reason_codes,auto_gate_rationale,auto_gate_passes_500_doc_criteria_candidate
auto_adj_b7d25f149c3d4e84e3ce,adj_43bb432b3f3794d9948c,cal_01a57230b8158e19db8100b3,sr_4df7d032d5e831a67fdfe510,pr_13796e66888377c86b71dcb1,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf,"1,2",,,"{""benefit_terms"":2,""budget_terms"":2,""index_pages"":0,""numeric_tokens"":42,""role_terms"":2,""wage_terms"":15}","{""column_lines"":1,""geometry_columns"":2,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":2,""row_like_lines"":8}",true,2,0.540000,1.000000,1.000000,0.000000,0.660000,0.616667,auto_gabriel_gate2_navigation_table_refine,no_candidate_detected|non_wage_numeric_table|insufficient_role_pay_columns,"{""aligned_numeric_columns"":5,""candidate_pages"":2,""compact_role_pay_lines"":2,""navigation_pages"":0,""nearby_pages"":0,""resolved_navigation_targets"":0,""role_pay_rows"":0,""unresolved_navigation_targets"":0}",,resp_01737b2ee5e1d436006a650ad8446481969dd6456beb6f5517,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,memorandum_without_table,yes,no,not_extractable,exclude_for_now,high,PROSE_ONLY_NO_PAY_TABLE|REFERENCES_APPENDIX_D_UNSEEN|NO_ROLE_CLASSIFICATION_PAY_LINES|NO_NUMERIC_PAY_SCHEDULE_BANDS,"Packet contains memorandum language referencing a salary schedule in Appendix D, but no attached table (roles/classifications with pay bands/rates not present).",2,2436,3.211043,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_58c5823bf5fc3159970d,adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,sr_c559293254377ab55982205c,pr_e2d785f7bbcbc28ba7b4f38e,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,17,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,"3,9,17",2,1,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":254,""role_terms"":9,""wage_terms"":70}","{""column_lines"":42,""geometry_columns"":18,""geometry_rows"":32,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":43}",true,5,0.710000,1.000000,1.000000,0.000000,0.000000,0.916667,auto_gabriel_gate2_navigation_table_refine,compact_compensation_candidate|true_wage_table_evidence,"{""aligned_numeric_columns"":13,""candidate_pages"":3,""compact_role_pay_lines"":30,""navigation_pages"":1,""nearby_pages"":1,""resolved_navigation_targets"":0,""role_pay_rows"":2,""unresolved_navigation_targets"":0}",,resp_0a72ac6afad8ff6e006a650adb2de081958b5f90ab61e35dd6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,yes,exact_table_page,annual_salary_schedule,not_applicable,no,yes,moderate,extraction_ready,high,WAGE_TABLE_STEPS_PRESENT|ROLES_AND_PAY_LEVELS_IN_TABLE|SALARY_TABLE_HEADER_RECOGNIZED|NUMERIC_PAY_BANDS_INDICATED,"Packet includes an FY23 salary table with step-based pay values mapped to roles (e.g., Firefighter, Battalion Chief) and year/service bands; this is a structured wage schedule.",5,6000,6.055781,extraction_ready_high_confidence,high,GABRIEL_LOCAL_AGREE|ROW_COLUMN_EVIDENCE|PAGE_RELATIONSHIP_RESOLVED|GATE2_DIRECT_STRUCTURE_CONFIRMED,Schema-valid GABRIEL and strong local rendered/text geometry agree on a bounded wage-schedule page with resolved page identity.,true
auto_adj_c80b89ccec30fd995ab6,adj_372decf0ca2c77a33b8a,cal_04e9c405fa82bce92279cc76,sr_62322cb966f64b0f81a2dc6a,pr_001ccda7e40cd3eb951c6c24,NSCQ-CA-20260720-0544,CA,Wasco,CITY OF WASCO,police,memorandum_or_settlement,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf,"5,10,12",4,"1,2","{""benefit_terms"":29,""budget_terms"":3,""index_pages"":0,""numeric_tokens"":94,""role_terms"":23,""wage_terms"":42}","{""column_lines"":7,""geometry_columns"":8,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":7}",true,5,0.465000,1.000000,1.000000,0.000000,1.000000,0.441667,auto_gabriel_gate2_navigation_table_refine,benefits_table|true_wage_table_evidence,"{""aligned_numeric_columns"":5,""candidate_pages"":3,""compact_role_pay_lines"":1,""navigation_pages"":2,""nearby_pages"":1,""resolved_navigation_targets"":0,""role_pay_rows"":3,""unresolved_navigation_targets"":0}",,resp_0cd9723e7417392f006a650ade44c48193a9c7744ad4c26912,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,benefits,no,not_applicable,not_extractable,exclude_for_now,high,NO_STRUCTURED_PAY_SCHEDULE|PAY_IS_PROSE_PROVISIONS_NOT_TABLE|NO_ROLE_CLASSIFICATION_TO_PAY_BANDS_GRID,"Packet shows prose provisions (COLA, stipends, holiday/bilingual/allowance language, references to salary ranges) but no structured pay table/grid with roles/classifications and salary bands/rates.",6,6000,9.787688,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_8dff2be8b1373ed7ba6d,adj_f6c02e1d24efbe6d8eea,cal_075c10415a94e03dadfb692f,sr_272eba05d55d401649848e75,pr_d365eafbec62b9a6926306bf,NSCQ-MI-20260720-0107,MI,Hamtramck,CITY OF HAMTRAMCK,fire,memorandum_or_settlement,5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0485_sr_272eba05d55d401649848e75.pdf,"1,2,3",4,5,"{""benefit_terms"":16,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":115,""role_terms"":17,""wage_terms"":13}","{""column_lines"":5,""geometry_columns"":19,""geometry_rows"":16,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":29}",true,5,0.339750,1.000000,1.000000,0.000000,1.000000,0.303333,auto_gabriel_gate2_navigation_table_refine,non_wage_numeric_table|benefits_table|insufficient_role_pay_columns,"{""aligned_numeric_columns"":15,""candidate_pages"":3,""compact_role_pay_lines"":3,""navigation_pages"":1,""nearby_pages"":1,""resolved_navigation_targets"":0,""role_pay_rows"":3,""unresolved_navigation_targets"":0}",,resp_0b02f208ea5fc112006a650ae1f86481938fa3f1f13052c507,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,incentive_or_bonus_prose,no,not_applicable,not_extractable,exclude_for_now,high,NO_STRUCTURED_PAY_TABLE|PAY_PROSE_ONLY|NO_ROLE_CLASSIFICATION_TO_PAY_BANDS|NO_STEP_GRADE_MATRIX|NO_RATE_OR_SALARY_TABLE,"Packet contains collective bargaining amendment prose on wage increases, PTO, and benefits terms, but no structured wage/pay schedule table with roles/classifications and pay bands/rates.",5,6000,12.240957,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_38994d42409119b2f505,adj_c267df3868ee5b738d9c,cal_0ccdac533aafb9416dffec65,sr_9a13313d7b45e8058dc24607,pr_586455a7b202bb679e8cd632,NSCQ-MD-20260720-0049,MD,Ocean City,TOWN OF OCEAN CITY,police,cba,28,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_9a13313d7b45e8058dc24607.pdf,"2,13,27",1,"18,19","{""benefit_terms"":23,""budget_terms"":0,""index_pages"":1,""numeric_tokens"":108,""role_terms"":61,""wage_terms"":16}","{""column_lines"":4,""geometry_columns"":11,""geometry_rows"":2,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":30}",true,5,0.675000,1.000000,1.000000,0.200000,1.000000,0.866667,auto_gabriel_gate2_navigation_table_refine,candidate_is_index_or_contents|possible_printed_page_offset|compact_compensation_candidate|benefits_table|true_wage_table_evidence,"{""aligned_numeric_columns"":9,""candidate_pages"":3,""compact_role_pay_lines"":10,""navigation_pages"":2,""nearby_pages"":1,""resolved_navigation_targets"":0,""role_pay_rows"":15,""unresolved_navigation_targets"":0}",2,resp_0ef01d0cefca905f006a650ae46a60819385ce7f639fce52d3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,incentive_or_bonus_prose,no,not_applicable,not_extractable,exclude_for_now,medium,NO_STRUCTURED_PAY_TABLE|WAGE_LANGUAGE_IS_PROSE_PREMIUMS|INDEX_CONTENTS_ONLY|NO_ROLE_CLASSIFICATION_PAY_BANDS_EVIDENT,"Packet contains wage-related narrative/premium clauses (e.g., honor guard/K-9/inclement/travel) and an index TOC, but no structured role/classification pay schedule table with bands/rates/salaries.",6,6000,15.414416,exclude_for_now,medium,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_f633dc7ac1b38921a7ea,adj_f1615a4a47f0fc77c795,cal_0d99791bdc0cd19c28d5f5de,sr_7bcc2dd2d88906ef9ef58854,pr_e023663dc6160bcb0dbca7a8,NSCQ-OK-20260720-0015,OK,Lawton,CITY OF LAWTON,fire,cba,243,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0160_sr_7bcc2dd2d88906ef9ef58854.pdf,"82,242,243",81,"1,2","{""benefit_terms"":1,""budget_terms"":8,""index_pages"":1,""numeric_tokens"":175,""role_terms"":33,""wage_terms"":68}","{""column_lines"":10,""geometry_columns"":47,""geometry_rows"":70,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":63}",true,5,0.745000,1.000000,1.000000,0.200000,1.000000,0.616667,auto_gabriel_gate2_navigation_table_refine,budget_table|true_wage_table_evidence,"{""aligned_numeric_columns"":22,""candidate_pages"":3,""compact_role_pay_lines"":6,""navigation_pages"":2,""nearby_pages"":1,""resolved_navigation_targets"":0,""role_pay_rows"":6,""unresolved_navigation_targets"":0}",,resp_0303aa4dc2c19a80006a650ae797588197929a7bb13740b132,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,no_table,memorandum_without_table,no,no,not_extractable,exclude_for_now,high,NO_PAY_TABLE_EVIDENCE|SCHEDULE_REFERENCED_BUT_NOT_INCLUDED|NO_MONETARY_VALUES_DETECTED,"Packet contains prose referencing a “schedule below” and pay steps, but no structured role/class-to-pay bands or any monetary figures/tables are present.",6,6000,18.108672,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_a68f0def746e47fc78af,adj_132cea3ee5628e488480,cal_0e71fee5856adca413c60d77,sr_d73c9a81583ea67b229040c7,pr_7041ff092a907cc2ec8d7efb,NSCQ-AL-20260720-0010,AL,Vestavia Hills,CITY OF VESTAVIA HILLS,non_safety,wage_schedule_or_compensation_plan,6,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0487_sr_d73c9a81583ea67b229040c7.pdf,"2,4,6","1,3,5",,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":2491,""role_terms"":0,""wage_terms"":101}","{""column_lines"":185,""geometry_columns"":20,""geometry_rows"":5,""navigation_targets_evaluated"":0,""rendered_pages"":6,""row_like_lines"":200}",true,6,0.652500,1.000000,1.000000,0.000000,0.000000,0.616667,auto_gabriel_gate2_navigation_table_refine,no_candidate_detected|possible_printed_page_offset|insufficient_role_pay_columns,"{""aligned_numeric_columns"":42,""candidate_pages"":3,""compact_role_pay_lines"":10,""navigation_pages"":0,""nearby_pages"":3,""resolved_navigation_targets"":0,""role_pay_rows"":0,""unresolved_navigation_targets"":0}",1,resp_0090a3d763dc83fb006a650aea47a481908061852afb3371fa,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,yes,exact_table_page,step_grade,not_applicable,no,yes,moderate,extraction_ready_with_schema_update,high,WAGE_TABLE_STEPPED_GRADES|SALARY_SCHEDULE_HEADER|MULTI_FREQUENCY_PAY_COLUMNS|ROLE_CLASSIFICATION_IMPLIED_BY_GRADE_AND,Packet contains an Executive Salary Schedule with Grade/Step structure and repeated pay-rate entries across hourly/bi-weekly/semi-monthly/monthly/annually columns.,6,6000,20.945557,second_review_required,high,GATE2_INSUFFICIENT_ROLE_PAY_COLUMNS,"The bounded model judgment is positive, but Gate 2 direct role/pay-column evidence remains insufficient.",false
auto_adj_d38c3cf767f1e0519b67,adj_e44d755471cf49a42a26,cal_20f83d208f858a0cf99daad1,sr_0f22987e1039f88dbc9835c6,pr_44113f80a07022384f54a814,NSCQ-NC-20260720-0002,NC,Winston-Salem,CITY OF WINSTON-SALEM,fire,wage_schedule_or_compensation_plan,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0486_sr_0f22987e1039f88dbc9835c6.pdf,1,,,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":99,""role_terms"":8,""wage_terms"":1}","{""column_lines"":20,""geometry_columns"":2,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":1,""row_like_lines"":0}",true,1,0.800000,0.440000,1.000000,0.000000,0.000000,0.550000,auto_gabriel_gate2_navigation_table_refine,true_wage_table_evidence,"{""aligned_numeric_columns"":7,""candidate_pages"":1,""compact_role_pay_lines"":0,""navigation_pages"":0,""nearby_pages"":0,""resolved_navigation_targets"":0,""role_pay_rows"":7,""unresolved_navigation_targets"":0}",,resp_01728509549d72ec006a650aed22dc81969fc901f503940b48,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,yes,exact_table_page,classification_pay_table,not_applicable,no,not_applicable,moderate,extraction_ready,high,ROLE_GRADE_PAY_RANGES_TABLE|MIN_MIDPOINT_MAX_NUMERIC_COLUMNS,"Contains a structured job code/grade/job title matrix with numeric min/midpoint/max pay columns, indicating a classification-based wage schedule table.",1,979,23.433901,extraction_ready_high_confidence,high,GABRIEL_LOCAL_AGREE|ROW_COLUMN_EVIDENCE|PAGE_RELATIONSHIP_RESOLVED|GATE2_DIRECT_STRUCTURE_CONFIRMED,Schema-valid GABRIEL and strong local rendered/text geometry agree on a bounded wage-schedule page with resolved page identity.,true
auto_adj_beb21b20bc9523f24950,adj_9d9715e2e9b339b407c8,cal_211c78b8eb2cdd5520344d2c,sr_0c75170799891bb601b9aaa4,pr_74aa79cf66b5844ce19c3150,NSCQ-MN-20260720-0082,MN,North Mankato,CITY OF NORTH MANKATO,police,cba,20,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0440_sr_0c75170799891bb601b9aaa4.pdf,"7,9","6,8","1,2","{""benefit_terms"":10,""budget_terms"":0,""index_pages"":1,""numeric_tokens"":151,""role_terms"":32,""wage_terms"":22}","{""column_lines"":89,""geometry_columns"":7,""geometry_rows"":1,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":8}",true,5,0.615000,1.000000,1.000000,0.500000,1.000000,0.600000,auto_gabriel_gate2_navigation_table_refine,benefits_table|true_wage_table_evidence,"{""aligned_numeric_columns"":11,""candidate_pages"":2,""compact_role_pay_lines"":1,""navigation_pages"":2,""nearby_pages"":2,""resolved_navigation_targets"":0,""role_pay_rows"":11,""unresolved_navigation_targets"":0}",,resp_0be1ae318e0761b5006a650aefa250819091f6dfecf4dfd25e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,not_applicable,yes,no,not_extractable,exclude_for_now,high,NO_STRUCTURED_PAY_TABLE_EVIDENCE|PROSE_ONLY_PAY_RATE_MENTIONS|NO_ROLE_CLASS_GRADE_PAY_BANDS_DETECTED|CANDIDATE_PAGES_NOT_TABLE_LIKE,"Packet contains agreement prose (probation, overtime, vacation/benefit credits) with rate references but no structured role/classification-to-pay schedule table or repeated role-pay lines.",6,6000,26.873279,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_097485146f8d0ebcc38f,adj_2c58225b56b2be6c3812,cal_2cc9c8211edf7dc1fc8bbd7c,sr_16863b05cf84ae11399f869d,pr_9b324528ec6c24d540b83cc1,NSCQ-MI-20260720-0160,MI,Grosse Pointe Woods,CITY OF GROSSE POINTE WOODS,police,memorandum_or_settlement,3,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0469_sr_16863b05cf84ae11399f869d.pdf,"1,2",3,,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":43,""role_terms"":10,""wage_terms"":14}","{""column_lines"":0,""geometry_columns"":3,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":3,""row_like_lines"":8}",true,3,0.396000,1.000000,1.000000,0.000000,0.360000,0.350000,auto_gabriel_gate2_navigation_table_refine,true_wage_table_evidence,"{""aligned_numeric_columns"":7,""candidate_pages"":2,""compact_role_pay_lines"":6,""navigation_pages"":0,""nearby_pages"":1,""resolved_navigation_targets"":0,""role_pay_rows"":8,""unresolved_navigation_targets"":0}",,resp_0081129ca8571768006a650af3145c819084e4e8a2a276b1c3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,memorandum_without_table,no,no,not_extractable,exclude_for_now,high,NO_TABLE_STRUCTURE|ROLE_PAY_DESCRIBED_AS_PROSE|NO_PAY_BANDS_OR_CLASSIFICATION_MATRIX|CANDIDATE_PAGES_HAVE_LUMP_SUM_AND_HOURLY,"Packet contains memoranda/prose describing on-call handler pay multipliers and lump sum, but no structured pay schedule table with roles/classifications mapped to pay bands/rates.",3,2750,29.245087,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
