document_identity_id,candidate_queue_row_id,source_review_id,verification_id,retrieval_date,retrieval_method,source_type,source_corpus,source_cite,artifact_pointer,retrieval_bridge_status,retrieval_support_fields,source_corpus_bridge_status
doc_0024bda1e1f67c8f7d82669e,NSCQ-OH-20260720-0127,sr_2e6b140569db57018f2b22f0,VER-3e12358a0034cae93f99,2026-07-24,public_download,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-03-0267.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0344_sr_2e6b140569db57018f2b22f0.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_00a5e237175d41f61fb0fe40,NSCQ-NE-20260720-0028,sr_c98e0a0b1ee43b114fbab537,VER-8346ffc460dc1ea3b1c3,2026-07-24,public_download,cba,causal,https://www.beatrice.ne.gov/media/hycf5ylr/firefighters_union_local_no_1098_contract_-_2021-2027.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0058_sr_c98e0a0b1ee43b114fbab537.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_00acf134cd4257ec3d0ac58c,NSCQ-OH-20260720-0138,sr_17a5350f3924d1b470489a74,VER-9ce7a7200fb1f80879ba,2026-07-24,public_download,cba,causal,https://www.tallmadgeoh.gov/DocumentCenter/View/3002/2021-124Exhibit-A?bidId=,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0354_sr_17a5350f3924d1b470489a74.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_00b636f73a6d528a99e81753,NSCQ-MI-20260720-0005,sr_748b2fa6d4d5d1b7257f8bf0,VER-da5a3928a12011077d53,2026-07-24,public_download,cba,causal,https://archive.lib.msu.edu/LIR/contracts/c10171.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0419_sr_748b2fa6d4d5d1b7257f8bf0.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_00be60d682965c00bfcd91bb,NSCQ-MI-20260720-0070,sr_2f9ea99f1c1cd9c14c1ab60a,VER-38ca0890ebdf4668ee5d,2026-07-24,public_download,cba,causal,https://www.saginaw-mi.com/DocumentCenter/View/93/POAM-CONTRACT-2022-2026,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0005_sr_2f9ea99f1c1cd9c14c1ab60a.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_00f189ad9659a24159a223b5,NSCQ-FL-20260720-0112,sr_3283b5fca0e170f8265f266b,VER-6e9063ad95d6c4d1f5c2,2026-07-24,public_download,cba,causal,https://www.cityofpensacola.com/DocumentCenter/View/26407/International-Association-of-Firefighters-2023-2026-PDF,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0216_sr_3283b5fca0e170f8265f266b.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_00fac5f0ec5ee8b4b524ff51,NSCQ-CA-20260720-0163,sr_a93a370b9390b595fd275bbc,VER-86d23bbdad2931177e85,2026-07-24,public_download,cba,causal,https://www.cityofventura.ca.gov/DocumentCenter/View/36750/General-Unit-SEIU-MOU?bidId=,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0202_sr_a93a370b9390b595fd275bbc.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_013e9c1d707e0c73beef1965,NSCQ-CA-20260720-0588,sr_2cf1d0ad88274250fa37ecb8,VER-272cbeb950fd28bb7daf,2026-07-24,public_download,cba,causal,https://moorparkca.gov/DocumentCenter/View/15558/MOU-with-SEIU-721-2023-2025?bidId=,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0261_sr_2cf1d0ad88274250fa37ecb8.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0147d87fff81eb085fe3a2f4,NSCQ-WA-20260720-0004,sr_f6d57677ac22a68ec4a33f5f,VER-16b021b3c5f8a5a71311,2026-07-24,public_download,cba,causal,https://static.spokanecity.org/documents/news/2021/02/12/city-police-guild-reach-tentative-agreement/ta-2017-2021-guild-contract.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0087_sr_f6d57677ac22a68ec4a33f5f.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_019a03c8d3744a366ff9f74f,NSCQ-WA-20260720-0063,sr_0b904e5470f2638c85621656,VER-df3e34f8f9f76c980431,2026-07-24,public_download,cba,causal,https://www.redmond.gov/DocumentCenter/View/35489/2025-2027-Redmond-Law-Enforcement-Officers-CBA?bidId=,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0393_sr_0b904e5470f2638c85621656.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
