span_extraction_id,rating_queue_id,rating_lane_id,rating_input_sha256,rating_input_char_count,span_status,dry_preparation_status,model_api_calls
CBSPAN-20260728-192582654e89d5cfacb5c654,CBRATQ-20260728-f049d0a1628c6f4cd03ac2e9,rating_lane_001,2c9f78966c02ba70ba9e1f92dd7b401965f5570a23330324653df9d336f911de,1302,span_extracted,prepared_no_call,0
CBSPAN-20260728-70cec8375d4e79fcac32613f,CBRATQ-20260728-4d58593bd8de983f6cadaa32,rating_lane_001,458bd05297b5a4a9514bbdec10eadde7d9893d6eee9a316d1636d3fdf50318de,1272,span_extracted,prepared_no_call,0
CBSPAN-20260728-481ae1b2457427401d87ba77,CBRATQ-20260728-496d285963f961a71d5105cf,rating_lane_001,99d4c65f0d7fa5030b9c4f8e2a5fc4b0aa40ec1e412d4922c21f4b2b1168db7d,1275,span_extracted,prepared_no_call,0
CBSPAN-20260728-284d90c482ced0f472fae806,CBRATQ-20260728-51647b61ef98f96ea0a04e9f,rating_lane_001,021bc9ff3a57ea0ab4715301d925e6e713d95de901c1e332d613e4eefa5afa5a,1267,span_extracted,prepared_no_call,0
CBSPAN-20260728-87061bb8cc3938d999e0b6f7,CBRATQ-20260728-b3b66bd65affbcc8e8f9052f,rating_lane_001,eb615f249fb1663940cf5779d19219d6edb18610561e526f93d9034cc4b65602,1370,span_extracted,prepared_no_call,0
CBSPAN-20260728-4e63d727ac1e330f43b103c9,CBRATQ-20260728-eeb3960a6f680fda0e36c085,rating_lane_001,35f0390c031668a0579a5809f7b31049f94a5e0ac1f6b527f678f540dc3667fb,1405,span_extracted,prepared_no_call,0
CBSPAN-20260728-8a3e4d6a8971664f5999fff8,CBRATQ-20260728-ae01fc039e873a594ed9d95c,rating_lane_001,6a55358005dd0afa1e71bec157844cd143c6f18b0a4c194b5a0d0ea1999841b0,1366,span_extracted,prepared_no_call,0
CBSPAN-20260728-2f7152d671bbf453a9291d58,CBRATQ-20260728-469dee35229fc25c37d4da50,rating_lane_001,dc52c2a4bf71464a0873917dd674403c5865cca5a7c9cc45cc2da86a73797d76,1355,span_extracted,prepared_no_call,0
CBSPAN-20260728-4665e43d4ac46226e07f25b0,CBRATQ-20260728-e2dcd44b0276d7ffc4ec78ee,rating_lane_001,acd4abd8aa5001756bfea4bef0b31273be63c99e3a0b687ef0da03c4e0c3c99e,1331,span_extracted,prepared_no_call,0
CBSPAN-20260728-fd172be317b8a9588406ed51,CBRATQ-20260728-2d6cef3a4d7e015531aa7651,rating_lane_001,4056b4fb70ef113d2cf648affc3f6c98968602c17be023a046080963f8335911,1323,span_extracted,prepared_no_call,0
CBSPAN-20260728-58463383b52679ae09111a28,CBRATQ-20260728-b0cfdf16e79f8407cd1256f5,rating_lane_001,d95fcdcb3ee118d12526bf76459a39b99726243f4dbbdfbe5361dfbd991aec78,1367,span_extracted,prepared_no_call,0
CBSPAN-20260728-9f18afdb0b178030db2624fc,CBRATQ-20260728-794646f9d8f5baa214e10cf7,rating_lane_001,adbfe3e4ac844a4f8215c42f84670a13b973ee457f7d6b980d41719730343998,1379,span_extracted,prepared_no_call,0
CBSPAN-20260728-7093419ef33217a5092a351c,CBRATQ-20260728-48badad8f783b57e0b2e66db,rating_lane_001,6dcf200b1eeddccb7d07b9eccb88067b6af70fd5be0ff32f6dafd48ba6464284,1327,span_extracted,prepared_no_call,0
CBSPAN-20260728-9094490b918c5560155037bf,CBRATQ-20260728-5d1f7f07afa2408c8f437894,rating_lane_001,e042596b966ab789a20b7caeb8fe0243070ddb635b4165f1d4f33251c71ba224,1334,span_extracted,prepared_no_call,0
