source_family_hint,valid_rating_count,evidence_strength_counts,claim_relevance_counts
agenda_packet_or_minutes,1245,"{""moderate"": 191, ""not_supported"": 142, ""strong"": 414, ""weak"": 498}","{""context_only"": 393, ""direct_text_claim"": 141, ""documentary_mechanism_claim"": 77, ""not_claim_ready"": 83, ""quantitative_compensation_claim"": 544, ""source_navigation_claim"": 7}"
arbitration_award,853,"{""moderate"": 181, ""not_supported"": 112, ""strong"": 199, ""weak"": 361}","{""context_only"": 294, ""direct_text_claim"": 119, ""documentary_mechanism_claim"": 83, ""not_claim_ready"": 73, ""quantitative_compensation_claim"": 282, ""source_navigation_claim"": 2}"
budget_or_pay_plan,2184,"{""moderate"": 427, ""not_supported"": 339, ""strong"": 555, ""weak"": 863}","{""context_only"": 825, ""direct_text_claim"": 287, ""documentary_mechanism_claim"": 154, ""not_claim_ready"": 168, ""quantitative_compensation_claim"": 719, ""source_navigation_claim"": 31}"
cba,4098,"{""moderate"": 817, ""not_supported"": 518, ""strong"": 1161, ""weak"": 1602}","{""context_only"": 1388, ""direct_text_claim"": 570, ""documentary_mechanism_claim"": 391, ""not_claim_ready"": 295, ""quantitative_compensation_claim"": 1412, ""source_navigation_claim"": 42}"
cba_or_arbitration_award_or_factfinding_or_impasse_record,513,"{""moderate"": 80, ""not_supported"": 70, ""strong"": 144, ""weak"": 219}","{""context_only"": 191, ""direct_text_claim"": 65, ""documentary_mechanism_claim"": 50, ""not_claim_ready"": 43, ""quantitative_compensation_claim"": 162, ""source_navigation_claim"": 2}"
cba_or_budget_pay_plan_with_explicit_compensation_mechanism,847,"{""moderate"": 145, ""not_supported"": 168, ""strong"": 217, ""weak"": 317}","{""context_only"": 322, ""direct_text_claim"": 104, ""documentary_mechanism_claim"": 55, ""not_claim_ready"": 82, ""quantitative_compensation_claim"": 284}"
cba_or_compensation_study_or_classification_study_or_wage_schedule,1310,"{""moderate"": 227, ""not_supported"": 208, ""strong"": 378, ""weak"": 497}","{""context_only"": 454, ""direct_text_claim"": 150, ""documentary_mechanism_claim"": 148, ""not_claim_ready"": 121, ""quantitative_compensation_claim"": 423, ""source_navigation_claim"": 14}"
civil_service_or_hr_pay_plan,210,"{""moderate"": 45, ""not_supported"": 35, ""strong"": 46, ""weak"": 84}","{""context_only"": 73, ""direct_text_claim"": 25, ""documentary_mechanism_claim"": 20, ""not_claim_ready"": 19, ""quantitative_compensation_claim"": 72, ""source_navigation_claim"": 1}"
classification_study,139,"{""moderate"": 27, ""not_supported"": 12, ""strong"": 27, ""weak"": 73}","{""context_only"": 66, ""direct_text_claim"": 15, ""documentary_mechanism_claim"": 16, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 39, ""source_navigation_claim"": 1}"
collective_bargaining_agreement_or_moa_or_wage_schedule,583,"{""moderate"": 117, ""not_supported"": 56, ""strong"": 181, ""weak"": 229}","{""context_only"": 206, ""direct_text_claim"": 78, ""documentary_mechanism_claim"": 45, ""not_claim_ready"": 32, ""quantitative_compensation_claim"": 218, ""source_navigation_claim"": 4}"
compensation_study,298,"{""moderate"": 52, ""not_supported"": 41, ""strong"": 54, ""weak"": 151}","{""context_only"": 135, ""direct_text_claim"": 32, ""documentary_mechanism_claim"": 35, ""not_claim_ready"": 15, ""quantitative_compensation_claim"": 80, ""source_navigation_claim"": 1}"
factfinding_report,65,"{""moderate"": 13, ""not_supported"": 10, ""strong"": 21, ""weak"": 21}","{""context_only"": 14, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 11, ""quantitative_compensation_claim"": 26}"
mou_or_memorandum,1034,"{""moderate"": 207, ""not_supported"": 95, ""strong"": 322, ""weak"": 410}","{""context_only"": 338, ""direct_text_claim"": 144, ""documentary_mechanism_claim"": 58, ""not_claim_ready"": 56, ""provisional_causal_candidate"": 1, ""quantitative_compensation_claim"": 434, ""source_navigation_claim"": 3}"
other_local_government_pay_policy,498,"{""moderate"": 94, ""not_supported"": 47, ""strong"": 179, ""weak"": 178}","{""context_only"": 137, ""direct_text_claim"": 77, ""documentary_mechanism_claim"": 32, ""not_claim_ready"": 31, ""quantitative_compensation_claim"": 220, ""source_navigation_claim"": 1}"
personnel_policy,201,"{""moderate"": 34, ""not_supported"": 16, ""strong"": 45, ""weak"": 106}","{""context_only"": 82, ""direct_text_claim"": 29, ""documentary_mechanism_claim"": 21, ""not_claim_ready"": 14, ""quantitative_compensation_claim"": 54, ""source_navigation_claim"": 1}"
salary_ordinance,217,"{""moderate"": 49, ""not_supported"": 14, ""strong"": 70, ""weak"": 84}","{""context_only"": 63, ""direct_text_claim"": 32, ""documentary_mechanism_claim"": 16, ""not_claim_ready"": 14, ""quantitative_compensation_claim"": 91, ""source_navigation_claim"": 1}"
unknown_or_needs_review,159,"{""moderate"": 20, ""not_supported"": 30, ""strong"": 38, ""weak"": 71}","{""context_only"": 79, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 9, ""not_claim_ready"": 16, ""quantitative_compensation_claim"": 44, ""source_navigation_claim"": 1}"
wage_schedule,2493,"{""moderate"": 448, ""not_supported"": 286, ""strong"": 782, ""weak"": 977}","{""context_only"": 765, ""direct_text_claim"": 346, ""documentary_mechanism_claim"": 157, ""not_claim_ready"": 187, ""quantitative_compensation_claim"": 1004, ""source_navigation_claim"": 34}"
