span_rating_id,source_rating_id,span_id,retained_source_id,candidate_id,municipality,state,region,source_family,evidence_category,evidence_family,claim_readiness_bucket,downstream_use_bucket,side_relevance_rating,comparison_potential_rating,page_number,span_sha256,bounded_snippet_reference,source_locator_lineage
BRMGRT-20260802-08cf2e6af4fda8e2024b5e61,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-0d9f6f8bab842a361f583775,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,e1c300c18c6bdc682e89bd50146a4fff18ab02be31e5d340003c4f928fbe227a,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0d9f6f8bab842a361f583775,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-7c5524d24cdd18d1833119de,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-2156ddc9ae33ee55937ca5be,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,quant_allowance_or_reimbursement,quantitative_compensation,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,bed0e1eca5f9144a67a33148f51bdc96fcd3b33ca6570822bb91a5ae30b2a229,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2156ddc9ae33ee55937ca5be,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-48fd6105807ce57fea6c09e2,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-3439a13f281b8605f98e22e2,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,bbf084de3c29a8bafd5b187522ae9c351047139026044094ba5b7cfbe4a02b64,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-3439a13f281b8605f98e22e2,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-f963db1886b10f97c99ce6fc,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-3498332bcec9c791acd5943e,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,quant_longevity_or_service_pay,quantitative_compensation,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,0fc8caa3f2bc219a0dcbc8294ccc2232f0cb8c78a35b6702c4362d5e950effe6,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-3498332bcec9c791acd5943e,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-5c46d7b69f6e48fcf62b7ba0,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-3f7b27530142af176cf49427,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,918bc2a930789d79c7754ecffc41c812cbc96a014d344b1bc602591e5dc5da09,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-3f7b27530142af176cf49427,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-0c4471d66fd61a8d605e226f,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-6ea3b2b5959b4c5606fd2dc5,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,0fc8caa3f2bc219a0dcbc8294ccc2232f0cb8c78a35b6702c4362d5e950effe6,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-6ea3b2b5959b4c5606fd2dc5,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-d45efa4fc99f4619857c586a,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-835ac87ccd7bdbcb0719ec8f,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,quant_allowance_or_reimbursement,quantitative_compensation,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,918bc2a930789d79c7754ecffc41c812cbc96a014d344b1bc602591e5dc5da09,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-835ac87ccd7bdbcb0719ec8f,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-e9c82cd99a09bfb32b600e10,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-9bd9f75b8eae5c28128a41ef,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,quant_allowance_or_reimbursement,quantitative_compensation,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,8c73c21529779c397c680728ea180f16a2f6c0549cb967abf2d423aa5c9335ef,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-9bd9f75b8eae5c28128a41ef,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-e1968c00454647bbe4a0dc60,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-a548cbc6c8e415de3e8a30f9,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,quant_overtime_or_holiday_rate,quantitative_compensation,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,52e6444f12cd5a0b02cce637348e00e90452d03c19fc87e11f8c69701ea6b520,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-a548cbc6c8e415de3e8a30f9,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
BRMGRT-20260802-bb16c41f3c7d34e7825cd1aa,BRMGRS-20260802-79baa8d2a35fd2ba8f7086ee,BRMSPAN-20260802-af51ffe16f25bcf1e75f0630,RMSRD-20260802-b410aa1534004d474cc3,BRM5C-BRM5-20260731-16228-01,Warren,MI,Midwest,cba,qual_non_base_compensation_mechanism,qualitative_mechanism,source_navigation_or_reference_only,exclude_or_write_off,not_applicable,none,,52e6444f12cd5a0b02cce637348e00e90452d03c19fc87e11f8c69701ea6b520,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-af51ffe16f25bcf1e75f0630,"{""candidate_id"": ""BRM5C-BRM5-20260731-16228-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c8902.pdf"", ""scout_target_id"": ""BRM5-20260731-16228""}"
