verification_row_id,verification_lane_id,verification_lane_sequence,candidate_id,scout_candidate_id,scout_target_id,lane_id,shard_id,worker_id,state,region,municipality,county,unit_type_hint,occupation_group_hint,possible_bargaining_unit,possible_cycle_or_year,source_title,source_locator_or_url,source_domain,normalized_locator,canonical_review_locator,canonical_locator_before_verification,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,sanitized_snippet,search_query_family,broad_geographic_target_reason,source_family_diversification_reason,matched_safety_non_safety_opportunity_flag,candidate_quality_tier,discovery_run_id,lane_completed_at,review_score,review_score_reasons,primary_bucket,priority_bucket,prior_duplicate_source,cba_non_cba_hint,review_method,verification_status,http_status_code,final_url_or_locator,final_canonical_locator,redirect_count,content_type,content_length_header,verification_method,verification_attempt_count,verification_started_at,verification_completed_at,error_class,error_message_redacted,pre_duplicate_verification_status,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,review_candidate_id,target_id,municipality_id,original_locator_or_url,source_family_query_family,mechanism_source_family_hints,review_rationale,review_confidence,duplicate_suppression_status,candidate_review_lane_id,live_scout_lane_id,lineage,duplicate_of_verification_id
RMV-20260801-03125,verification_lane_005,1,BRM5C-BRM5-20260731-07567-02,BRM5C-BRM5-20260731-07567-02,BRM5-20260731-07567,scout_lane_003,,,IA,Midwest,Stanhope,Hamilton County (19079; primary),police,police,,unclear,"Police Board Minutes — January 4, 2024",https://www.stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,stanhopeiowa.com,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,https://stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,agenda_packet_or_minutes,meeting_minutes,high,,Potential wage-setting/raise language for sworn police roles that could help locate the underlying binding personnel pay policy or agreement.,personnel_policy,,,,medium_candidate,,,3.62,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-07567-02,BRM5-20260731-07567,cog_2025_164412,https://www.stanhopeiowa.com/documents/487/EJS_Police_Board_1-2024.pdf,personnel_policy,,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_001,scout_lane_003,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-07567,
RMV-20260801-03126,verification_lane_005,2,BRM5C-BRM5-20260731-03831-03,BRM5C-BRM5-20260731-03831-03,BRM5-20260731-03831,scout_lane_002,,,IA,Midwest,Webb,Clay County (19041; primary),unclear,unclear,,unclear,"2013 Code of Ordinances (PDF) - City of Webb, Iowa (compensation authority text)",https://cityofwebb.com/wp-content/uploads/2017/08/Webb-City-Code-of-Ordinances.pdf,cityofwebb.com,https://cityofwebb.com/wp-content/uploads/2017/08/Webb-City-Code-of-Ordinances.pdf,https://cityofwebb.com/wp-content/uploads/2017/08/Webb-City-Code-of-Ordinances.pdf,https://cityofwebb.com/wp-content/uploads/2017/08/Webb-City-Code-of-Ordinances.pdf,agenda_packet_or_minutes,ordinance_or_policy,high,non_safety_constraint_signal,"Provides evidence of municipal mechanism for compensation-setting, which can help target where labor pay terms might appear elsewhere (resolutions/minutes).",agenda_minutes_packet,,,,medium_candidate,,,3.31,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-03831-03,BRM5-20260731-03831,cog_2025_164342,https://cityofwebb.com/wp-content/uploads/2017/08/Webb-City-Code-of-Ordinances.pdf,agenda_minutes_packet,non_safety_constraint_signal,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_004,scout_lane_002,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03831,
RMV-20260801-03127,verification_lane_005,3,BRM5C-BRM5-20260731-11240-01,BRM5C-BRM5-20260731-11240-01,BRM5-20260731-11240,scout_lane_004,,,IA,Midwest,Corwith,Hancock County (19081; primary),non_safety,non_safety,,unclear,Corwith City Council Minutes 4.8.25 (contains clerk pay motion),https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,garnerleader.com,https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,Provides a city-level civilian pay rate (City Clerk) suitable as wage/salary-setting reference material for non-safety municipal employment; no police/fire CBA evidence found for Corwith IA.,wage_salary_schedule,,,,low_candidate,,,3.42,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-11240-01,BRM5-20260731-11240,cog_2025_204470,https://garnerleader.com/sites/default/files/Leader%20Legals.pdf,wage_salary_schedule,non_safety_constraint_signal,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_004,scout_lane_004,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11240,
RMV-20260801-03128,verification_lane_005,4,BRM5C-BRM5-20260731-15050-01,BRM5C-BRM5-20260731-15050-01,BRM5-20260731-15050,scout_lane_005,,,IA,Midwest,Volga,Clayton County (19043; primary),non_safety,non_safety,,unclear,"Volga City Council Meeting minutes (mentions Resolution 2026-09: salaries for employees for wages paid starting July 1, 2026)",https://www.kctn.com/post/minutes-posted-from-the-march-9th-volga-city-council-meeting,kctn.com,https://kctn.com/post/minutes-posted-from-the-march-9th-volga-city-council-meeting,https://kctn.com/post/minutes-posted-from-the-march-9th-volga-city-council-meeting,https://kctn.com/post/minutes-posted-from-the-march-9th-volga-city-council-meeting,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal,"Appears to be the city’s annual wage/salary-setting action for ordinary municipal employees (non-safety), but the actual wage ordinance/resolution attachment is not shown here.",salary_pay_ordinance,,,,medium_candidate,,,3.46,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-15050-01,BRM5-20260731-15050,cog_2025_185383,https://www.kctn.com/post/minutes-posted-from-the-march-9th-volga-city-council-meeting,salary_pay_ordinance,non_safety_constraint_signal,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_002,scout_lane_005,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_005:BRM5-20260731-15050,
RMV-20260801-03129,verification_lane_005,5,BRM5C-BRM5-20260731-15117-03,BRM5C-BRM5-20260731-15117-03,BRM5-20260731-15117,scout_lane_005,,,IL,Midwest,Byron,Ogle County (17141; primary),non_safety,non_safety,,2025-2026 (FY 25-26; wage-rate operative document not included),Byron City Council Regular Meeting Agenda (Item: Approval of FY 25-26 Non-Union Wages),https://www.cityofbyron.com/AgendaCenter/ViewFile/ArchivedAgenda/_04162025-19,cityofbyron.com,https://cityofbyron.com/AgendaCenter/ViewFile/ArchivedAgenda/_04162025-19,https://cityofbyron.com/AgendaCenter/ViewFile/ArchivedAgenda/_04162025-19,https://cityofbyron.com/AgendaCenter/ViewFile/ArchivedAgenda/_04162025-19,agenda_packet_or_minutes,agenda_cover_sheet,high,,Provides supporting context that the council approved non-union wage changes for FY 25-26; may help locate the missing operative wage calculation document.,local_pay_policy_payroll,,,,low_candidate,,,3.0,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-15117-03,BRM5-20260731-15117,cog_2025_163212,https://www.cityofbyron.com/AgendaCenter/ViewFile/ArchivedAgenda/_04162025-19,local_pay_policy_payroll,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_001,scout_lane_005,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_005:BRM5-20260731-15117,
RMV-20260801-03130,verification_lane_005,6,BRM5C-BRM5-20260731-11270-01,BRM5C-BRM5-20260731-11270-01,BRM5-20260731-11270,scout_lane_004,,,IA,Midwest,Maurice,Sioux County (19167; primary),non_safety,non_safety,,unclear,"City Council Minutes — June 16, 2026 (Council Proceedings)",https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,cityofmaurice.com,https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,agenda_packet_or_minutes,meeting_minutes,high,strike_or_no_strike_constraint;non_safety_constraint_signal,May evidence an adopted/current civilian wage rate-setting action by the city council for an ordinary (non-safety) municipal role.,agenda_minutes_packet,,,,medium_candidate,,,3.62,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-11270-01,BRM5-20260731-11270,cog_2025_164567,https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,agenda_minutes_packet,strike_or_no_strike_constraint;non_safety_constraint_signal,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_003,scout_lane_004,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11270,
RMV-20260801-03131,verification_lane_005,7,BRM5C-BRM5-20260731-07618-01,BRM5C-BRM5-20260731-07618-01,BRM5-20260731-07618,scout_lane_003,,,IL,Midwest,Brimfield,Peoria County (17143; primary),non_safety,non_safety,,unclear (snippet shows recommendations/increases for fiscal year 2024-2025; no CBA/MOA/award text),"Village of Brimfield Board of Trustees Minutes (June 10, 2024) — employee compensation for 2024-2025 fiscal year",https://www.brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,brimfieldil.org,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,https://brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,agenda_packet_or_minutes,meeting_minutes,high,strike_or_no_strike_constraint;non_safety_constraint_signal;fiscal_constraint_signal,Provides municipally documented wage/compensation adjustments for non-safety employees (ordinary municipal/civilian context).,arbitration_factfinding_labor_relations,,,,low_candidate,,,4.0,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,cba_arbitration_factfinding_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-07618-01,BRM5-20260731-07618,cog_2025_162565,https://www.brimfieldil.org/_files/ugd/fd1b95_0879ee0d60654b3090ce7ed2bfdccef7.pdf,arbitration_factfinding_labor_relations,strike_or_no_strike_constraint;non_safety_constraint_signal;fiscal_constraint_signal,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_001,scout_lane_003,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-07618,
RMV-20260801-03132,verification_lane_005,8,BRM5C-BRM5-20260731-03915-01,BRM5C-BRM5-20260731-03915-01,BRM5-20260731-03915,scout_lane_002,,,IL,Midwest,Colfax,McLean County (17113; primary),police,police,,unclear,JULY 2026 AGENDA (Village of Colfax Board of Trustees Meeting) — Colfax Police Dept section,https://colfaxillinois.com/news/view?id=387,colfaxillinois.com,https://colfaxillinois.com/news/view,https://colfaxillinois.com/news/view,https://colfaxillinois.com/news/view,agenda_packet_or_minutes,agenda_cover_sheet,high,,"Municipal agenda packet context may reference police compensation/hiring/pay decisions, which can lead to labor-source documents.",agenda_minutes_packet,,,,medium_candidate,,,3.15,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-03915-01,BRM5-20260731-03915,cog_2025_162487,https://colfaxillinois.com/news/view?id=387,agenda_minutes_packet,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_004,scout_lane_002,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03915,
RMV-20260801-03133,verification_lane_005,9,BRM5C-BRM5-20260731-15357-02,BRM5C-BRM5-20260731-15357-02,BRM5-20260731-15357,scout_lane_005,,,IL,Midwest,Olney,Richland County (17159; primary),fire,fire,unknown,2021-2022 context (council packet dated 2021-12-13; specific wage effective dates not shown in inspected excerpt),City of Olney Council packet summary referencing Ordinance 2021-30 (Paid-on-Call Firefighters / Part-Time Employees / Summer Recreation Employees),https://cms2.revize.com/revize/olneynew/cc%20Dec%2013%202021.pdf,cms2.revize.com,https://cms2.revize.com/revize/olneynew/cc%20Dec%2013%202021.pdf,https://cms2.revize.com/revize/olneynew/cc%20Dec%2013%202021.pdf,https://cms2.revize.com/revize/olneynew/cc%20Dec%2013%202021.pdf,agenda_packet_or_minutes,agenda_cover_sheet,high,,Indicates the City adopted wage rates for paid-on-call firefighters and other non-bargaining categories via an ordinance; may provide non-CBA wage-setting context for safety-adjacent compensation mechanisms.,local_pay_policy_payroll,,,,low_candidate,,,3.38,direct_municipal_compensation_or_labor_document_signal,high_priority_verification_ready,high_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-15357-02,BRM5-20260731-15357,cog_2025_163256,https://cms2.revize.com/revize/olneynew/cc%20Dec%2013%202021.pdf,local_pay_policy_payroll,,Direct municipal compensation or labor document signal.,4,unique_for_review,candidate_review_lane_001,scout_lane_005,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_005:BRM5-20260731-15357,
RMV-20260801-03134,verification_lane_005,10,BRM5C-BRM5-20260731-11510-02,BRM5C-BRM5-20260731-11510-02,BRM5-20260731-11510,scout_lane_004,,,IL,Midwest,Kendall,Kendall County (17093; primary),police,police,Illinois Fraternal Order of Police (FOP) Labor Council,"December 1, 2023 through November 30, 2027 (operative duration stated in agenda briefing background text; attachment not verified here)",Agenda brief page describing ratification of Collective Bargaining Agreement — Patrol Deputies (FOP Labor Council),https://www.kendallcountyil.gov/home/showpublisheddocument/30725/638563777386470000,kendallcountyil.gov,https://kendallcountyil.gov/home/showpublisheddocument/30725/638563777386470000,https://kendallcountyil.gov/home/showpublisheddocument/30725/638563777386470000,https://kendallcountyil.gov/home/showpublisheddocument/30725/638563777386470000,agenda_packet_or_minutes,agenda_cover_sheet,high,,Potential police (sworn) wage-setter comparator source family for Kendall County labor history (Patrol Deputies).,agenda_minutes_packet,,,,medium_candidate,,,3.38,plausible_municipal_compensation_source_with_moderate_specificity,medium_priority_verification_ready,medium_priority_verification_ready,,non_cba_or_unresolved_hint,local_metadata_title_locator_snippet_hints_only,verification_not_run,,,,,,,HEAD,0,,,,,,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,,BRM5C-BRM5-20260731-11510-02,BRM5-20260731-11510,cog_2025_185080,https://www.kendallcountyil.gov/home/showpublisheddocument/30725/638563777386470000,agenda_minutes_packet,,Plausible municipal compensation source with moderate specificity.,4,unique_for_review,candidate_review_lane_004,scout_lane_004,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11510,
