document_identity_id,candidate_queue_row_id,unit_type,controlled_occupation_class,occupation_class_bridge_status,occupation_support_fields,residual_occupation_bridge_status,residual_occupation_support_fields,residual_occupation_evidence_token,residual_occupation_evidence_sha256
doc_0024bda1e1f67c8f7d82669e,NSCQ-OH-20260720-0127,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_00a5e237175d41f61fb0fe40,NSCQ-NE-20260720-0028,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_00acf134cd4257ec3d0ac58c,NSCQ-OH-20260720-0138,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_00b636f73a6d528a99e81753,NSCQ-MI-20260720-0005,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_00be60d682965c00bfcd91bb,NSCQ-MI-20260720-0070,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_00f189ad9659a24159a223b5,NSCQ-FL-20260720-0112,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_00fac5f0ec5ee8b4b524ff51,NSCQ-CA-20260720-0163,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_013e9c1d707e0c73beef1965,NSCQ-CA-20260720-0588,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0147d87fff81eb085fe3a2f4,NSCQ-WA-20260720-0004,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_019a03c8d3744a366ff9f74f,NSCQ-WA-20260720-0063,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_01b2528720ce9606b96bb571,NSCQ-CA-20260720-0309,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_01c1ce0d9bc4370e282e7277,NSCQ-MI-20260720-0080,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_01f15067dc9af7378e09749b,NSCQ-OH-20260720-0467,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0204ad65859ef7655f0afd53,NSCQ-AK-20260720-0017,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_021eacc134544dddd03eb53c,NSCQ-OH-20260720-0132,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_022928c6f0d8277e9cbe0e3e,NSCQ-CA-20260720-0267,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0244767252df4273d6a4366b,NSCQ-OH-20260720-0240,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0264a120be1bb93d010753a7,NSCQ-CA-20260720-0042,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_026927b3d41346fa915e3ba4,NSCQ-IL-20260720-0219,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_02a95f05841194513f8d7a7c,NSCQ-CA-20260720-0429,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.document_title|candidate_queue.union_name,General employee|Municipal Employees,86aecae039a0fd989f2bebb53f223b21dcf07f751d7d9fb3cf225fa3cc7762c2
doc_02b2fa3c25b8c8961594b650,NSCQ-MT-20260720-0025,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_02c0c9cf75873b9720b83cb8,NSCQ-MA-20260720-0158,non_safety,library,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_02cec9f0111f5a978cc48ab1,NSCQ-PA-20260720-0009,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
