fixture_id,failure_mode,lane,expected_result
FX001,ambiguous_span,qualitative_span,must_remain_navigation_only
FX002,unavailable_span,qualitative_span,must_remain_navigation_only
FX003,no_text_layer,pdf_guard,no_ocr_fallback
FX004,multiple_identical_spans,qualitative_span,reject_unresolved_ambiguity
FX005,forbidden_page_access,pdf_guard,fail_closed
FX006,ocr_later_attempted_access,pdf_guard,fail_closed
FX007,wrong_content_hash,provenance,fail_closed
FX008,missing_retained_pdf_path,provenance,fail_closed_or_quarantine
FX009,full_page_text_leakage,privacy_storage,fail_closed
FX010,duplicate_qualitative_observation_id,identity,fail_closed
FX011,span_hash_offset_corruption,qualitative_span,fail_closed
FX012,duplicate_non_base_lineage_header,non_base,position_parse_and_assert_agreement
FX013,embedded_newline_csv_record,csv_integrity,quoted_round_trip_only
FX014,mixed_historical_join,mixed,never_treat_as_active
FX015,non_base_wage_misroute,lane_separation,reject_from_base_outcome
FX016,quantitative_range,quantitative,quarantine_no_scalar_coercion
FX017,quantitative_formula_pair_multiplier_hours,quantitative,quarantine_no_scalar_coercion
FX018,missing_cycle,cycle_matching,quarantine
FX019,conflicting_cycle,cycle_matching,quarantine
FX020,missing_occupation,occupation,quarantine
FX021,conflicting_occupation,occupation,quarantine
FX022,dashboard_false_readiness,dashboard,fail_closed
FX023,relay_missing_inspection_fields,relay,fail_closed
FX024,future_prompt_missing_hard_constraints,future_prompt,fail_closed
FX025,stage_attempts_phase_jump,stage_contract,fail_closed
FX026,partial_checkpoint_claims_complete,checkpoint,fail_closed
FX027,carried_file_hash_drift,immutability,fail_closed
