blocker_id,lane,source_file,row_count,affected_observation_ids_or_grouped_count,severity,deterministic_repair_possible,repair_attempted,repair_result,residual_status,next_action,downstream_impact,blocks_global_readiness,blocks_limited_readiness_only,quarantined
BLK-QS-001,qualitative_span,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-QUALITATIVE-EVIDENCE-CONTRACT-FOLLOWUP-2026-07-25/qualitative_mechanism_exact_span_coded_candidate.csv,759,grouped_count=759,informational,false,yes,preserved_exact_verified,reviewable_with_restrictions,limited promotion with eligibility flags,supports limited literal-evidence use; not causal proof,false,false,false
BLK-QS-002,qualitative_span,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-QUALITATIVE-EVIDENCE-CONTRACT-FOLLOWUP-2026-07-25/qualitative_mechanism_combined_tiered_view.csv,614,grouped_count=614,major,false,yes,no_safe_unique_exact_span,navigation_only,future bounded exact-span repair only,blocks full qualitative readiness,true,false,true
BLK-QS-003,qualitative_span,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-QUALITATIVE-EVIDENCE-CONTRACT-FOLLOWUP-2026-07-25/qualitative_mechanism_combined_tiered_view.csv,581,grouped_count=581,critical,false,yes,bounded support unavailable_or_unverified,navigation_only,requires new separately authorized bounded evidence support,blocks full qualitative readiness,true,false,true
BLK-CY-001,cycle_matching,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-BOUNDED-QUALITATIVE-SPAN-AND-RESIDUAL-METADATA-REPAIR-2026-07-25/residual_cycle_matching_bridge.csv,467,grouped_count=467,major,false,yes,no additional deterministic exact pair,quarantined,preserve; no filename or approximate inference,blocks cycle and matched design for affected rows,true,true,true
BLK-CY-002,cycle_matching,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-BOUNDED-QUALITATIVE-SPAN-AND-RESIDUAL-METADATA-REPAIR-2026-07-25/residual_cycle_matching_bridge.csv,203,grouped_count=203;matched_groups=91,informational,false,yes,preserved_exact_period_matches,supported,retain exact matching contract,supports matched comparison,false,false,false
BLK-OC-001,occupation,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-BOUNDED-QUALITATIVE-SPAN-AND-RESIDUAL-METADATA-REPAIR-2026-07-25/residual_non_safety_occupation_bridge.csv,368,grouped_count=368,major,false,yes,no additional controlled explicit label,quarantined,preserve; do not infer from government name,blocks occupation comparison for affected rows,true,true,true
BLK-OC-002,occupation,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-BOUNDED-QUALITATIVE-SPAN-AND-RESIDUAL-METADATA-REPAIR-2026-07-25/residual_non_safety_occupation_bridge.csv,1458,grouped_count=1458,informational,false,yes,preserved_controlled_classes,supported,retain controlled vocabulary,supports occupation comparison,false,false,false
BLK-QN-001,quantitative,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-QUALITATIVE-EVIDENCE-CONTRACT-FOLLOWUP-2026-07-25/quantitative_exception_ledger_evidence_contract_followup.csv,1045,grouped_count=1045,major,false,yes,unsafe_or_incomplete_normalization,quarantined,future deterministic parser improvement only,blocks scalar quantitative use for affected rows,true,true,true
BLK-QN-002,quantitative,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-QUALITATIVE-EVIDENCE-CONTRACT-FOLLOWUP-2026-07-25/quantitative_analysis_view_candidate_evidence_contract_followup.csv,862,grouped_count=862,informational,false,yes,preserved_mechanically_safe_candidates,candidate_only,separate future quantitative readiness review,not analysis-ready by itself,false,false,false
BLK-NB-001,non_base,/Users/joachimjohnson/Documents/RA_2026/Pol_Fire/gabriel-wages/docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-QUALITATIVE-EVIDENCE-CONTRACT-FOLLOWUP-2026-07-25/non_base_wage_companion_view_candidate_evidence_contract_followup.csv,904,grouped_count=904,major,true,yes,389 deterministic;141 multi-family;374 unsupported,companion_only,typed analysis only where deterministic,never base-wage outcome eligible,false,true,true
