growth_record_id,evidence_route,normalized_record_id,codified_record_id,rating_id,span_id,municipality,state,region,source_family,unit_or_group,unit_type,occupation_or_classification,effective_period,effective_year,source_reported_growth_value,growth_value_type,pay_basis,base_or_non_base,primary_growth_mechanism,secondary_growth_mechanisms,mechanism_cluster,mechanism_confidence,confidence_score,municipality_cycle_key,unit_cycle_key,raw_value_text,raw_span_text,raw_values_preserved,growth_rate_eligible,dashboard_default_eligible,exclusion_or_caveat,final_locator
B4X2500GROWTHSRC-742d1a8b4b670fb85764,source_reported_growth_rate,B4X2500NORM-514aef659ea8873d4b7e750a,B4X2500COD-20260730-b9142eefa76fa32b558f95d2,B4X2500-RATING-20260730-a2df4ab3d5b053735718367e,B4X2500SPAN-20260730-7b2e1a3d5508606e630636b4,Ligonier,IN,Midwest,salary_ordinance,police,police,police,2014,2014,3.5,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,IN|ligonier|2014,IN|ligonier|2014|police|police,3.5%,A 3.5% increase results in the following costs,True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://in.gov/cities/ligonier/files/Council_Minutes_2014-07-28.pdf
B4X2500GROWTHSRC-dc70d9887bb14fb2858c,source_reported_growth_rate,B4X2500NORM-247d47a0e8e7a29e539c2c77,B4X2500COD-20260730-85a7b881c98b1c62c29b4cce,B4X2500-RATING-20260730-59f20cbf9407cdb7a71000a6,B4X2500SPAN-20260730-8c9b0e907e1911adb8bb1223,Ligonier,IN,Midwest,salary_ordinance,police,police,police,2014,2014,1.5,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,IN|ligonier|2014,IN|ligonier|2014|police|police,1.5%,Council approved a 1.5% increase in the Perry Township Fire Contract at its last meeting.,True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://in.gov/cities/ligonier/files/Council_Minutes_2014-07-28.pdf
B4X2500GROWTHSRC-bb931c14114a8bcb9943,source_reported_growth_rate,B4X2500NORM-7a77fd2fe9554d1e69e9062b,B4X2500COD-20260730-2a10e2e78e1c749810ad17ff,B4X2500-RATING-20260730-1bb6e76a6fb81d807190a8b7,B4X2500SPAN-20260730-bb9be34ff67ec3705f917d1b,Gibson City,IL,Midwest,cba,police,police,police,2015,2015,3.0,step_schedule,percentage,unclear,step_schedule_progression,"[""implementation_retroactivity""]",timing_implementation,high,0.9,IL|gibson_city|2015,IL|gibson_city|2015|police|police,3%,"Effective May 1, 2015 a new step “20+ Years”, in the amount of 3.00% above the “15+ Years” Step shall",True,True,True,source_explicit_recurring_wage_or_schedule_growth,https://gibsoncityillinois.com/wp-content/uploads/2022/05/CHAPTER-30-PUBLIC-SAFETY.pdf
B4X2500GROWTHSRC-25bb6582bf0f0061e0dc,source_reported_growth_rate,B4X2500NORM-21222d2f8cafc2e386800dac,B4X2500COD-20260730-f7893e9c7339e4dae033eb3d,B4X2500-RATING-20260730-06c24be162e58d2a14637e0e,B4X2500SPAN-20260730-e871a58ce0b2c17bcfba54f0,Augusta charter,MI,Midwest,cba,unresolved_unit,fire,unknown,2015,2015,39.0,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,MI|augusta_charter|2015,MI|augusta_charter|2015|unresolved_unit|unknown,39%,39% increase for Paid-on-Call.,True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://maff.org/archives/35-2015
B4X2500GROWTHSRC-35244792353c5005224b,source_reported_growth_rate,B4X2500NORM-dac653a5a512451cdd611ab1,B4X2500COD-20260730-50d6ce733e730671710c7b34,B4X2500-RATING-20260730-72a6dd11f08e7b5335261295,B4X2500SPAN-20260730-3014d7c4d244b9fac7a5e0d0,Augusta charter,MI,Midwest,cba,unresolved_unit,fire,unknown,2015,2015,23.0,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,MI|augusta_charter|2015,MI|augusta_charter|2015|unresolved_unit|unknown,23%,23% increase for full-time Fire Fighters.,True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://maff.org/archives/35-2015
B4X2500GROWTHSRC-6dc7105dc69a4d673321,source_reported_growth_rate,B4X2500NORM-eafe8fbc8dcfe9e8f0913618,B4X2500COD-20260730-1cb56c7cc12766b10be43818,B4X2500-RATING-20260730-ab3c7a0233bf97c03578cb73,B4X2500SPAN-20260730-2f1cc66679ff0a2017511e6e,Augusta charter,MI,Midwest,cba,unresolved_unit,fire,unknown,2015,2015,17.0,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,MI|augusta_charter|2015,MI|augusta_charter|2015|unresolved_unit|unknown,17%,17% increase for Captains.,True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://maff.org/archives/35-2015
B4X2500GROWTHSRC-9e591bf8cf638fff0a6e,source_reported_growth_rate,B4X2500NORM-afc4b295d2b4633afb6fe40a,B4X2500COD-20260730-11565337282edbca7f1aaef8,B4X2500-RATING-20260730-dd52ab83a9f4c7ac3e18131c,B4X2500SPAN-20260730-e577314bfc1ea62ee78e92bd,Augusta charter,MI,Midwest,cba,unresolved_unit,fire,unknown,2015,2015,2.5,COLA_CPI,percentage,unclear,COLA_CPI,"[""automatic_raise""]",automatic_wage_growth,high,0.72,MI|augusta_charter|2015,MI|augusta_charter|2015|unresolved_unit|unknown,2.5%,"Retirement: Maintained MERS defined benefit retirement plan increasing the multiplier by .25 cents, reducing FAC to 3 years, and adding the COLA rider E-2, 2.5% non-compounded.",True,True,True,source_explicit_recurring_wage_or_schedule_growth,https://maff.org/archives/35-2015
B4X2500GROWTHSRC-90a38e78155abf6685ae,source_reported_growth_rate,B4X2500NORM-8600ca1869006ff84b7bae29,B4X2500COD-20260730-8a45b903ccebbc139fbba97e,B4X2500-RATING-20260730-799f67ef109e71f245aa93e5,B4X2500SPAN-20260730-b90d2f614a4fd6f81ed4d334,Union charter,MI,Midwest,cba,unresolved_unit,unclear,unknown,2015,2015,5.5,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,MI|union_charter|2015,MI|union_charter|2015|unresolved_unit|unknown,5.5%,"Employees hired before January 1, 2015 will receive thea 5.5% pay increases",True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://uniontownshipmi.com/download/15513/6-13-18-final-bot-packet.pdf
B4X2500GROWTHSRC-bc2f7635da38a63f23a6,source_reported_growth_rate,B4X2500NORM-ad7e99557fb6dd6066ba7b21,B4X2500COD-20260730-62eb53cf4b13efb2befabcf5,B4X2500-RATING-20260730-f8dab46e582969d144d47f95,B4X2500SPAN-20260730-249f37f3084d6f5163a8b5f7,Wellsville,NY,Northeast,cba,police,non_safety,police,2015,2015,2.0,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.9,NY|wellsville|2015,NY|wellsville|2015|police|police,2%; 2%; 2%,"The wage changes for the duration of this contract will be a2.0% increase on Jan 1, 2015, an additional 2.0% increase on June 1, 2015 and another 2.0% increase on",True,True,True,source_explicit_recurring_wage_or_schedule_growth,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf
B4X2500GROWTHSRC-f0a2b490cb508e8bc650,source_reported_growth_rate,B4X2500NORM-3d1b79ab17c749514382586e,B4X2500COD-20260730-daabe1e8a9f065a1012d3efb,B4X2500-RATING-20260730-9fc7f1578bfdbbbbd7b854d6,B4X2500SPAN-20260730-835abb695d4d6d438c820909,Wellsville,NY,Northeast,cba,police,non_safety,police,2015,2015,2.0,percentage_raise,percentage,unclear,across_the_board_percentage_raise,"[""automatic_raise""]",automatic_wage_growth,high,0.45,NY|wellsville|2015,NY|wellsville|2015|police|police,2%; 2%,"increase on Jan 1, 2015, an additional 2.0% increase on June 1, 2015 and another 2.0% increase on",True,False,False,insufficient_context_to_confirm_recurring_wage_growth,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf
