normalized_record_id,evidence_route,municipality,state,reason,detail
B4X2500NORM-1e85303e7460c1ed08bf807f,computed_cycle_to_cycle,Newhalen,AK,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 10.0]"
B4X2500NORM-61ce9b05a8e5b92bc20e2ea0,computed_cycle_to_cycle,Newhalen,AK,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 10.0]"
B4X2500NORM-e9137808697d687dc0f6840d,computed_cycle_to_cycle,Newhalen,AK,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 10.0]"
B4X2500NORM-15b1bd47d3365bd4f81bc9b0,computed_cycle_to_cycle,Carmel-by-the-Sea,CA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [31.84, 33.49]"
B4X2500NORM-d31cd2942b8403bb911bb7c6,computed_cycle_to_cycle,Carmel-by-the-Sea,CA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [31.84, 33.49]"
B4X2500NORM-ba69f04b23e9e829e09a67a2,computed_cycle_to_cycle,Dos Palos,CA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [24.82, 24.99]"
B4X2500NORM-ceb9befe2fbd6fb8107e7ddd,computed_cycle_to_cycle,Dos Palos,CA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [24.82, 24.99]"
B4X2500NORM-2a7cd80f6e91d0772d70cc2f,computed_cycle_to_cycle,Biscayne Park,FL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [100.0, 105.0]"
B4X2500NORM-8020eac6364863e109b47e5a,computed_cycle_to_cycle,Biscayne Park,FL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [100.0, 105.0]"
B4X2500NORM-a2396e6166b60e36d9c50bf3,computed_cycle_to_cycle,Biscayne Park,FL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [100.0, 105.0]"
B4X2500NORM-25a2cc9e38dbe676211e0aef,computed_cycle_to_cycle,Golden Beach,FL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 35.0]"
B4X2500NORM-364871ec805c06259c744e9a,computed_cycle_to_cycle,Golden Beach,FL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 35.0]"
B4X2500NORM-23b47efae8b542773bbe890a,computed_cycle_to_cycle,Hinton,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [13.0, 15.0]"
B4X2500NORM-8046305850a84951ddb1f60d,computed_cycle_to_cycle,Hinton,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [13.0, 15.0]"
B4X2500NORM-2b815b54c5d68729c1909333,computed_cycle_to_cycle,Ida Grove,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 9.0]"
B4X2500NORM-d9d3906dcebdaa3ceb911646,computed_cycle_to_cycle,Ida Grove,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.0, 9.0]"
B4X2500NORM-58ab2b1f95c186b1073c2542,computed_cycle_to_cycle,Lake City,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 28.0]"
B4X2500NORM-6960e7221c07c8a1c03c6e39,computed_cycle_to_cycle,Lake City,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 28.0]"
B4X2500NORM-5ed59714ff0b672fabacf680,computed_cycle_to_cycle,Lake View,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [21.11, 23.59]"
B4X2500NORM-e10b8061194a1a8f889df9b2,computed_cycle_to_cycle,Lake View,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [21.11, 23.59]"
B4X2500NORM-1342b4f59fa6a92a55d5db18,computed_cycle_to_cycle,Leon,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [8.0, 9.5, 20.0]"
B4X2500NORM-be73c4f8c9868bb14b464fc0,computed_cycle_to_cycle,Leon,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [8.0, 9.5, 20.0]"
B4X2500NORM-e3c77325e24d8fc0d735f311,computed_cycle_to_cycle,Leon,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [8.0, 9.5, 20.0]"
B4X2500NORM-20f80e2a01c9a48426df3c1c,computed_cycle_to_cycle,Ruthven,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [18.68, 20.87]"
B4X2500NORM-3ba0fd04fd98f596d295906b,computed_cycle_to_cycle,Ruthven,IA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [18.68, 20.87]"
B4X2500NORM-90d55edffecdc50b89028aba,computed_cycle_to_cycle,Sherman,IL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [27.01, 29.3]"
B4X2500NORM-9b1fe250bc83a602116dcd94,computed_cycle_to_cycle,Sherman,IL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [27.01, 29.3]"
B4X2500NORM-acf0df1678aa5bb8f91b6158,computed_cycle_to_cycle,Sherman,IL,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [27.01, 29.3]"
B4X2500NORM-67810cd7b9e1d328ddb2691a,computed_cycle_to_cycle,Churubusco,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 20.0]"
B4X2500NORM-9f8d591858e8713579fe46a2,computed_cycle_to_cycle,Churubusco,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 20.0]"
B4X2500NORM-44b45f8c69cfbd696b3ea8f9,computed_cycle_to_cycle,Fort Branch,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.5, 14.0]"
B4X2500NORM-d1fa81aeb95d05134c91225e,computed_cycle_to_cycle,Fort Branch,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [8.5, 14.0]"
