annualization_assumption,annualized_growth_rate,base_or_non_base,caveats,codified_record_id,confidence_score,cycle_gap_years,dashboard_default_eligible,effective_period,effective_year,evidence_route,exclusion_or_caveat,final_locator,grade,growth_percent_for_averaging,growth_rate_eligible,growth_record_id,growth_value_type,later_cycle,later_normalized_record_id,later_span_id,later_value,match_tier,match_tier_label,mechanism_cluster,mechanism_confidence,municipality,municipality_cycle_key,normalized_record_id,occupation_or_classification,pay_basis,payband,percent_growth,position_schedule_label,primary_growth_mechanism,prior_cycle,prior_normalized_record_id,prior_span_id,prior_value,rank,rating_id,raw_later_span_text,raw_later_value_text,raw_prior_span_text,raw_prior_value_text,raw_span_text,raw_value_text,raw_values_preserved,region,secondary_growth_mechanisms,small_n_scope_warning,source_family,source_record_count,source_reported_growth_value,span_id,state,step,unit_cycle_key,unit_or_group,unit_type,value_difference
,,unclear,,B4X2500COD-20260730-b9142eefa76fa32b558f95d2,0.45,,False,2014,2014,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://in.gov/cities/ligonier/files/Council_Minutes_2014-07-28.pdf,,,False,B4X2500GROWTHSRC-742d1a8b4b670fb85764,percentage_raise,,,,,,,automatic_wage_growth,high,Ligonier,IN|ligonier|2014,B4X2500NORM-514aef659ea8873d4b7e750a,police,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-a2df4ab3d5b053735718367e,,,,,A 3.5% increase results in the following costs,3.5%,True,Midwest,"[""automatic_raise""]",,salary_ordinance,,3.5,B4X2500SPAN-20260730-7b2e1a3d5508606e630636b4,IN,,IN|ligonier|2014|police|police,police,police,
,,unclear,,B4X2500COD-20260730-85a7b881c98b1c62c29b4cce,0.45,,False,2014,2014,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://in.gov/cities/ligonier/files/Council_Minutes_2014-07-28.pdf,,,False,B4X2500GROWTHSRC-dc70d9887bb14fb2858c,percentage_raise,,,,,,,automatic_wage_growth,high,Ligonier,IN|ligonier|2014,B4X2500NORM-247d47a0e8e7a29e539c2c77,police,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-59f20cbf9407cdb7a71000a6,,,,,Council approved a 1.5% increase in the Perry Township Fire Contract at its last meeting.,1.5%,True,Midwest,"[""automatic_raise""]",,salary_ordinance,,1.5,B4X2500SPAN-20260730-8c9b0e907e1911adb8bb1223,IN,,IN|ligonier|2014|police|police,police,police,
,,unclear,,B4X2500COD-20260730-2a10e2e78e1c749810ad17ff,0.9,,True,2015,2015,source_reported_growth_rate,source_explicit_recurring_wage_or_schedule_growth,https://gibsoncityillinois.com/wp-content/uploads/2022/05/CHAPTER-30-PUBLIC-SAFETY.pdf,,,True,B4X2500GROWTHSRC-bb931c14114a8bcb9943,step_schedule,,,,,,,timing_implementation,high,Gibson City,IL|gibson_city|2015,B4X2500NORM-7a77fd2fe9554d1e69e9062b,police,percentage,,,,step_schedule_progression,,,,,,B4X2500-RATING-20260730-1bb6e76a6fb81d807190a8b7,,,,,"Effective May 1, 2015 a new step “20+ Years”, in the amount of 3.00% above the “15+ Years” Step shall",3%,True,Midwest,"[""implementation_retroactivity""]",,cba,,3.0,B4X2500SPAN-20260730-bb9be34ff67ec3705f917d1b,IL,,IL|gibson_city|2015|police|police,police,police,
,,unclear,,B4X2500COD-20260730-f7893e9c7339e4dae033eb3d,0.45,,False,2015,2015,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://maff.org/archives/35-2015,,,False,B4X2500GROWTHSRC-25bb6582bf0f0061e0dc,percentage_raise,,,,,,,automatic_wage_growth,high,Augusta charter,MI|augusta_charter|2015,B4X2500NORM-21222d2f8cafc2e386800dac,unknown,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-06c24be162e58d2a14637e0e,,,,,39% increase for Paid-on-Call.,39%,True,Midwest,"[""automatic_raise""]",,cba,,39.0,B4X2500SPAN-20260730-e871a58ce0b2c17bcfba54f0,MI,,MI|augusta_charter|2015|unresolved_unit|unknown,unresolved_unit,fire,
,,unclear,,B4X2500COD-20260730-50d6ce733e730671710c7b34,0.45,,False,2015,2015,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://maff.org/archives/35-2015,,,False,B4X2500GROWTHSRC-35244792353c5005224b,percentage_raise,,,,,,,automatic_wage_growth,high,Augusta charter,MI|augusta_charter|2015,B4X2500NORM-dac653a5a512451cdd611ab1,unknown,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-72a6dd11f08e7b5335261295,,,,,23% increase for full-time Fire Fighters.,23%,True,Midwest,"[""automatic_raise""]",,cba,,23.0,B4X2500SPAN-20260730-3014d7c4d244b9fac7a5e0d0,MI,,MI|augusta_charter|2015|unresolved_unit|unknown,unresolved_unit,fire,
,,unclear,,B4X2500COD-20260730-1cb56c7cc12766b10be43818,0.45,,False,2015,2015,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://maff.org/archives/35-2015,,,False,B4X2500GROWTHSRC-6dc7105dc69a4d673321,percentage_raise,,,,,,,automatic_wage_growth,high,Augusta charter,MI|augusta_charter|2015,B4X2500NORM-eafe8fbc8dcfe9e8f0913618,unknown,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-ab3c7a0233bf97c03578cb73,,,,,17% increase for Captains.,17%,True,Midwest,"[""automatic_raise""]",,cba,,17.0,B4X2500SPAN-20260730-2f1cc66679ff0a2017511e6e,MI,,MI|augusta_charter|2015|unresolved_unit|unknown,unresolved_unit,fire,
,,unclear,,B4X2500COD-20260730-11565337282edbca7f1aaef8,0.72,,True,2015,2015,source_reported_growth_rate,source_explicit_recurring_wage_or_schedule_growth,https://maff.org/archives/35-2015,,,True,B4X2500GROWTHSRC-9e591bf8cf638fff0a6e,COLA_CPI,,,,,,,automatic_wage_growth,high,Augusta charter,MI|augusta_charter|2015,B4X2500NORM-afc4b295d2b4633afb6fe40a,unknown,percentage,,,,COLA_CPI,,,,,,B4X2500-RATING-20260730-dd52ab83a9f4c7ac3e18131c,,,,,"Retirement: Maintained MERS defined benefit retirement plan increasing the multiplier by .25 cents, reducing FAC to 3 years, and adding the COLA rider E-2, 2.5% non-compounded.",2.5%,True,Midwest,"[""automatic_raise""]",,cba,,2.5,B4X2500SPAN-20260730-e577314bfc1ea62ee78e92bd,MI,,MI|augusta_charter|2015|unresolved_unit|unknown,unresolved_unit,fire,
,,unclear,,B4X2500COD-20260730-8a45b903ccebbc139fbba97e,0.45,,False,2015,2015,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://uniontownshipmi.com/download/15513/6-13-18-final-bot-packet.pdf,,,False,B4X2500GROWTHSRC-90a38e78155abf6685ae,percentage_raise,,,,,,,automatic_wage_growth,high,Union charter,MI|union_charter|2015,B4X2500NORM-8600ca1869006ff84b7bae29,unknown,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-799f67ef109e71f245aa93e5,,,,,"Employees hired before January 1, 2015 will receive thea 5.5% pay increases",5.5%,True,Midwest,"[""automatic_raise""]",,cba,,5.5,B4X2500SPAN-20260730-b90d2f614a4fd6f81ed4d334,MI,,MI|union_charter|2015|unresolved_unit|unknown,unresolved_unit,unclear,
,,unclear,,B4X2500COD-20260730-62eb53cf4b13efb2befabcf5,0.9,,True,2015,2015,source_reported_growth_rate,source_explicit_recurring_wage_or_schedule_growth,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf,,,True,B4X2500GROWTHSRC-bc2f7635da38a63f23a6,percentage_raise,,,,,,,automatic_wage_growth,high,Wellsville,NY|wellsville|2015,B4X2500NORM-ad7e99557fb6dd6066ba7b21,police,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-f8dab46e582969d144d47f95,,,,,"The wage changes for the duration of this contract will be a2.0% increase on Jan 1, 2015, an additional 2.0% increase on June 1, 2015 and another 2.0% increase on",2%; 2%; 2%,True,Northeast,"[""automatic_raise""]",,cba,,2.0,B4X2500SPAN-20260730-249f37f3084d6f5163a8b5f7,NY,,NY|wellsville|2015|police|police,police,non_safety,
,,unclear,,B4X2500COD-20260730-daabe1e8a9f065a1012d3efb,0.45,,False,2015,2015,source_reported_growth_rate,insufficient_context_to_confirm_recurring_wage_growth,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf,,,False,B4X2500GROWTHSRC-f0a2b490cb508e8bc650,percentage_raise,,,,,,,automatic_wage_growth,high,Wellsville,NY|wellsville|2015,B4X2500NORM-3d1b79ab17c749514382586e,police,percentage,,,,across_the_board_percentage_raise,,,,,,B4X2500-RATING-20260730-9fc7f1578bfdbbbbd7b854d6,,,,,"increase on Jan 1, 2015, an additional 2.0% increase on June 1, 2015 and another 2.0% increase on",2%; 2%,True,Northeast,"[""automatic_raise""]",,cba,,2.0,B4X2500SPAN-20260730-835abb695d4d6d438c820909,NY,,NY|wellsville|2015|police|police,police,non_safety,
