growth_record_id,evidence_route,normalized_record_id,prior_normalized_record_id,later_normalized_record_id,codified_record_id,rating_id,prior_span_id,later_span_id,municipality,state,region,source_family,unit_or_group,unit_type,occupation_or_classification,position_schedule_label,rank,step,grade,payband,pay_basis,base_or_non_base,prior_cycle,later_cycle,cycle_gap_years,prior_value,later_value,value_difference,percent_growth,annualized_growth_rate,growth_percent_for_averaging,match_tier,match_tier_label,confidence_score,primary_growth_mechanism,secondary_growth_mechanisms,mechanism_cluster,mechanism_confidence,municipality_cycle_key,unit_cycle_key,source_record_count,raw_prior_value_text,raw_later_value_text,raw_prior_span_text,raw_later_span_text,annualization_assumption,dashboard_default_eligible,small_n_scope_warning,caveats
B4X2500GROWTHCONT-6a50c501e353de82649a,computed_cycle_to_cycle,B4X2500NORM-2b85aa53b6a58acb6eeb398b,B4X2500NORM-5c98342a699f2ecb380aa04a,B4X2500NORM-2b85aa53b6a58acb6eeb398b,B4X2500COD-20260730-299e5056d4d808d5806eb289,B4X2500-RATING-20260730-91e140a1d43754616edf50f2,B4X2500SPAN-20260730-ee7f16d11c575ca413da0713,B4X2500SPAN-20260730-6b99a6c9a5917737ebece148,Lincoln Center,KS,Midwest,agenda_packet_or_minutes,unresolved_unit,unclear,unknown,unresolved_unit,,,,,hourly,base,2023,2024,1,19.25,19.75,0.5,2.597403,2.597403,2.597403,3,defensible_unit_level_match,0.65,COLA_CPI,"[""automatic_raise""]",automatic_wage_growth,moderate,KS|lincoln_center|2024,KS|lincoln_center|2024|unresolved_unit|unresolved_unit,2,$19.25,$19.75,$.50 per hour COLA increase and the starting wage increase to $19.25 per hour effective with,$.50 per hour COLA increase and the starting wage increase to $19.75 per hour effective with,standard_2080_hours,False,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.
B4X2500GROWTHCONT-462f764253a1eca54609,computed_cycle_to_cycle,B4X2500NORM-6e0eceba338c63880af3e5f0,B4X2500NORM-8d33aeb8ae3eb00db0cead3b,B4X2500NORM-6e0eceba338c63880af3e5f0,B4X2500COD-20260730-9a930b043e2c444e288574e9,B4X2500-RATING-20260730-9b10021c48c8ab1e597d1766,B4X2500SPAN-20260730-10013106cc853a9ef665047b,B4X2500SPAN-20260730-6b7a586b12eaee5206fc34b5,Manley,NE,Midwest,agenda_packet_or_minutes,clerical_admin,non_safety,clerical_admin,municipal_clerk,,,,,hourly,base,2017,2018,1,12.5,12.5,0.0,0.0,0.0,0.0,2,strong_named_position_match,0.82,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,NE|manley|2018,NE|manley|2018|clerical_admin|municipal_clerk,2,$12.50,$12.50,"DSwenson moved & TGlas seconded to increase the Village Clerk’s wage to $12.50/hour,","Per legal requirement to post, the job titles and salaries in our Village are: Village Clerk-$12.50/hour and Board",standard_2080_hours,True,Applied in aggregate outputs when fewer than three unit-cycles.,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete."
B4X2500GROWTHCONT-9b22544ad3954edb8f6b,computed_cycle_to_cycle,B4X2500NORM-6b4c8caac4cccc057087d233,B4X2500NORM-5d4929ed0b81d7bd9a239781,B4X2500NORM-6b4c8caac4cccc057087d233,B4X2500COD-20260730-3445db26234a68d77ba06733,B4X2500-RATING-20260730-555c3d83ce626ed759fbb35b,B4X2500SPAN-20260730-287258b2efeb3a75bce4e8bd,B4X2500SPAN-20260730-e28f97bc0e47b93f9e5a0522,Berlin,NJ,Northeast,cba,police,police,police,police,,,,,hourly,base,2019,2020,1,75.0,75.0,0.0,0.0,0.0,0.0,3,defensible_unit_level_match,0.65,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,NJ|berlin|2020,NJ|berlin|2020|police|police,2,$75.00; $15.00,$75.00; $15.00,"Other police services: $75 per hour base rate, plus $15 per hour for an administrative","Traffic control: $75 per hour base rate, plus $15 per hour for an administrative fee;",standard_2080_hours,False,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.
B4X2500GROWTHCONT-7e25c88d38000f0588a5,computed_cycle_to_cycle,B4X2500NORM-805f3d1f83aeb5008da74a72,B4X2500NORM-287a73b2a5e31a0fce7e2467,B4X2500NORM-805f3d1f83aeb5008da74a72,B4X2500COD-20260730-29cd041e11e81701e0b4eed8,B4X2500-RATING-20260730-98b76e42ad547a0bdfc8f3eb,B4X2500SPAN-20260730-d13e2d3406364fd28c27b1f3,B4X2500SPAN-20260730-ee600f8920038f901a3f8f73,Harrington Park,NJ,Northeast,salary_ordinance,unresolved_unit,unclear,unknown,unresolved_unit,,,,,hourly,base,2018,2019,1,15.0,15.3,0.3,2.0,2.0,2.0,3,defensible_unit_level_match,0.65,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,NJ|harrington_park|2019,NJ|harrington_park|2019|unresolved_unit|unresolved_unit,4,$15.00,$15.30,Adjustment P D $15/Hr,Recreation Commission P D $15.3/Hr,standard_2080_hours,False,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.
B4X2500GROWTHCONT-d5020bc5beb3d63f5cc0,computed_cycle_to_cycle,B4X2500NORM-e418f881adab50893285326c,B4X2500NORM-2295253e889505212a12f8a3,B4X2500NORM-e418f881adab50893285326c,B4X2500COD-20260730-ede9a324bc947db4afffd634,B4X2500-RATING-20260730-2fc81d28b71857a244213154,B4X2500SPAN-20260730-f2097ad8c7b2c26956538f5d,B4X2500SPAN-20260730-b0c43228741f13df39460bbe,Nutley,NJ,Northeast,salary_ordinance,clerical_admin,non_safety,clerical_admin,clerk_1,,,,,hourly,base,2022,2023,1,13.0,15.0,2.0,15.384615,15.384615,15.384615,2,strong_named_position_match,0.82,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,NJ|nutley|2023,NJ|nutley|2023|clerical_admin|clerk_1,3,$13.00; $20.00,$15.00; $25.00,Clerk 1 – Seasonal $13.00/hour $20.00/hour,Clerk 1 – P/T $15.00/hour $25.00/hour,standard_2080_hours,True,Applied in aggregate outputs when fewer than three unit-cycles.,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete."
B4X2500GROWTHCONT-bd2eb18d9cd35913507e,computed_cycle_to_cycle,B4X2500NORM-e989bf9b555d380f79cdaa2f,B4X2500NORM-a96303b6d3e7bdf239ffa8ba,B4X2500NORM-e989bf9b555d380f79cdaa2f,B4X2500COD-20260730-9cf243e380ecde81c91450b6,B4X2500-RATING-20260730-9439501ff1db7a6729edff70,B4X2500SPAN-20260730-9b7fc77399e5be3fc929a927,B4X2500SPAN-20260730-5e88176f87e6231753ed9180,Brookfield,OH,Midwest,cba,fire,fire,fire,captain:captain,captain,,,,hourly,base,2023,2024,1,19.98,20.98,1.0,5.005005,5.005005,5.005005,1,exact_position_schedule_match,0.95,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,OH|brookfield|2024,OH|brookfield|2024|fire|captain:captain,2,$19.98,$20.98,Captain $19.98/hr.,Captain $20.98/hr.,standard_2080_hours,True,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment.
B4X2500GROWTHCONT-b803f7a3fb0240f78f8c,computed_cycle_to_cycle,B4X2500NORM-1fb2252175081a358677afc9,B4X2500NORM-85bb37d4204735bd3d632c1c,B4X2500NORM-1fb2252175081a358677afc9,B4X2500COD-20260730-81cb116c3424ffb49ff23bb7,B4X2500-RATING-20260730-8a9b98556c2c962a2a110824,B4X2500SPAN-20260730-a31b2b385108f268ab8d9445,B4X2500SPAN-20260730-c9d52f4abbf44c7b57995019,Brookfield,OH,Midwest,cba,fire,fire,fire,firefighter_i_paramedic:firefighter,firefighter,,,,hourly,base,2023,2024,1,18.16,20.02,1.86,10.242291,10.242291,10.242291,1,exact_position_schedule_match,0.95,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,OH|brookfield|2024,OH|brookfield|2024|fire|firefighter_i_paramedic:firefighter,3,$18.16,$20.02,"EFFECTIVE JANUARY 1, 2023, THE RATE OF BASE PAY IS AS FOLLOWS: Firefighter I Paramedic $18.16/hr.","EFFECTIVE JANUARY 1, 2025 THE RATE OF BASE PAY IS AS FOLLOWS: Firefighter I Paramedic $20.02/hr.",standard_2080_hours,True,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment.
B4X2500GROWTHCONT-47aefec37527f18a3e06,computed_cycle_to_cycle,B4X2500NORM-b9c9e19f7b7373fe16fd20c8,B4X2500NORM-5c61e3c90955368a795ff7a4,B4X2500NORM-b9c9e19f7b7373fe16fd20c8,B4X2500COD-20260730-4d6e17adba55e42a86f7cd0b,B4X2500-RATING-20260730-c20643cdfdfe88ec83bfe2e4,B4X2500SPAN-20260730-1cca50bf4850436738161f09,B4X2500SPAN-20260730-4e73b408ef1ba5091dc3f45e,Clinton,OH,Midwest,cba,police,police,police,police,,,,,hourly,base,2023,2024,1,59.5,59.5,0.0,0.0,0.0,0.0,3,defensible_unit_level_match,0.65,implementation_retroactivity,[],timing_implementation,moderate,OH|clinton|2024,OH|clinton|2024|police|police,2,$59.50,$59.50,"$59.50 per hour, effective January 1, 2023;","$59.50 per hour , effective January 1, 2024;",standard_2080_hours,False,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.
B4X2500GROWTHCONT-b4fd939fc2834a332840,computed_cycle_to_cycle,B4X2500NORM-742aa11b7470cd314feb4671,B4X2500NORM-87eb7e3d83b7347cd4fbb747,B4X2500NORM-742aa11b7470cd314feb4671,B4X2500COD-20260730-bdbd91cc5f5ba405c946743d,B4X2500-RATING-20260730-e62477520c83fc2196979b9d,B4X2500SPAN-20260730-f828c5d73d268d8d084dd4df,B4X2500SPAN-20260730-22f3e7f275c1aff27de31963,Jerome,OH,Midwest,wage_schedule,fire,fire,fire,fire:a,,A,,,hourly,base,2022,2023,1,18.02,18.83,0.81,4.495006,4.495006,4.495006,3,defensible_unit_level_match,0.65,step_schedule_progression,"[""rank_classification_progression""]",rank_step_specialization_classification,moderate,OH|jerome|2023,OH|jerome|2023|fire|fire:a,2,$18.02; $25.91; $20.55; $29.55; $26.19; $37.65,$18.83; $27.07; $21.47; $30.88; $27.37; $39.35,Step A StepB Step C 56 I 40 56 I 40 56 I 40 2022 Hourly $18.02 I $25.91 $20.55 I $29.55 $26.19 I $37.65,Step A Step B Step C 56 I 40 56 I 40 56 I 40 2023 Hourly $18.83 I $27.07 $21.47 I $30.88 $27.37 I $39.35,standard_2080_hours,False,Applied in aggregate outputs when fewer than three unit-cycles.,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.
B4X2500GROWTHCONT-7b7f91f0c2c8acacf1b8,computed_cycle_to_cycle,B4X2500NORM-d6d28d6bec80e1c7470eedf4,B4X2500NORM-32ed9f489afabef97626a27a,B4X2500NORM-d6d28d6bec80e1c7470eedf4,B4X2500COD-20260730-7036f7992a97377b5bca1065,B4X2500-RATING-20260730-ab18c318b4a1d37cd3dfaed2,B4X2500SPAN-20260730-9ef6ced9733db2fcc0c9f31c,B4X2500SPAN-20260730-edaa7a3a020a4fbd3367d331,Monongahela,PA,Northeast,other_local_government_pay_policy,police,police,police,patrol_officer,,,,,hourly,base,2022,2024,2,32.87,34.2,1.33,4.046243,2.00306,2.00306,2,strong_named_position_match,0.82,base_wage_schedule_change,[],quantitative_base_wage_needs_normalization,moderate,PA|monongahela|2024,PA|monongahela|2024|police|patrol_officer,2,$32.87,$34.20,"appointment, and holiday pay shall be calculated based upon the new appointment’s hourly wage. (c) Each Patrolman shall receive a wage of $32.87 per hour plus longevity for each hour he/she","appointment, and holiday pay shall be calculated based upon the new appointment’s hourly wage. 1 of 4 (c) Each Patrolman shall receive a wage of $34.20 per hour plus longevity for each hour he/she is",standard_2080_hours,True,Applied in aggregate outputs when fewer than three unit-cycles.,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete."
