extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,disposition,page_relationship,bounded_evidence_pointer,confidence,reason_codes,short_rationale,qa_status
cexrem_1cd033f8d5d1dbea28fb89c9,doc_8a7f8ad1a2bf91f3353bc034,ttd_56a3f16e6592609c33feef2d,sr_12cf9fc6374c39b966feff9e,NSCQ-AK-20260720-0016,AK,Ketchikan,CITY OF KETCHIKAN,police,cba,exclude,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=5|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=8|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=12|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=32|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0372_sr_12cf9fc6374c39b966feff9e.pdf#page=33,unknown,NO_BASE_WAGE_AMOUNTS_OR_PAY_RATE_TERMS_V,"The provided pages contain no visible base pay rates, salaries, steps, grades, or other wage compensation terms; only general contract/procedural language is present.",excluded_provisional
cexrem_d48a82071fbe3ab45f91e231,doc_a068647e2eb7c60477b69614,ttd_0c8dae40bb42848a1b2df614,sr_b9a6ad0786e3e56c6c5abf7d,NSCQ-CA-20260720-0637,CA,Banning,CITY OF BANNING,non_safety,cba,reference_only,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=5|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=10|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=14|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=21|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf#page=23,low,BOUNDARY_PACKET_CONTAINS_ONLY_TABLE_OF_T,"The provided pages show memorandum start/recognition text and a table of contents referencing later salary/premium/tuition/leave/insurance articles, but no visible base-wage rates/amounts or compensation mechanisms are actually stated within this packet.",needs_review
cexrem_8715f1d101bba8d08e834850,doc_c2846f6b4eed8f56d9dd6c37,ttd_afa62da426ae61d28f1d7f97,sr_35cd31166035de729083e527,NSCQ-CA-20260720-0632,CA,Benicia,CITY OF BENICIA,non_safety,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf#page=3|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf#page=6|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf#page=8|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf#page=10|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf#page=11,unknown,SOWPAGE_PACKET_CONTAINS_ONLY_SECTION_INT,"The provided page packet shows only table of contents and section headings (e.g., Wage Adjustments, Step Increases, Overtime, Healthcare) without any visible wage amounts, rates, steps, grades, or wage-setting formulas (Exhibit A is referenced but not included). No qualitative wage-setting mechanism",excluded_provisional
cexrem_e60f30f4a5908d72daf92bb5,doc_edc9d3b1fee3964f791a5a77,ttd_216add851424d7e84becee78,sr_6f11504afd5b29726a4fd6d5,NSCQ-CA-20260720-0372,CA,Calexico,CITY OF CALEXICO,non_safety,cba,reference_only,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=4|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=8|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=11|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=16|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf#page=30,unknown,PROVISIONAL_COMP_EVIDENCE_NOT_VISIBLE,"This page packet is primarily a table of contents and introductory MOU text; it references compensation-related articles/sections but does not provide any specific base wage values, effective dates, or compensation mechanism rules.",needs_review
cexrem_79eaf5fffbfea1d2ed673e9c,doc_66a0dc04256244fa33847813,ttd_d245363138a5b89320582b35,sr_934c14b12349ff6cc1d9c876,NSCQ-CA-20260720-0278,CA,Chino Hills,CITY OF CHINO HILLS,non_safety,cba,reference_only,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0258_sr_934c14b12349ff6cc1d9c876.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0258_sr_934c14b12349ff6cc1d9c876.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0258_sr_934c14b12349ff6cc1d9c876.pdf#page=19|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0258_sr_934c14b12349ff6cc1d9c876.pdf#page=25|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0258_sr_934c14b12349ff6cc1d9c876.pdf#page=28|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0258_sr_934c14b12349ff6cc1d9c876.pdf#page=30,unknown,NO_VISIBLE_BASE_WAGE_OR_COMPENSATION_MEH,"The provided page packet contains contract/TOC headings and policy listings (e.g., leave/overtime/certification/longevity sections) but no visible compensation terms with rates/amounts/effective dates or mechanism rules tying to specific pay adjustments.",needs_review
cexrem_25f11489b074191b181fd8d2,doc_ffa1b63a0ba386e44339a398,ttd_46d0f1b4b9130e557088958c,sr_08c8b4a69fe57b0b2a755cff,NSCQ-CA-20260720-0113,CA,Clovis,CITY OF CLOVIS,fire,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=5|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=21|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=23|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=39|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0454_sr_08c8b4a69fe57b0b2a755cff.pdf#page=40,unknown,NO_VISIBLE_COMPENSATION_EVIDENCE_BASE_WA|NO_VISIBLE_COMPENSATION_EVIDENCE_MECHAN|NO_VISIBLE_NON_BASE_COMPENSATION_EVIDEN,"The provided page excerpts contain only general MOU headings/introduction, administrative clauses, and no visible base wage terms, wage-setting mechanisms, or non-base compensation provisions.",excluded_provisional
cexrem_5e622cee342674e6855c8ca9,doc_62a291cdf2c1429e6577b188,ttd_f5a8b7c0df07d7a399db478f,sr_3aa635d8a544e98895a42dda,NSCQ-CA-20260720-0388,CA,Monterey Park,CITY OF MONTEREY PARK,police,cba,reference_only,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=1|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=5|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=19|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=20|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=35|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0453_sr_3aa635d8a544e98895a42dda.pdf#page=36,unknown,NO_VISIBLE_BASE_WAGE_AMOUNTS_OR_WAGE_SCA,This packet contains only resolution/TOC text referencing approval of an MOU for 2025-2028; no structured base wage figures or compensation-setting/mechanism terms are visible in the provided pages.,needs_review
cexrem_5823045830ca357b2be41b30,doc_f68057f2b7836e28538a9c85,ttd_99d22243ba487dd6a0134d16,sr_66b21ecab7f0977cfb5d617c,NSCQ-CA-20260720-0459,CA,Oakley,CITY OF OAKLEY,police,cba,exclude,no_candidate_page,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0229_sr_66b21ecab7f0977cfb5d617c.pdf#page=18|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0229_sr_66b21ecab7f0977cfb5d617c.pdf#page=52|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0229_sr_66b21ecab7f0977cfb5d617c.pdf#page=69|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0229_sr_66b21ecab7f0977cfb5d617c.pdf#page=78,unknown,NO_COMPENSATION_EVIDENCE_IN_PACKET,"The provided pages describe municipal ordinances/resolutions about adopting building/fire codes and related administrative matters; there is no visible base-wage, wage mechanism, or non-base compensation terms.",excluded_provisional
cexrem_5e9ae4b53f71d0f7cb088fa5,doc_0932091ec94a1c91ee17a3b4,ttd_e01ac2c10aae43c84a225c18,sr_a467f2dabc204c457f23a9a7,NSCQ-CA-20260720-0534,CA,Placentia,CITY OF PLACENTIA,fire,cba,reference_only,points_to_later_evidence,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_a467f2dabc204c457f23a9a7.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_a467f2dabc204c457f23a9a7.pdf#page=5|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_a467f2dabc204c457f23a9a7.pdf#page=15|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_a467f2dabc204c457f23a9a7.pdf#page=17|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_a467f2dabc204c457f23a9a7.pdf#page=19|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0070_sr_a467f2dabc204c457f23a9a7.pdf#page=33,unknown,SAMPLE_PAGE_PACKET_CONTAINS_ONLY_TABLEOF,"This packet shows article headings/TOC (e.g., ARTICLE V - SALARY) and other non-wage article references but no visible base-wage rate, salary, grade, step, or any compensation adjustment mechanism or non-base wage values.",needs_review
cexrem_0b4996e6728af03f3a9135fe,doc_2566afaafbad67c1df80b4f5,ttd_4402fd4134173cda2848cb7e,sr_595f37fcd7b86894c8d27850,NSCQ-CA-20260720-0524,CA,San Gabriel,CITY OF SAN GABRIEL,police,cba,reference_only,unknown,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0264_sr_595f37fcd7b86894c8d27850.pdf#page=2|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0264_sr_595f37fcd7b86894c8d27850.pdf#page=7|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0264_sr_595f37fcd7b86894c8d27850.pdf#page=25|tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0264_sr_595f37fcd7b86894c8d27850.pdf#page=55,low,BOUNDARY_PACKET_CONTAINS_ONLY_TABLE_OF_C,"The provided pages are limited to memorandum framing and table-of-contents headings for compensation sections, with no visible base salary amounts, rates, step/increase details, or mechanism text to extract.",needs_review
