span_extraction_id,span_queue_id,extracted_text_id,extraction_id,readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,lane_id,lane_sequence,state,region,municipality,source_title,source_family_hint,retained_file_sha256,extracted_text_artifact_path,extracted_text_sha256,evidence_family,mechanism_label,quantitative_label,span_status,span_start_offset,span_end_offset,span_sha256,extraction_rule_family,extraction_rule_id,all_extraction_rule_ids,rating_status,global_analysis_readiness,claim_boundary
CBSPAN-20260728-0330c9ed17e70d7d77bcdd33,CBSPQ-20260728-36e2a3f771c621c47aff,CBTXT-20260728-3466362f0d875c35f7e2,CBTXT-20260728-3466362f0d875c35f7e2,CBRDY-20260728-f89e172eea1b77bf642a,CBSRD-20260728-6c11ac3e14b3133c9a04,CBCR-20260728-06452,BSSC-20260727-00015,BCV-20260728-01350,span_lane_001,15,AK,West,Nome,"Collective Bargaining Agreement between City of Nome and City of Nome Employees Association, Local #6141 (APEA/AFT (AFL-CIO)) — “City of Nome Final Contract 2022”",cba,0300d6d501a2eeb0ebd5e99bee36a30e5a6fedb3fdf840e71b554f64b4c23c6b,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-3466362f0d875c35f7e2.txt,3da6dadd6985d139ad6ebb48b8de9eb198dc410762c17f8319c46d548c353651,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,63216,63312,38c088e29d97df283cc70cf0e9e023cd2ea3bd4e4d605bbf39a6d34c81350af0,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-dd7468ae87478a13265d64e0,CBSPQ-20260728-adeed298709985564f80,CBTXT-20260728-d41fa7a943dde921cd12,CBTXT-20260728-d41fa7a943dde921cd12,CBRDY-20260728-e2b90e94491527c3a883,CBSRD-20260728-d1ab4bde2cc2f6436bfa,CBCR-20260728-06453,BSSC-20260727-00016,BCV-20260728-07781,span_lane_001,16,AK,West,Nome,"Collective Bargaining Agreement between City of Nome Employees Association, Local #6141 (APEA/AFT (AFL-CIO)) and the City of Nome — “JANUARY 1, 2025 - December 31, 2026”",cba,451c0b63aef1bc7e057245ae4ebdd96080669a54e7d7add7b71797dff772bc0a,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-d41fa7a943dde921cd12.txt,7366d98a9e45ac88882ee208297e87d878ea92157ca938a501eaa7356febbe70,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,31925,32034,9f2e7d1b0cb6979389bc62aa5e03cc03473252ffdc80bd51d476dfa7459db2d9,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-46f0e4d42dfdf62175feb69c,CBSPQ-20260728-adeed298709985564f80,CBTXT-20260728-d41fa7a943dde921cd12,CBTXT-20260728-d41fa7a943dde921cd12,CBRDY-20260728-e2b90e94491527c3a883,CBSRD-20260728-d1ab4bde2cc2f6436bfa,CBCR-20260728-06453,BSSC-20260727-00016,BCV-20260728-07781,span_lane_001,16,AK,West,Nome,"Collective Bargaining Agreement between City of Nome Employees Association, Local #6141 (APEA/AFT (AFL-CIO)) and the City of Nome — “JANUARY 1, 2025 - December 31, 2026”",cba,451c0b63aef1bc7e057245ae4ebdd96080669a54e7d7add7b71797dff772bc0a,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-d41fa7a943dde921cd12.txt,7366d98a9e45ac88882ee208297e87d878ea92157ca938a501eaa7356febbe70,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,64992,65088,38c088e29d97df283cc70cf0e9e023cd2ea3bd4e4d605bbf39a6d34c81350af0,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-b29f2c24b488c9ecc8f489cc,CBSPQ-20260728-d3b6babb347393bef1b2,CBTXT-20260728-041bc70e4e347cc203e4,CBTXT-20260728-041bc70e4e347cc203e4,CBRDY-20260728-b10a1c4057ddd0b8322f,CBSRD-20260728-547cdc0dd6fac8ceff46,CBCR-20260728-02478,B4XPAR-20260727-002678,BCV-20260728-05544,span_lane_001,62,AR,South,Little Rock,"Statement of Agreement (Fraternal Order of Police, Lodge #17) — City of Little Rock, AR",wage_schedule,17c88edb73cd1b63e9ebb10507ef5bd1498628d2967fafec232bc8f6bc5fdf24,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-041bc70e4e347cc203e4.txt,df0a95a8e29dda87c9c5ef25c417a95196ae8f6a9f0d0ef3955bedc827fd09c6,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,3208,3302,624fda85c700a0f04b80a01a5288a54e450f6884c905f8eddfa4e2153105e664,Q,Q012,"[""M002"", ""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-359f0dfedb0e8f42a626c19d,CBSPQ-20260728-d3b6babb347393bef1b2,CBTXT-20260728-041bc70e4e347cc203e4,CBTXT-20260728-041bc70e4e347cc203e4,CBRDY-20260728-b10a1c4057ddd0b8322f,CBSRD-20260728-547cdc0dd6fac8ceff46,CBCR-20260728-02478,B4XPAR-20260727-002678,BCV-20260728-05544,span_lane_001,62,AR,South,Little Rock,"Statement of Agreement (Fraternal Order of Police, Lodge #17) — City of Little Rock, AR",wage_schedule,17c88edb73cd1b63e9ebb10507ef5bd1498628d2967fafec232bc8f6bc5fdf24,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-041bc70e4e347cc203e4.txt,df0a95a8e29dda87c9c5ef25c417a95196ae8f6a9f0d0ef3955bedc827fd09c6,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,43225,43322,2363f079c0899f36594209eaee1d10248b86f1ac1b78ce6f1b42b5b2ecf6d50d,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-fb80d065ef410708c8d9e7ce,CBSPQ-20260728-4ad21f31187f64b654e9,CBTXT-20260728-44171c26b1e06e099782,CBTXT-20260728-44171c26b1e06e099782,CBRDY-20260728-e7849d6fb4aea66ff946,CBSRD-20260728-ba9945598f23e38a625c,CBCR-20260728-02479,B4XPAR-20260727-002679,BCV-20260728-07687,span_lane_001,63,AR,South,Little Rock,Memorandum of Agreement (International Association of Firefighters) — City of Little Rock,wage_schedule,48bd0b9728677436cfd53208735767bf9d35c013c350b3e2a76a8c421c955f13,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-44171c26b1e06e099782.txt,be92f25dfff24484dd209a20b54b37db7a70741e42e79cebdca11c6499e87e4e,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,7096,7176,8f7d04c4b98e9455534e4c9164846e6b7e2535a848f5afcb7c2a790e97ad68c6,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-f75b80db26893c936b89039e,CBSPQ-20260728-4ad21f31187f64b654e9,CBTXT-20260728-44171c26b1e06e099782,CBTXT-20260728-44171c26b1e06e099782,CBRDY-20260728-e7849d6fb4aea66ff946,CBSRD-20260728-ba9945598f23e38a625c,CBCR-20260728-02479,B4XPAR-20260727-002679,BCV-20260728-07687,span_lane_001,63,AR,South,Little Rock,Memorandum of Agreement (International Association of Firefighters) — City of Little Rock,wage_schedule,48bd0b9728677436cfd53208735767bf9d35c013c350b3e2a76a8c421c955f13,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-44171c26b1e06e099782.txt,be92f25dfff24484dd209a20b54b37db7a70741e42e79cebdca11c6499e87e4e,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,8628,8697,635de42f13c812532503d5a5bdc7767a29024c399f92bf5db838183de4b9560f,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-0333854b88e5b912a313d786,CBSPQ-20260728-5665fd0210053fae022d,CBTXT-20260728-9a24f82cee0b974188a2,CBTXT-20260728-9a24f82cee0b974188a2,CBRDY-20260728-f847c2ea0d7d46689344,CBSRD-20260728-866b972ed8584fcb8c46,CBCR-20260728-06519,BSSC-20260727-00091,BCV-20260728-08086,span_lane_001,81,AZ,West,El Mirage,Exhibit A: R25-04-03 Police MOU (Memorandum of Understanding) — El Mirage Police Employees Association,mou_or_memorandum,a3c28d6a5ead079b899398ac4c3d7c5c79a214ae95ba74497abb435dce48367f,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-9a24f82cee0b974188a2.txt,0161dc2c727587bb1a68a7c495137605493ea6c93b83d0c2c542bec833d21f25,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,18406,18440,b4518a0d83ccbb7bf67cc06932555f8dede9d8a8a1f02af01b62c466c2e55db4,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-0c8ed7a74e37f8b36b2d1744,CBSPQ-20260728-5665fd0210053fae022d,CBTXT-20260728-9a24f82cee0b974188a2,CBTXT-20260728-9a24f82cee0b974188a2,CBRDY-20260728-f847c2ea0d7d46689344,CBSRD-20260728-866b972ed8584fcb8c46,CBCR-20260728-06519,BSSC-20260727-00091,BCV-20260728-08086,span_lane_001,81,AZ,West,El Mirage,Exhibit A: R25-04-03 Police MOU (Memorandum of Understanding) — El Mirage Police Employees Association,mou_or_memorandum,a3c28d6a5ead079b899398ac4c3d7c5c79a214ae95ba74497abb435dce48367f,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-9a24f82cee0b974188a2.txt,0161dc2c727587bb1a68a7c495137605493ea6c93b83d0c2c542bec833d21f25,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,18439,18494,e2ef4b287e9b4780471dd2dcde13a3f7b0d0abb15acdaa43c292ab2d3f505b4d,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
CBSPAN-20260728-cee1aefe67970669cc6be4d9,CBSPQ-20260728-da6edc69b93f8d7b2b37,CBTXT-20260728-6221dc44ea45d0009c85,CBTXT-20260728-6221dc44ea45d0009c85,CBRDY-20260728-d0e7e0b875f65a2fc9dc,CBSRD-20260728-9b0a49d7b0668fb60178,CBCR-20260728-02932,B4XPAR-20260727-003182,BCV-20260728-01580,span_lane_001,92,AZ,West,Patagonia,Fire Dept. Amended Contract (7/1/2024) - Town of Patagonia with Patagonia Volunteer Fire and Rescue Inc. (PVFR) (Compensation Section),mou_or_memorandum,d0192e6dab36c2a3079ec0270ba4c945f83c4149219564bdfe41be51807df6b6,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28/extraction_lane_001/CBTXT-20260728-6221dc44ea45d0009c85.txt,1e7bc69c35aafc2ed5411fdbb04cbbb7ab60c09df05471c3ba7829d35c3d7930,quantitative_compensation,unknown_or_needs_rating,contract_period,span_extracted,4309,4392,63a3bcc374cbe8acc2ed9544d28a5f0bfc1b2ec8941a87be91b0a17bfd5f6ddf,Q,Q012,"[""Q012""]",not_rated,false,candidate exact span only; not rated; not ingested; not codified; not causal; not globally analysis-ready
