state,span_queue_source_count,sources_with_positive_spans,positive_exact_span_count,no_span_or_weak_source_count,ambiguous_source_count,extraction_error_source_count
AK,38,33,192,1,4,0
AL,63,34,104,7,22,0
AR,48,28,135,6,14,0
AZ,63,39,272,2,22,0
CA,129,113,1068,1,15,0
CO,54,40,212,2,12,0
CT,67,58,570,1,8,0
DE,41,19,58,4,18,0
FL,56,50,404,2,4,0
GA,83,52,238,4,27,0
IA,74,53,257,3,18,0
ID,56,23,79,5,28,0
IL,179,147,1270,1,31,0
IN,110,64,330,2,44,0
KS,75,55,229,2,18,0
KY,67,45,136,9,13,0
LA,80,36,109,3,41,0
MA,75,57,421,1,17,0
MD,46,24,73,4,18,0
ME,75,65,426,4,6,0
MI,164,152,1142,2,10,0
MN,99,86,674,2,11,0
MO,69,53,375,0,16,0
MS,20,7,24,5,8,0
MT,66,22,105,6,38,0
NC,100,72,494,4,24,0
ND,70,24,53,17,29,0
NE,68,43,126,4,21,0
NH,60,54,353,1,5,0
NJ,109,95,472,1,13,0
NM,40,22,114,4,14,0
NV,15,15,189,0,0,0
NY,124,108,890,0,16,0
OH,172,141,1473,5,26,0
OK,68,48,162,2,18,0
OR,58,41,284,4,13,0
PA,161,126,460,8,27,0
RI,19,19,212,0,0,0
SC,66,30,135,6,30,0
SD,75,44,133,10,21,0
TN,73,46,210,3,24,0
TX,115,90,517,3,22,0
UT,44,29,126,2,13,0
VA,67,38,198,3,26,0
VT,89,63,309,1,25,0
WA,95,75,608,3,17,0
WI,139,111,759,2,26,0
WV,43,20,58,7,16,0
WY,48,12,21,10,26,0
