state,municipality,span_queue_source_count,sources_with_positive_spans,positive_exact_span_count,no_span_or_weak_source_count,ambiguous_source_count,extraction_error_source_count
AK,Akutan,1,1,2,0,0,0
AK,Aleknagik,1,0,0,0,1,0
AK,Anaktuvuk Pass,1,1,2,0,0,0
AK,Angoon,2,1,2,0,1,0
AK,Atqasuk,1,1,10,0,0,0
AK,Cordova,1,1,3,0,0,0
AK,Delta Junction,2,2,15,0,0,0
AK,Elim,1,1,7,0,0,0
AK,False Pass,2,1,9,0,1,0
AK,Fort Yukon,1,1,3,0,0,0
AK,Gambell,1,1,9,0,0,0
AK,Gustavus,1,1,4,0,0,0
AK,Kachemak,1,1,1,0,0,0
AK,Kake,1,1,7,0,0,0
AK,King Cove,1,0,0,0,1,0
AK,Kivalina,1,1,5,0,0,0
AK,Kotlik,1,1,1,0,0,0
AK,Kotzebue,1,1,5,0,0,0
AK,Manokotak,1,1,4,0,0,0
AK,Nome,2,2,26,0,0,0
AK,Pilot Station,1,1,4,0,0,0
AK,Point Hope,1,1,3,0,0,0
AK,Quinhagak,1,1,5,0,0,0
AK,Sand Point,3,3,19,0,0,0
AK,Seward,1,1,16,0,0,0
AK,Tanana,1,0,0,1,0,0
AK,Teller,1,1,7,0,0,0
AK,Togiak,2,2,4,0,0,0
AK,Toksook Bay,1,1,3,0,0,0
AK,White Mountain,1,1,13,0,0,0
AK,Whittier,1,1,3,0,0,0
AL,Alabaster,1,1,7,0,0,0
AL,Andalusia,1,1,8,0,0,0
AL,Anniston,3,3,6,0,0,0
AL,Attalla,1,1,2,0,0,0
AL,Calera,3,2,2,0,1,0
AL,Chickasaw,2,0,0,1,1,0
AL,Foley,1,1,8,0,0,0
AL,Fort Payne,3,2,5,0,1,0
AL,Gadsden,1,1,2,0,0,0
AL,Glencoe,3,0,0,0,3,0
AL,Gulf Shores,1,1,4,0,0,0
AL,Hartselle,1,1,2,0,0,0
AL,Irondale,2,2,7,0,0,0
AL,Jasper,5,2,5,0,3,0
AL,Lanett,1,0,0,0,1,0
AL,Lincoln,1,0,0,1,0,0
AL,Loxley,1,1,6,0,0,0
AL,Margaret,3,2,3,0,1,0
AL,Millbrook,1,0,0,0,1,0
AL,Montevallo,1,0,0,0,1,0
AL,Muscle Shoals,1,0,0,0,1,0
AL,Oneonta,1,0,0,1,0,0
AL,Ozark,1,1,2,0,0,0
AL,Pell City,2,0,0,1,1,0
AL,Pleasant Grove,2,0,0,2,0,0
AL,Rainsville,4,0,0,1,3,0
AL,Roanoke,1,1,1,0,0,0
AL,Robertsdale,2,2,12,0,0,0
AL,Satsuma,3,0,0,0,3,0
AL,Scottsboro,1,1,5,0,0,0
AL,Sheffield,1,1,2,0,0,0
AL,Southside,3,2,2,0,1,0
AL,Spanish Fort,1,1,3,0,0,0
AL,Talladega,4,4,10,0,0,0
AR,Batesville,1,1,1,0,0,0
AR,Brookland,2,0,0,0,2,0
AR,Cherokee Village,2,2,5,0,0,0
AR,Crossett,2,1,5,0,1,0
AR,Dardanelle,1,0,0,0,1,0
AR,El Dorado,3,2,24,0,1,0
AR,Farmington,1,1,4,0,0,0
AR,Forrest City,1,1,2,0,0,0
AR,Gosnell,1,0,0,1,0,0
AR,Haskell,3,0,0,2,1,0
AR,Helena-West Helena,1,1,2,0,0,0
AR,Hot Springs,1,1,1,0,0,0
AR,Johnson,2,2,3,0,0,0
AR,Little Flock,1,0,0,1,0,0
AR,Little Rock,3,3,39,0,0,0
AR,Lonoke,3,1,1,0,2,0
AR,Maumelle,1,1,6,0,0,0
AR,Morrilton,1,1,1,0,0,0
AR,Mountain Home,2,1,4,0,1,0
AR,Newport,1,0,0,1,0,0
AR,Ozark,1,1,2,0,0,0
AR,Pea Ridge,1,1,3,0,0,0
AR,Searcy,5,1,3,0,4,0
AR,Siloam Springs,1,1,10,0,0,0
AR,Tontitown,1,1,11,0,0,0
AR,Vilonia,2,1,3,0,1,0
AR,Warren,2,2,2,0,0,0
AR,Wynne,2,1,3,1,0,0
AZ,Apache Junction,1,1,2,0,0,0
AZ,Bullhead City,1,1,7,0,0,0
AZ,Carefree,1,1,3,0,0,0
AZ,Cave Creek,1,0,0,0,1,0
AZ,Clifton,2,1,1,0,1,0
AZ,Coolidge,4,1,1,0,3,0
AZ,Douglas,1,0,0,1,0,0
AZ,Duncan,2,0,0,0,2,0
AZ,Eagar,1,1,9,0,0,0
AZ,El Mirage,2,2,30,0,0,0
AZ,Fountain Hills,4,4,21,0,0,0
AZ,Fredonia,2,0,0,0,2,0
AZ,Holbrook,1,0,0,0,1,0
AZ,Kingman,1,1,16,0,0,0
AZ,Litchfield Park,2,1,1,0,1,0
AZ,Miami,1,0,0,0,1,0
AZ,Nogales,3,2,10,0,1,0
AZ,Oro Valley,1,1,11,0,0,0
AZ,Page,3,2,13,0,1,0
AZ,Paradise Valley,1,1,6,0,0,0
AZ,Patagonia,2,1,3,0,1,0
AZ,Payson,1,1,12,0,0,0
AZ,Phoenix,4,4,58,0,0,0
AZ,Pima,2,0,0,0,2,0
AZ,Pinetop-Lakeside,1,1,1,0,0,0
AZ,Quartzsite,1,0,0,0,1,0
AZ,Show Low,1,1,6,0,0,0
AZ,Sierra Vista,1,0,0,1,0,0
AZ,Somerton,3,3,18,0,0,0
AZ,Springerville,2,2,10,0,0,0
AZ,Star Valley,3,1,3,0,2,0
AZ,Tucson,1,1,12,0,0,0
AZ,Wellton,1,1,7,0,0,0
AZ,Willcox,2,1,5,0,1,0
AZ,Williams,3,2,6,0,1,0
CA,Anderson,1,1,15,0,0,0
CA,Artesia,1,1,2,0,0,0
CA,Auburn,1,0,0,0,1,0
CA,Avenal,4,1,5,0,3,0
CA,Beaumont,1,1,10,0,0,0
CA,Blythe,5,3,5,0,2,0
CA,Burbank,1,1,16,0,0,0
CA,Calimesa,2,1,3,0,1,0
CA,Canyon Lake,1,1,13,0,0,0
CA,Carpinteria,2,2,25,0,0,0
CA,Ceres,1,1,1,0,0,0
CA,Citrus Heights,1,0,0,0,1,0
CA,Colusa,1,1,5,0,0,0
CA,Concord,1,0,0,0,1,0
CA,Corning,2,2,32,0,0,0
CA,Coronado,6,6,63,0,0,0
CA,Corte Madera,1,1,10,0,0,0
CA,Covina,2,2,20,0,0,0
CA,Crescent City,1,1,16,0,0,0
CA,Exeter,1,1,1,0,0,0
CA,Fairfax,1,1,16,0,0,0
CA,Fillmore,1,1,10,0,0,0
CA,Firebaugh,3,3,27,0,0,0
CA,Fontana,1,0,0,0,1,0
CA,Fortuna,1,1,13,0,0,0
CA,Gardena,2,1,15,0,1,0
CA,Gridley,1,1,16,0,0,0
CA,Guadalupe,2,2,17,0,0,0
CA,Hollister,1,1,10,0,0,0
CA,Imperial Beach,1,1,1,0,0,0
CA,Indio,2,2,8,0,0,0
CA,Inglewood,2,2,8,0,0,0
CA,Ione,1,1,15,0,0,0
CA,Kingsburg,2,2,12,0,0,0
CA,La Mesa,2,1,2,1,0,0
CA,La Palma,2,2,18,0,0,0
CA,Laguna Woods,1,1,5,0,0,0
CA,Live Oak,1,1,14,0,0,0
CA,Los Alamitos,1,1,16,0,0,0
CA,Los Banos,2,2,21,0,0,0
CA,Mendota,1,1,7,0,0,0
CA,Mill Valley,1,1,2,0,0,0
CA,Monterey Park,1,1,1,0,0,0
CA,Moreno Valley,2,2,12,0,0,0
CA,Morro Bay,2,2,32,0,0,0
CA,Novato,1,1,15,0,0,0
CA,Orinda,3,3,10,0,0,0
CA,Orland,3,3,29,0,0,0
CA,Oxnard,4,4,34,0,0,0
CA,Pinole,4,4,49,0,0,0
CA,Placerville,2,2,22,0,0,0
CA,Redding,3,3,27,0,0,0
CA,Rocklin,2,1,2,0,1,0
CA,Rohnert Park,3,3,37,0,0,0
CA,San Leandro,1,1,14,0,0,0
CA,San Marino,3,3,43,0,0,0
CA,San Ramon,1,1,7,0,0,0
CA,Santa Monica,1,1,3,0,0,0
CA,Santee,1,1,16,0,0,0
CA,Sebastopol,5,5,42,0,0,0
CA,Shasta Lake,1,1,3,0,0,0
CA,Sierra Madre,3,3,34,0,0,0
