auto_adjudication_id,adjudication_case_id,calibration_id,source_review_id,pdf_readiness_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,pdf_page_count,content_artifact_path,candidate_pages_evaluated,nearby_pages_evaluated,navigation_pages_evaluated,local_text_signal_summary,local_layout_signal_summary,rendered_page_available,rendered_page_count_used,table_structure_feature_score,wage_language_feature_score,pay_numeric_feature_score,navigation_feature_score,non_wage_false_positive_feature_score,compact_compensation_sheet_feature_score,gabriel_request_id,gabriel_backend,gabriel_model,gabriel_status,gabriel_schema_valid,gabriel_wage_schedule_present,gabriel_candidate_page_relationship,gabriel_visual_table_type,gabriel_non_wage_family,gabriel_navigation_needed,gabriel_navigation_target_found,gabriel_extraction_complexity,gabriel_extraction_recommendation,gabriel_confidence,gabriel_reason_codes,gabriel_short_rationale,gabriel_input_page_count,gabriel_input_text_chars,gabriel_elapsed_seconds,auto_gate_label,auto_gate_confidence,auto_gate_reason_codes,auto_gate_rationale,auto_gate_passes_500_doc_criteria_candidate
auto_adj_bb657abf431b85dec588,adj_43bb432b3f3794d9948c,cal_01a57230b8158e19db8100b3,sr_4df7d032d5e831a67fdfe510,pr_13796e66888377c86b71dcb1,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,2,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf,"1,2",,,"{""benefit_terms"":2,""budget_terms"":2,""index_pages"":0,""numeric_tokens"":42,""role_terms"":2,""wage_terms"":15}","{""column_lines"":1,""geometry_columns"":2,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":2,""row_like_lines"":8}",true,2,0.445000,1.000000,1.000000,0.000000,0.660000,1.000000,resp_0bb1a510a0c9b2a5006a65027049dc81949f9f36c01d9007b9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,memorandum_without_table,no,not_applicable,not_extractable,exclude_for_now,high,NO_TABLE_STRUCTURE|PROSE_MEMORANDUM_ONLY|REFERENCES_ATTACHMENT_APPENDIX_D_NO_RETR,"Pages contain memorandum text about salaries/COA/overtime and references an attached Appendix D, but no visible wage/pay schedule table or role-to-pay rows/rate columns.",2,2436,3.769220,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_4e26aaa6bada7063022b,adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,sr_c559293254377ab55982205c,pr_e2d785f7bbcbc28ba7b4f38e,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,17,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,"3,9,17","2,15",,"{""benefit_terms"":1,""budget_terms"":1,""index_pages"":0,""numeric_tokens"":265,""role_terms"":6,""wage_terms"":81}","{""column_lines"":44,""geometry_columns"":17,""geometry_rows"":31,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":43}",true,5,0.860000,1.000000,1.000000,0.000000,0.240000,1.000000,resp_0b8cdc8805ab729c006a6502729eb88193be9a098f18c3f867,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,yes,exact_table_page,annual_salary_schedule,not_applicable,no,not_applicable,moderate,extraction_ready_with_schema_update,high,HAS_STEPPED_SALARY_TABLE|HAS_ROLE_SECTION_HEADERS|HAS_SALARY_COLUMNS_FOR_SERVICE_BANDS|TABLE_STRUCTURE_SCORE_HIGH,"Candidate page shows a clear FY23 salary table with rank/role sections, step rows, and salary columns across service-year bands.",5,6000,6.398390,extraction_ready_with_schema_update,high,GABRIEL_POSITIVE|LOCAL_SCHEMA_UPDATE_EVIDENCE,"Bounded evidence supports a wage schedule, but local structure, compact layout, or navigation requires a schema-specific rule.",true
auto_adj_dfe9acfefc0ce03277ed,adj_372decf0ca2c77a33b8a,cal_04e9c405fa82bce92279cc76,sr_62322cb966f64b0f81a2dc6a,pr_001ccda7e40cd3eb951c6c24,NSCQ-CA-20260720-0544,CA,Wasco,CITY OF WASCO,police,memorandum_or_settlement,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf,"5,10,12","4,13",1,"{""benefit_terms"":29,""budget_terms"":3,""index_pages"":0,""numeric_tokens"":87,""role_terms"":28,""wage_terms"":42}","{""column_lines"":5,""geometry_columns"":8,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":6,""row_like_lines"":5}",true,6,0.530000,1.000000,1.000000,0.000000,1.000000,1.000000,resp_0f191fdc8ceeb122006a650275654c81939fd76ec279ae6ced,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,benefits,no,not_applicable,not_extractable,exclude_for_now,medium,NO_VISIBLE_PAY_TABLE|PAYMENT_TERMS_IN_PROSE_ONLY|NO_ROLE_ROW_AND_RATE_COLUMNS,"Pages show compensation-related provisions (COLA, holiday/in-lieu, stipends) as narrative text with placeholders, not a wage/salary schedule table with role/classification rows and rate/salary columns.",6,6000,9.850208,exclude_for_now,medium,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_5ce4ee6841d76b66c4ae,adj_f6c02e1d24efbe6d8eea,cal_075c10415a94e03dadfb692f,sr_272eba05d55d401649848e75,pr_d365eafbec62b9a6926306bf,NSCQ-MI-20260720-0107,MI,Hamtramck,CITY OF HAMTRAMCK,fire,memorandum_or_settlement,5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0485_sr_272eba05d55d401649848e75.pdf,"1,2,3",4,5,"{""benefit_terms"":16,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":115,""role_terms"":17,""wage_terms"":13}","{""column_lines"":5,""geometry_columns"":19,""geometry_rows"":16,""navigation_targets_evaluated"":0,""rendered_pages"":5,""row_like_lines"":29}",true,5,0.464750,1.000000,1.000000,0.000000,1.000000,1.000000,resp_0369f1c8b62bbc44006a650278e27881968bcc4d1fffa73d6c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,not_applicable,no,not_applicable,not_extractable,exclude_for_now,medium,NO_VISIBLE_RATE_OR_SALARY_ROWS|NO_COMPACT_ROLE_TO_PAY_SHEET|COLLECTIVE_BARGAINING_PROSE_AMENDMENTS,"Pages show CBA amendment/prose about pay increases, allowances, and benefits, but no extractable pay-classification/rank rows or wage/rate/salary columns forming a schedule.",5,6000,12.270132,exclude_for_now,medium,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_6b94490e99d4d9c6c4c6,adj_c267df3868ee5b738d9c,cal_0ccdac533aafb9416dffec65,sr_9a13313d7b45e8058dc24607,pr_586455a7b202bb679e8cd632,NSCQ-MD-20260720-0049,MD,Ocean City,TOWN OF OCEAN CITY,police,cba,28,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_9a13313d7b45e8058dc24607.pdf,"2,13,27","1,28",18,"{""benefit_terms"":17,""budget_terms"":0,""index_pages"":1,""numeric_tokens"":100,""role_terms"":47,""wage_terms"":15}","{""column_lines"":4,""geometry_columns"":7,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":6,""row_like_lines"":30}",true,6,0.415000,1.000000,1.000000,0.200000,1.000000,1.000000,resp_009a515ec2f93c7f006a65027b4f048196a74fb2f6558120e2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,no_candidate_page,prose_only,not_applicable,no,no,not_extractable,exclude_for_now,high,NO_TABLE_STRUCTURED_WAGE_SCHEDULE|ONLY_WAGE_PROSE_AND_SINGLE_RATE_REFEREN|NO_ROLE_OR_RANK_ROW_SET_WITH_PAY_COLUMNS|INDEX_ONLY_PAGE_NO_TABLE,"Candidate pages show contract wage-related prose (e.g., premiums/travel/pay), plus a table-of-contents page. No visible role/rank grid with wage/rate/salary columns or compact pay schedule.",6,5391,15.341829,exclude_for_now,high,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_d02b0f81f8b870680bcb,adj_f1615a4a47f0fc77c795,cal_0d99791bdc0cd19c28d5f5de,sr_7bcc2dd2d88906ef9ef58854,pr_e023663dc6160bcb0dbca7a8,NSCQ-OK-20260720-0015,OK,Lawton,CITY OF LAWTON,fire,cba,243,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0160_sr_7bcc2dd2d88906ef9ef58854.pdf,"82,242,243","81,241",1,"{""benefit_terms"":1,""budget_terms"":8,""index_pages"":0,""numeric_tokens"":119,""role_terms"":40,""wage_terms"":66}","{""column_lines"":14,""geometry_columns"":39,""geometry_rows"":44,""navigation_targets_evaluated"":0,""rendered_pages"":6,""row_like_lines"":31}",true,6,0.930000,1.000000,1.000000,0.000000,1.000000,1.000000,resp_05a6cb8c20581437006a65027e5b88819383bc08f3767b132c,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,maybe,points_to_later_table,prose_only,not_applicable,yes,no,moderate,second_review_required,medium,MENTIONS_SCHEDULE_BELOW_NO_TABLE_IN_SNIP|MERIT_STEP_FROZEN_PROSE_ONLY|TABLE_STRUCTURE_SCORE_HIGH_BUT_NO_ROWS_R,"Pages contain pay-step eligibility/merit-freeze prose and references to a “schedule below,” but no visible wage/rate/salary table rows/columns are present in the provided page excerpts.",6,4736,18.591592,second_review_required,medium,EVIDENCE_NOT_STRONG_ENOUGH|NAVIGATION_TARGET_UNRESOLVED|NEGATIVE_PAGE_FAMILY,"The bounded GABRIEL/local evidence is ambiguous, weak, conflicting, or navigation-dependent and cannot support an extraction-ready label.",false
auto_adj_7639cc902a11db6ed939,adj_132cea3ee5628e488480,cal_0e71fee5856adca413c60d77,sr_d73c9a81583ea67b229040c7,pr_7041ff092a907cc2ec8d7efb,NSCQ-AL-20260720-0010,AL,Vestavia Hills,CITY OF VESTAVIA HILLS,non_safety,wage_schedule_or_compensation_plan,6,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0487_sr_d73c9a81583ea67b229040c7.pdf,"2,4,6",1,,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":1521,""role_terms"":0,""wage_terms"":61}","{""column_lines"":113,""geometry_columns"":12,""geometry_rows"":3,""navigation_targets_evaluated"":0,""rendered_pages"":4,""row_like_lines"":122}",true,4,0.791333,1.000000,1.000000,0.000000,0.000000,0.500000,resp_03aab72bf3ee566b006a650281a3c88194aa16cf2ea2691bac,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,yes,exact_table_page,step_grade,not_applicable,no,not_applicable,moderate,extraction_ready_with_schema_update,high,HAS_SALARY_SCHEDULE_HEADER|HAS_GRADE_AND_STEP_ROWS|HAS_MULTIPLE_PAY_FREQUENCY_COLUMNS|NO_BENEFITS_OR_BUDGET_INDICATORS,Pages 2/4/6 show an Executive Salary Schedule with grade/step structure and numeric pay entries across multiple pay frequencies (hourly/bi-weekly/semi-monthly/monthly/annually).,4,4500,21.223400,extraction_ready_with_schema_update,high,GABRIEL_POSITIVE|LOCAL_SCHEMA_UPDATE_EVIDENCE,"Bounded evidence supports a wage schedule, but local structure, compact layout, or navigation requires a schema-specific rule.",true
auto_adj_422d1c2e9c1bcf50201d,adj_e44d755471cf49a42a26,cal_20f83d208f858a0cf99daad1,sr_0f22987e1039f88dbc9835c6,pr_44113f80a07022384f54a814,NSCQ-NC-20260720-0002,NC,Winston-Salem,CITY OF WINSTON-SALEM,fire,wage_schedule_or_compensation_plan,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0486_sr_0f22987e1039f88dbc9835c6.pdf,1,,,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":99,""role_terms"":8,""wage_terms"":1}","{""column_lines"":20,""geometry_columns"":2,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":1,""row_like_lines"":0}",true,1,0.377500,0.440000,1.000000,0.000000,0.000000,0.610000,resp_0106d9168d52e760006a65028438e88196b8babede515f8038,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,yes,exact_table_page,classification_pay_table,not_applicable,no,not_applicable,moderate,extraction_ready,high,HAS_ROLE_GRADE_ROWS|HAS_MIN_MID_MAX_COLUMNS|PAY_NUMERIC_PRESENT|TABLE_LIKE_LAYOUT,Contains a structured job-code/grade/job-title pay table with numeric min/mid/max columns for multiple classifications.,1,979,23.533342,second_review_required,high,EVIDENCE_NOT_STRONG_ENOUGH|LOCAL_STRUCTURE_WEAK,"The bounded GABRIEL/local evidence is ambiguous, weak, conflicting, or navigation-dependent and cannot support an extraction-ready label.",false
auto_adj_330ce466eda624978e1c,adj_9d9715e2e9b339b407c8,cal_211c78b8eb2cdd5520344d2c,sr_0c75170799891bb601b9aaa4,pr_74aa79cf66b5844ce19c3150,NSCQ-MN-20260720-0082,MN,North Mankato,CITY OF NORTH MANKATO,police,cba,20,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0440_sr_0c75170799891bb601b9aaa4.pdf,"7,9","6,10","1,2","{""benefit_terms"":33,""budget_terms"":0,""index_pages"":1,""numeric_tokens"":157,""role_terms"":26,""wage_terms"":13}","{""column_lines"":90,""geometry_columns"":7,""geometry_rows"":1,""navigation_targets_evaluated"":0,""rendered_pages"":6,""row_like_lines"":10}",true,6,0.368333,1.000000,1.000000,0.500000,1.000000,0.750000,resp_07724c7183d8b261006a65028688d88193ac87b48b03015338,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,unknown,prose_only,benefits,unknown,unknown,not_extractable,exclude_for_now,medium,NO_VISIBLE_PAY_TABLE|PAY_LANGUAGE_ONLY|CANDIDATES_APPEAR_PROCEDURAL_OR_BENEFIT_,"Candidate pages show probation/vacation and overtime/regular-rate references in text, but no stable pay/rate salary schedule table with role rows and wage/rate columns.",6,6000,26.602254,exclude_for_now,medium,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
auto_adj_1506c959dd04e0c82fb8,adj_2c58225b56b2be6c3812,cal_2cc9c8211edf7dc1fc8bbd7c,sr_16863b05cf84ae11399f869d,pr_9b324528ec6c24d540b83cc1,NSCQ-MI-20260720-0160,MI,Grosse Pointe Woods,CITY OF GROSSE POINTE WOODS,police,memorandum_or_settlement,3,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0469_sr_16863b05cf84ae11399f869d.pdf,"1,2",3,,"{""benefit_terms"":0,""budget_terms"":0,""index_pages"":0,""numeric_tokens"":43,""role_terms"":10,""wage_terms"":14}","{""column_lines"":0,""geometry_columns"":3,""geometry_rows"":0,""navigation_targets_evaluated"":0,""rendered_pages"":3,""row_like_lines"":8}",true,3,0.244750,1.000000,1.000000,0.000000,0.360000,1.000000,resp_0795853e8f25d53b006a6502899f688194ada16666f9b4f035,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,no,adjacent_to_table,prose_only,not_applicable,no,not_applicable,moderate,exclude_for_now,medium,NO_TABLE_STRUCTURE|WAGE_AS_PROSE_MEMO|NO_ROLE_ROW_WITH_PAY_COLUMNS,"Pages 1–2 contain memo language describing pay/on-call compensation, but no extractable wage table or stable role-to-pay sheet with rows/columns; page 3 is signatures.",3,2750,28.743270,exclude_for_now,medium,NON_WAGE_OR_PROSE_CONFIRMED,"GABRIEL identifies prose or a non-wage page family, and the local evidence does not satisfy the strict positive table gate.",false
