auto_adjudication_id,calibration_id,started_at,finished_at,local_evidence_elapsed_seconds,gabriel_elapsed_seconds,total_elapsed_seconds,gabriel_status
auto_adj_bb657abf431b85dec588,cal_01a57230b8158e19db8100b3,2026-07-25T18:37:01Z,2026-07-25T18:45:15Z,0.077504,3.769220,3.846723,success
auto_adj_4e26aaa6bada7063022b,cal_045e7e8100647061f677cbed,2026-07-25T18:37:01Z,2026-07-25T18:45:15Z,0.211609,6.398390,6.609999,success
auto_adj_dfe9acfefc0ce03277ed,cal_04e9c405fa82bce92279cc76,2026-07-25T18:37:01Z,2026-07-25T18:45:15Z,0.583099,9.850208,10.433307,success
auto_adj_5ce4ee6841d76b66c4ae,cal_075c10415a94e03dadfb692f,2026-07-25T18:37:02Z,2026-07-25T18:45:15Z,0.178662,12.270132,12.448795,success
auto_adj_6b94490e99d4d9c6c4c6,cal_0ccdac533aafb9416dffec65,2026-07-25T18:37:02Z,2026-07-25T18:45:15Z,0.113153,15.341829,15.454982,success
auto_adj_d02b0f81f8b870680bcb,cal_0d99791bdc0cd19c28d5f5de,2026-07-25T18:37:02Z,2026-07-25T18:45:15Z,0.290770,18.591592,18.882362,success
auto_adj_7639cc902a11db6ed939,cal_0e71fee5856adca413c60d77,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.336964,21.223400,21.560364,success
auto_adj_422d1c2e9c1bcf50201d,cal_20f83d208f858a0cf99daad1,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.055147,23.533342,23.588489,success
auto_adj_330ce466eda624978e1c,cal_211c78b8eb2cdd5520344d2c,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.135979,26.602254,26.738233,success
auto_adj_1506c959dd04e0c82fb8,cal_2cc9c8211edf7dc1fc8bbd7c,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.024051,28.743270,28.767321,success
auto_adj_6bd9fdde640e61d7ee7f,cal_2d661ee8ab7ef19340fbad0c,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.214566,31.102965,31.317531,success
auto_adj_5485b5e6ea33e6eeb639,cal_32e26e9fd1b36d8f29174580,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.064344,34.490435,34.554779,success
auto_adj_6fbdd4def46ab6b43a18,cal_3641a73760e319fa915df354,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.112164,36.785593,36.897757,success
auto_adj_4302ee5bf0cef38484f3,cal_3780a6990e664d2e6c35ff2e,2026-07-25T18:37:03Z,2026-07-25T18:45:15Z,0.082592,39.974024,40.056616,success
auto_adj_83faf014bad6c4104ed2,cal_37bc3a947fbe1061dfff33b8,2026-07-25T18:37:04Z,2026-07-25T18:45:15Z,0.052728,43.083297,43.136026,success
auto_adj_506faddc6356b6827852,cal_37ea2ac16336a1ebf64724bd,2026-07-25T18:37:04Z,2026-07-25T18:45:15Z,0.141718,46.748887,46.890605,success
auto_adj_f14462cbbb477d62a28a,cal_3bb99602441b9cfadcc0f8cc,2026-07-25T18:37:04Z,2026-07-25T18:45:15Z,0.235013,49.077713,49.312726,success
auto_adj_49dcd074348f72abedf9,cal_433c56e99c2468011e67a57f,2026-07-25T18:37:04Z,2026-07-25T18:45:15Z,0.300948,52.500796,52.801744,success
auto_adj_2f03f5ed45083a5d01bc,cal_444af6472fbcec8ba405d09d,2026-07-25T18:37:04Z,2026-07-25T18:45:15Z,0.180455,55.838351,56.018806,success
auto_adj_5feb01bd749b29841990,cal_4453630dbcea0b4cd5ed3aed,2026-07-25T18:37:04Z,2026-07-25T18:45:15Z,0.378388,60.089441,60.467829,success
auto_adj_2f3b77863ae174b8c6ab,cal_473055028533d315d7876b00,2026-07-25T18:37:05Z,2026-07-25T18:45:15Z,0.057009,62.159049,62.216058,success
auto_adj_286f7c133c3200ccf6e3,cal_4bc1c73b4633dbdc54bcb906,2026-07-25T18:37:05Z,2026-07-25T18:45:15Z,0.144897,65.578750,65.723647,success
auto_adj_1d1073e376d74d925fa6,cal_4c6f22b20218be88851ac92b,2026-07-25T18:37:05Z,2026-07-25T18:45:15Z,0.241247,68.339971,68.581218,success
auto_adj_dcc1c76b024b227fde36,cal_50d728e95903683ee807533b,2026-07-25T18:37:05Z,2026-07-25T18:45:15Z,0.048930,71.456312,71.505242,success
auto_adj_74d5506d6f3807de9541,cal_56072a1d4fb5a9252e95b51b,2026-07-25T18:37:05Z,2026-07-25T18:45:15Z,0.166108,75.321001,75.487109,success
auto_adj_ba1618c0339661ed47b9,cal_577b9aee5b4319988b53305c,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.098820,79.342064,79.440884,success
auto_adj_9455c09aa5e319bf87e9,cal_588e854d43e77da72a9780c3,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.207546,81.914611,82.122157,success
auto_adj_c04a0d92986cd2461d8c,cal_5c6cd6ae0674c01ae035b5a2,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.248388,90.829428,91.077815,success
auto_adj_1463bec48a1de53bacca,cal_5cbb457423d786b7a3866f7f,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.226419,95.930594,96.157013,success
auto_adj_451b03bfc4e80d232461,cal_5d23586e36bbf45e21e5e2ee,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.086398,99.495906,99.582304,success
auto_adj_fcb120a0032588565f5f,cal_5d3205e6297dfd63bbbe2dc9,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.062715,102.074554,102.137270,success
auto_adj_e0b7c5544c6b72aa166a,cal_6a61805f02ce043d6073a567,2026-07-25T18:37:06Z,2026-07-25T18:45:15Z,0.241623,104.970920,105.212543,success
auto_adj_2174d7792878ace059bd,cal_70ad13fa6c42e3580eff39b6,2026-07-25T18:37:07Z,2026-07-25T18:45:15Z,0.242391,108.320379,108.562769,success
auto_adj_130cd6017a099ec94c9d,cal_7193aa32c234257db832b86b,2026-07-25T18:37:07Z,2026-07-25T18:45:15Z,0.534955,110.920264,111.455219,success
auto_adj_5dd6fed728d4a2615810,cal_757f44a538f5d916eb1c143b,2026-07-25T18:37:07Z,2026-07-25T18:45:15Z,0.238743,114.019871,114.258613,success
auto_adj_2e92efb54450335a4519,cal_7845f67d41be5d195219e6b6,2026-07-25T18:37:08Z,2026-07-25T18:45:15Z,0.324878,118.048673,118.373552,success
auto_adj_c7304672dc404955d7ea,cal_7db0e44dde1faec77d813e1b,2026-07-25T18:37:08Z,2026-07-25T18:45:15Z,0.118229,121.783225,121.901454,success
auto_adj_f187a8d7302433ceaf84,cal_81d9a782eed3ef59e8cf53c8,2026-07-25T18:37:08Z,2026-07-25T18:45:15Z,0.307989,124.889599,125.197588,success
auto_adj_1a5a47e257a5614de878,cal_832e6ddab7670a3ef19d679e,2026-07-25T18:37:08Z,2026-07-25T18:45:15Z,0.118667,127.673045,127.791712,success
auto_adj_8da9af4b3af112b7104f,cal_8341f144d0dbe9b4f6f2dcda,2026-07-25T18:37:09Z,2026-07-25T18:45:15Z,0.146063,129.783845,129.929909,success
auto_adj_c46e292c36c96d9df3f2,cal_87047e8ea3c1d1bc56da2b90,2026-07-25T18:37:09Z,2026-07-25T18:45:15Z,0.088760,133.714210,133.802970,success
auto_adj_e62f40782ecfedcf83b0,cal_871b8130bf4245601b1a841b,2026-07-25T18:37:09Z,2026-07-25T18:45:15Z,0.488971,137.104381,137.593352,success
auto_adj_83be17b47676374c0ed0,cal_8dc01e6871029b30cc13920c,2026-07-25T18:37:09Z,2026-07-25T18:45:15Z,0.702789,139.346282,140.049071,success
auto_adj_4f4930392eeb558a70b7,cal_96ffbdb214517b3a6a6649d0,2026-07-25T18:37:10Z,2026-07-25T18:45:15Z,0.231357,143.441110,143.672467,success
auto_adj_1dcfd507f3d063d25bcf,cal_9824026160d8547991edff93,2026-07-25T18:37:10Z,2026-07-25T18:45:15Z,0.093392,146.267255,146.360647,success
auto_adj_9b8bb3405d1f031feb36,cal_9b0d02f472072c62b56bf808,2026-07-25T18:37:10Z,2026-07-25T18:45:15Z,0.234355,148.767847,149.002202,success
auto_adj_486979730ee7ec86ca81,cal_9be75c1e7fbfe27a4db1d91e,2026-07-25T18:37:11Z,2026-07-25T18:45:15Z,0.109845,151.547726,151.657571,success
auto_adj_5876bcebd2777e053c11,cal_a4b5a28529bc2239da93dcb6,2026-07-25T18:37:11Z,2026-07-25T18:45:15Z,0.160059,154.081789,154.241849,success
auto_adj_ea3c5cc3db083449898d,cal_a59e7db7416b7eda4426b2b0,2026-07-25T18:37:11Z,2026-07-25T18:45:15Z,0.116877,169.165535,169.282413,success
auto_adj_00c54154ec29e05c55ed,cal_a6388ef8c82edf25da71cfe8,2026-07-25T18:37:11Z,2026-07-25T18:45:15Z,0.461417,171.809194,172.270611,success
auto_adj_b61d199d455bc1a1e86b,cal_a64662143119f08d07ec503e,2026-07-25T18:37:11Z,2026-07-25T18:45:15Z,0.277082,174.557418,174.834500,success
auto_adj_afbaa8d90cfb0c77f094,cal_a697a3efcaf26dad1a05afd8,2026-07-25T18:37:12Z,2026-07-25T18:45:15Z,0.093441,176.633930,176.727371,success
auto_adj_28b5892a6dd376bd03f2,cal_aa5f30e289f7f1e3c57da1ca,2026-07-25T18:37:12Z,2026-07-25T18:45:15Z,0.529271,180.101866,180.631136,success
auto_adj_b001a98e462940b21ff4,cal_ae1da4b80da66307314a0f9a,2026-07-25T18:37:12Z,2026-07-25T18:45:15Z,0.134321,188.299298,188.433619,success
auto_adj_fd5c25f21a13a5aa4736,cal_affbd685e693a0ed30b460a4,2026-07-25T18:37:12Z,2026-07-25T18:45:15Z,0.186507,190.539132,190.725639,success
auto_adj_f208987130c7aa9434f6,cal_b5c70ca19baa946184d7d211,2026-07-25T18:37:13Z,2026-07-25T18:45:15Z,0.258795,194.004268,194.263063,success
auto_adj_80759b23f38b96fa5d44,cal_b843e234169740d000b06cc9,2026-07-25T18:37:13Z,2026-07-25T18:45:15Z,0.080103,197.818733,197.898836,success
